time,total,idle,mem_total,mem_free,4626/cpu,4626/rss,4645/cpu,4645/rss,4656/cpu,4656/rss,4727/cpu,4727/rss,4728/cpu,4728/rss,8496/cpu,8496/rss
1004.06,1020542,976651,16370456,9755636,783,110916,2942,72224,5736,633684,269,63592,1579,124260,214,54228
2008.43,1021141,977241,16370456,9757416,783,110916,2944,72244,5738,633692,269,63592,1580,124260,214,54228
3012.11,1021740,977833,16370456,9759104,783,110916,2945,72248,5740,633712,269,63592,1581,124260,214,54228
4017.76,1022339,978424,16370456,9758852,784,110916,2947,73996,5744,633736,269,63592,1582,124260,214,54228
5023.21,1022937,979016,16370456,9758852,784,110916,2948,73996,5746,633768,269,63592,1583,124260,214,54228
6028.49,1023537,979607,16370456,9758852,784,110916,2951,73996,5749,633800,269,63592,1584,124260,214,54228
7033.35,1024137,980199,16370456,9758852,784,110916,2952,73996,5752,633824,269,63592,1585,124260,214,54228
8042.15,1024738,980795,16370456,9758852,784,110916,2952,73996,5755,633828,269,63592,1586,124260,215,54228
9043.94,1025335,981382,16370456,9762856,784,110916,2954,73996,5758,633828,269,63592,1587,124260,215,54228
10048.19,1025932,981965,16370456,9751572,785,110916,2955,74000,5761,633836,269,63592,1588,124260,215,54228
11051.2,1026525,982250,16370456,9559076,786,110916,2963,72108,5768,635940,271,63596,1589,124260,215,54228
12053.64,1027124,982263,16370456,9459692,786,110916,2964,72224,5771,636700,271,63612,1590,124260,215,54228
13054.83,1027723,982278,16370456,9363936,786,110916,2965,72236,5772,636768,271,63612,1591,124264,215,54228
14056.41,1028319,982791,16370456,9131620,786,110916,2965,72276,5775,636836,271,63612,1591,124264,215,54228
15060.57,1028917,983381,16370456,9131620,786,110916,2967,72296,5777,636840,271,63612,1592,124264,215,54228
16065.64,1029517,983972,16370456,9131620,786,110916,2969,72368,5780,636960,271,63612,1593,124264,215,54228
17068.56,1030114,984563,16370456,9131620,786,110916,2970,72396,5783,636996,271,63612,1594,124264,216,54228
18072.78,1030713,985156,16370456,9131620,786,110916,2971,72440,5785,637208,271,63612,1595,124264,216,54228
19076.54,1031310,985742,16370456,9121540,787,110916,2974,72568,5788,637584,271,63612,1595,124264,216,54228
20081.47,1031910,986334,16370456,9124332,787,110916,2974,72576,5790,637692,271,63612,1596,124264,216,54228
21084.63,1032508,986922,16370456,9136372,788,110916,2976,72652,5793,637852,271,63612,1597,124268,217,54228
22090.07,1033107,987511,16370456,9147464,788,110916,2979,72772,5797,637928,272,63612,1598,124268,217,54228
23093.69,1033706,988102,16370456,9161556,788,110916,2980,72812,5799,637972,272,63612,1599,124268,217,54228
24096.99,1034304,988693,16370456,9172824,788,110916,2981,72888,5803,638004,272,63612,1600,124268,217,54228
