time,total,idle,mem_total,mem_free,4626/cpu,4626/rss,4645/cpu,4645/rss,4656/cpu,4656/rss,4727/cpu,4727/rss,4728/cpu,4728/rss,8496/cpu,8496/rss
1003.95,629062,599411,16370456,8636876,625,111016,1832,72908,3711,691712,171,63408,955,127404,131,57360
2008.34,629662,600002,16370456,8636636,625,111016,1835,74856,3714,691816,171,63408,956,127404,131,57360
3012.79,630261,600594,16370456,8637628,625,111016,1836,74856,3717,691896,171,63408,956,127404,131,57360
4022.01,630863,601188,16370456,8637884,625,111016,1838,74856,3720,692032,171,63408,957,127404,131,57360
5024.38,631461,601777,16370456,8637884,625,111016,1839,74856,3722,692104,173,63408,959,127404,131,57360
6027.4,632058,602368,16370456,8637884,625,111016,1841,74860,3724,692244,173,63408,959,127404,132,57364
7030.72,632658,602958,16370456,8637636,626,111016,1841,74860,3726,692304,173,63408,960,127404,132,57364
8034.04,633252,603535,16370456,8636880,627,111016,1845,74732,3730,692756,173,63408,961,127404,132,57372
9038.1,633852,604126,16370456,8636640,627,111016,1846,74732,3733,692852,173,63408,962,127404,132,57372
10042.54,634448,604712,16370456,8632104,627,111020,1848,74732,3736,693052,173,63408,963,127404,132,57372
11045.01,635038,605118,16370456,8422112,627,111020,1856,72712,3763,694704,173,63412,964,127432,133,57996
12048.18,635631,605640,16370456,8171152,627,111020,1857,72728,3764,694768,173,63412,965,127432,133,57996
13049.96,636225,606183,16370456,8198184,627,111020,1860,72892,3770,695008,173,63412,967,127640,134,57996
14055.36,636825,606774,16370456,8207228,627,111020,1862,72920,3774,695016,174,63412,967,127640,134,57996
15059.38,637423,607366,16370456,8225068,627,111020,1863,72920,3775,695016,174,63412,968,127640,134,57996
16063.91,638020,607956,16370456,8241156,627,111020,1865,72948,3779,695060,174,63412,969,127644,134,57996
17067.71,638617,608543,16370456,8255432,628,111020,1865,72948,3780,695060,174,63412,970,127644,134,58000
18071.2,639213,609129,16370456,8268736,629,111020,1867,72968,3784,695088,174,63412,971,127924,134,58000
19075.87,639811,609719,16370456,8282116,629,111020,1868,72976,3787,695088,174,63412,972,127924,134,58000
20081.52,640408,610310,16370456,8297248,629,111020,1870,72984,3790,695088,174,63412,973,127924,135,58000
21086.86,641006,610899,16370456,8314680,629,111020,1872,72984,3792,695092,175,63412,973,127932,135,58000
22091.36,641604,611492,16370456,8328884,629,111020,1873,72984,3794,695100,175,63412,974,127944,135,58004
23095.45,642200,612077,16370456,8341444,629,111020,1875,73536,3797,695100,175,63412,976,127944,135,58004
