time,sent,received,total
2.35,132242.44,1529210.21,1622.51
1005.48,132244.85,1529211.93,1622.52
2010.42,132248.44,1529214.64,1622.52
3015.13,132251.73,1529217.09,1622.53
4019.47,132255.12,1529219.48,1622.53
5023.34,132258.5,1529221.92,1622.54
6027.08,132261.75,1529224.36,1622.54
7032.13,132265.2,1529226.81,1622.55
8036.07,132268.56,1529229.33,1622.56
9040.97,132271.12,1529231.16,1622.56
10044.9,132274.11,1529233.25,1622.57
11048.76,132495.21,1565419.5,1658.12
12049.72,132681.05,1568066.34,1660.89
13052.0,132886.44,1570984.59,1663.94
14053.84,133013.54,1572763.5,1665.8
15057.33,133016.89,1572765.97,1665.8
16061.96,133020.25,1572768.42,1665.81
17072.22,133025.11,1572772.0,1665.82
18073.46,133027.56,1572773.59,1665.82
19075.68,133029.06,1572774.75,1665.82
20078.41,133031.61,1572776.65,1665.83
21081.42,133035.12,1572779.04,1665.83
22085.44,133038.28,1572781.49,1665.84
23089.87,133040.85,1572783.32,1665.84
24094.99,133043.56,1572785.29,1665.85
