time,total,idle,mem_total,mem_free,10807/cpu,10807/rss,11206/cpu,11206/rss
1005.31,606036,573584,16370456,9963704,150,56372,5050,783228
2010.78,606637,574178,16370456,9965492,150,56372,5055,783228
3015.52,607237,574773,16370456,9967508,151,56372,5060,783232
4020.0,607836,575365,16370456,9967508,152,56372,5066,783264
5023.9,608433,575954,16370456,9979440,152,56372,5072,784820
6027.56,609033,576548,16370456,9984168,152,56372,5077,784820
7032.46,609632,577140,16370456,9983412,152,56372,5084,784820
8041.6,610235,577735,16370456,9983424,152,56372,5088,784820
9043.66,610834,578326,16370456,9983424,152,56372,5095,784820
10045.05,611432,578911,16370456,9966540,152,56372,5101,784820
11048.04,612028,579223,16370456,9746388,152,56384,5114,783064
12049.93,612627,579239,16370456,9676012,152,56384,5120,783104
13051.86,613227,579244,16370456,9525592,152,56384,5123,783104
14053.99,613820,579721,16370456,9293128,152,56384,5127,783104
15057.72,614419,580314,16370456,9301192,152,56384,5133,783104
16062.13,615019,580902,16370456,9298924,152,56384,5137,783104
17066.94,615620,581495,16370456,9306988,152,56384,5142,783104
18070.51,616219,582086,16370456,9316484,152,56384,5147,783104
19074.21,616817,582678,16370456,9324820,153,56384,5153,783108
20078.85,617416,583270,16370456,9340444,153,56384,5159,783108
21081.81,618016,583864,16370456,9348508,153,56384,5162,783132
22091.48,618618,584457,16370456,9356320,153,56384,5169,783160
23093.31,619216,585050,16370456,9364136,153,56384,5174,783176
24095.52,619815,585642,16370456,9372200,153,56384,5180,783236
