time,total,idle,mem_total,mem_free,10807/cpu,10807/rss,11206/cpu,11206/rss
1004.16,366423,346274,16370456,10001572,91,58352,2435,738792
2013.79,367026,346872,16370456,10003984,92,58352,2440,738800
3016.09,367625,347464,16370456,10005424,92,58352,2445,738852
4019.34,368222,348055,16370456,10005952,92,58352,2451,738864
5023.73,368823,348650,16370456,10007428,92,58352,2456,738864
6028.36,369421,349244,16370456,10007392,92,58356,2462,738864
7033.24,370021,349839,16370456,10007604,92,58356,2466,738868
8037.47,370621,350430,16370456,10013340,92,58356,2471,738888
9041.25,371219,351024,16370456,10013340,92,58356,2475,738952
10046.79,371820,351612,16370456,9990876,93,58356,2480,739240
11049.82,372411,352040,16370456,9429080,94,58388,2508,773744
12052.89,373009,352600,16370456,9469212,95,58620,2515,780076
13056.7,373607,353191,16370456,9475400,95,58620,2521,782272
14063.03,374207,353786,16370456,9512472,95,58620,2525,783440
15066.56,374806,354379,16370456,9530600,95,58620,2530,785384
16071.68,375407,354975,16370456,9548168,95,58620,2534,786432
17074.55,376005,355566,16370456,9563232,95,58620,2539,788280
18078.94,376605,356156,16370456,9573888,95,58620,2544,789596
19082.77,377205,356748,16370456,9594812,95,58620,2550,791508
20088.05,377804,357340,16370456,9608104,95,58620,2556,793088
21091.84,378403,357931,16370456,9619376,95,58620,2562,796336
22096.43,379001,358506,16370456,9634140,95,58628,2586,799660
