time,sent,received,total
2.47,126555.66,1292291.02,1385.59
1004.24,126557.84,1292292.62,1385.6
2007.93,126561.0,1292295.0,1385.6
3012.26,126564.16,1292297.39,1385.61
4016.91,126567.43,1292299.64,1385.61
5021.56,126570.79,1292302.09,1385.62
6026.65,126574.14,1292304.54,1385.62
7031.27,126577.69,1292306.99,1385.63
8035.71,126580.22,1292308.83,1385.63
9039.19,126582.88,1292310.72,1385.64
10044.13,126586.7,1292313.36,1385.64
11046.91,126790.23,1295114.32,1388.58
12049.42,126795.25,1295117.73,1388.59
13053.25,126798.57,1295120.24,1388.59
14057.24,126801.86,1295122.62,1388.6
15062.01,126805.07,1295125.13,1388.6
16065.97,126808.59,1295127.52,1388.61
17070.82,126811.73,1295129.96,1388.61
18074.47,126815.17,1295132.35,1388.62
19079.3,126818.71,1295134.74,1388.63
20085.47,126821.87,1295137.12,1388.63
21091.89,126825.02,1295139.64,1388.64
22096.29,126828.38,1295142.15,1388.64
