time,total,idle,mem_total,mem_free,4480/cpu,4480/rss,4501/cpu,4501/rss,4512/cpu,4512/rss,4609/cpu,4609/rss,4610/cpu,4610/rss,8670/cpu,8670/rss,8776/cpu,8776/rss
1003.53,231560,220176,16370456,11877944,429,112252,620,61248,1020,300932,109,65548,331,117168,21,16256,57,53468
2009.39,232160,220770,16370456,11877944,429,112252,621,61248,1021,300932,109,65548,331,117168,21,16260,57,53468
3013.47,232758,221364,16370456,11877944,429,112252,622,61248,1023,300932,109,65548,332,117168,21,16260,57,53468
4016.5,233355,221943,16370456,11882240,429,112252,624,61256,1026,300932,109,65548,333,117168,21,16260,58,53468
5019.9,233953,222533,16370456,11881988,429,112252,627,63140,1029,300932,110,65548,334,117168,21,16264,58,53468
6029.74,234556,223124,16370456,11877452,430,112252,627,63140,1031,300936,110,65548,334,117168,21,16264,58,53468
7031.62,235154,223716,16370456,11877452,430,112252,629,63148,1033,300936,110,65548,336,117168,21,16268,59,53468
8033.34,235752,224304,16370456,11880548,430,112252,629,63148,1036,300936,110,65548,336,117168,21,16272,59,53468
9035.58,236350,224896,16370456,11880048,430,112252,631,63148,1038,300936,110,65548,338,117168,21,16280,59,53468
10040.0,236950,225480,16370456,11874544,430,112252,632,63148,1040,300936,111,65548,338,117168,22,16284,59,53468
11041.57,237547,225526,16370456,11696340,430,112252,639,60788,1060,311432,111,65548,338,117192,22,16284,62,53736
12046.32,238148,225532,16370456,11579420,430,112252,639,60788,1063,311456,111,65548,339,117192,22,16284,63,53880
13047.98,238746,225667,16370456,11368052,430,112252,643,60632,1067,311528,111,65548,340,117192,22,16304,65,53940
14049.79,239345,225682,16370456,11205792,430,112252,643,60648,1068,311544,111,65548,340,117204,22,16304,65,53940
15051.31,239940,225909,16370456,11033608,430,112252,646,60620,1073,311592,111,65548,342,117204,22,16312,65,54072
16052.91,240537,225920,16370456,11031092,430,112252,647,60648,1075,311600,111,65548,342,117204,23,16316,66,54152
17059.36,241140,225928,16370456,11020716,431,112252,647,60680,1076,311600,111,65548,342,117204,23,16316,66,54152
18061.53,241736,226401,16370456,10862512,431,112252,654,60952,1086,311628,111,65548,343,117204,23,16376,69,54396
19065.52,242334,226993,16370456,10862512,432,112252,656,61028,1089,311628,111,65548,345,117204,23,16380,70,54396
20070.53,242931,227581,16370456,10860452,432,112252,657,61040,1091,311628,111,65548,345,117204,23,16384,70,54396
21075.22,243529,228173,16370456,10862968,432,112252,659,61052,1094,311628,111,65548,346,117204,24,16384,70,54396
22081.3,244129,228762,16370456,10851720,432,112252,659,61056,1096,311628,111,65548,347,117204,24,16384,70,54396
23085.56,244729,229357,16370456,10856212,433,112252,660,61120,1097,311628,111,65548,348,117204,24,16388,70,54396
24089.91,245330,229935,16370456,10858784,433,112252,661,61136,1100,311628,111,65548,349,117204,24,16388,70,54396
25094.27,245928,230523,16370456,10866596,433,112252,663,61148,1102,311628,111,65548,350,117204,24,16392,71,54396
26098.0,246525,231104,16370456,10875356,433,112252,666,61168,1107,311636,112,65548,351,117204,24,16392,71,54396
27102.75,247123,231698,16370456,10881276,433,112252,667,61104,1110,311636,112,65548,352,117204,24,16392,71,54396
28108.09,247722,232283,16370456,10896604,433,112252,668,61112,1112,311636,112,65548,352,117204,24,16396,71,54396
