time,sent,received,total
2.01,287416.28,1494468.24,1740.12
1003.56,287426.68,1494479.5,1740.14
2008.25,287429.89,1494481.88,1740.15
3014.04,287438.58,1494493.92,1740.17
4017.55,287441.83,1494496.31,1740.17
5021.37,287445.25,1494498.89,1740.18
6024.94,287453.72,1494511.13,1740.2
7028.76,287457.0,1494513.52,1740.21
8030.72,287465.73,1494525.48,1740.23
9034.16,287469.13,1494527.87,1740.23
10038.37,287479.67,1494546.69,1740.26
11040.91,287668.26,1512012.31,1757.5
12042.89,287853.25,1514552.78,1760.16
13045.37,288043.64,1532158.2,1777.54
14051.14,288222.67,1534650.95,1780.15
15053.17,288374.98,1541346.1,1786.84
16058.8,288383.17,1541357.72,1786.86
17063.75,288386.46,1541360.17,1786.86
18067.27,288395.64,1541372.34,1786.88
19071.02,288398.73,1541374.59,1786.89
20074.82,288407.5,1541386.63,1786.91
21078.66,288410.94,1541389.02,1786.91
22083.16,288419.41,1541400.99,1786.93
23088.66,288422.4,1541403.24,1786.94
24094.82,288431.0,1541415.28,1786.96
25098.82,288434.61,1541417.73,1786.96
