time,total,idle,mem_total,mem_free,11476/cpu,11476/rss,12090/cpu,12090/rss,4355/cpu,4355/rss
1003.9,408615,387054,16370452,9442120,26,16364,84,55380,2966,642540
2009.14,409215,387636,16370452,9442120,26,16368,84,55380,2985,642604
3013.66,409815,388228,16370452,9442120,26,16368,84,55380,2990,642608
4019.42,410416,388823,16370452,9442120,26,16368,84,55380,2995,642608
5024.06,411016,389417,16370452,9442120,26,16372,84,55380,3000,642612
6027.62,411615,390009,16370452,9442120,26,16372,84,55380,3006,642612
7032.24,412214,390603,16370452,9441364,26,16376,84,55380,3010,642612
8038.98,412815,391198,16370452,9441112,26,16384,86,55380,3016,642612
9043.67,413416,391793,16370452,9441112,26,16392,86,55380,3020,642612
10047.41,414015,392375,16370452,9414652,27,16396,86,55384,3026,642616
11050.33,414612,392431,16370452,9269804,27,16400,88,55464,3039,642120
12055.89,415215,392437,16370452,9127676,27,16404,89,55464,3043,642288
13057.17,415813,392565,16370452,8802452,27,16408,89,55468,3048,644012
14059.39,416411,392577,16370452,8728868,27,16412,90,55484,3052,644020
15061.49,417010,392815,16370452,8592032,27,16412,90,55484,3055,644020
16062.75,417603,393339,16370452,8510144,28,16420,91,55488,3062,644024
17064.17,418194,393871,16370452,8509640,28,16420,91,55488,3065,644028
18066.28,418787,394409,16370452,8509388,28,16436,91,55488,3068,644028
19067.45,419381,394944,16370452,8509136,28,16440,91,55488,3072,644036
20069.83,419974,395481,16370452,8508632,28,16440,91,55488,3075,644036
21070.99,420569,396035,16370452,8483480,28,16440,92,55492,3085,644044
22075.34,421169,396626,16370452,8483480,28,16440,92,55492,3093,644044
23084.3,421771,397223,16370452,8488420,28,16444,94,55492,3098,644044
24085.84,422366,397810,16370452,8496484,28,16456,94,55492,3106,644048
25088.32,422965,398399,16370452,8504800,28,16468,95,55496,3112,644060
26093.76,423565,398989,16370452,8513368,28,16468,95,55500,3119,644060
27098.24,424163,399578,16370452,8521180,29,16476,96,55504,3126,644060
28108.34,424767,400174,16370452,8528884,30,16476,96,55512,3132,644108
29110.65,425367,400769,16370452,8535836,30,16476,96,55512,3136,644108
30113.6,425966,401363,16370452,8541688,30,16480,97,55512,3140,644112
31118.13,426564,401954,16370452,8549588,30,16480,97,55512,3144,644112
