time,total,idle,mem_total,mem_free,890/cpu,890/rss
1004.6,1815090,1611973,3887864,431432,1015,35380
2005.25,1815489,1612364,3887864,431668,1015,35380
3006.75,1815885,1612753,3887864,431644,1016,35380
4011.92,1816285,1613130,3887864,432160,1016,35380
5013.71,1816678,1613505,3887864,432820,1016,35380
6015.08,1817073,1613877,3887864,433380,1016,35380
7016.62,1817470,1614252,3887864,433380,1019,35384
8017.49,1817866,1614617,3887864,433440,1019,35384
9018.24,1818267,1615008,3887864,435620,1019,35384
10018.92,1818668,1615404,3887864,435128,1019,35384
11019.8,1819059,1615729,3887864,427628,1020,35384
12020.62,1819448,1616035,3887864,412328,1020,35384
13021.93,1819838,1616333,3887864,402644,1020,35384
14022.73,1820239,1616721,3887864,403764,1020,35384
15023.4,1820634,1617112,3887864,411388,1020,35384
16024.08,1821032,1617504,3887864,414512,1020,35384
17024.81,1821429,1617895,3887864,415984,1020,35384
18025.5,1821825,1618264,3887864,424844,1020,35384
19026.32,1822222,1618656,3887864,424816,1021,35384
20027.01,1822621,1619049,3887864,424424,1021,35384
21027.66,1823020,1619441,3887864,424848,1021,35384
22028.32,1823419,1619834,3887864,424072,1021,35384
23029.91,1823818,1620230,3887864,424372,1022,35384
24031.52,1824214,1620607,3887864,425156,1022,35384
25032.46,1824602,1620904,3887864,418576,1022,35384
