time,total,idle,mem_total,mem_free,4864/cpu,4864/rss,4884/cpu,4884/rss,4902/cpu,4902/rss,4949/cpu,4949/rss,4970/cpu,4970/rss,4971/cpu,4971/rss
1003.85,5668265,5396132,3887864,1242400,6732,107848,35221,221252,90231,610628,228,79460,4102,64864,22399,126456
2005.37,5668665,5396522,3887864,1242816,6732,107848,35226,221304,90234,610968,228,79460,4102,64864,22400,126456
3006.86,5669061,5396910,3887864,1243128,6732,107848,35230,221304,90239,611652,228,79460,4102,64864,22402,126456
4010.7,5669460,5397297,3887864,1242556,6733,107848,35231,221304,90244,611964,228,79460,4102,64864,22406,126456
5013.91,5669856,5397678,3887864,1242544,6734,107848,35235,221304,90252,612580,228,79460,4103,64864,22408,126456
6017.92,5670252,5398063,3887864,1241976,6734,107848,35238,221304,90258,612904,228,79460,4103,64864,22411,126456
7020.36,5670649,5398440,3887864,1242188,6736,107848,35242,221304,90265,613208,228,79460,4104,64864,22413,126456
8023.4,5671045,5398826,3887864,1241872,6736,107848,35244,221304,90271,613584,228,79460,4104,64864,22416,126456
9025.15,5671444,5399187,3887864,1236736,6736,107848,35247,221308,90277,613936,228,79460,4105,64868,22419,126456
10027.06,5671845,5399572,3887864,1232860,6736,107848,35249,221308,90281,614744,228,79460,4105,64868,22420,126456
11028.7,5672239,5399786,3887864,1223256,6738,107848,35264,221308,90371,621388,228,79460,4107,64880,22427,126460
12031.9,5672633,5400148,3887864,1223256,6738,107848,35267,221308,90378,621556,228,79460,4107,64880,22429,126460
13033.58,5673033,5400513,3887864,1223256,6738,107848,35272,221308,90389,621784,228,79460,4108,64880,22431,126460
14037.65,5673433,5400907,3887864,1223256,6738,107848,35272,221308,90391,621800,228,79460,4108,64880,22433,126460
15041.02,5673831,5401288,3887864,1223336,6740,107848,35276,221308,90398,621840,228,79460,4108,64880,22435,126460
16045.42,5674228,5401665,3887864,1224032,6740,107848,35280,221308,90407,621880,228,79460,4111,64880,22439,126460
17048.7,5674624,5402045,3887864,1224804,6741,107848,35283,221308,90413,621896,228,79460,4112,64880,22441,126460
18052.87,5675019,5402420,3887864,1225484,6742,107848,35289,221308,90425,621904,231,79460,4113,64880,22444,126460
19057.81,5675415,5402804,3887864,1226580,6742,107848,35291,221308,90430,621912,231,79460,4113,64880,22446,126460
20059.77,5675813,5403173,3887864,1227892,6742,107848,35293,221308,90435,621912,231,79460,4113,64880,22448,126460
21061.42,5676211,5403566,3887864,1227892,6743,107848,35295,221308,90437,621912,231,79460,4114,64880,22448,126460
22063.05,5676610,5403960,3887864,1228456,6743,107848,35295,221308,90439,621928,231,79460,4115,64880,22450,126460
23064.83,5677006,5404349,3887864,1228456,6743,107848,35299,221308,90445,621940,231,79460,4115,64880,22451,126460
