time,total,idle,mem_total,mem_free,1647/cpu,1647/rss
1002.79,1613181,1301913,3887864,2008864,86027,781004
2003.51,1613577,1302257,3887864,1999488,86038,781008
3004.88,1613973,1302632,3887864,1999996,86057,781032
4006.65,1614363,1302982,3887864,1996148,86074,781032
5007.4,1614759,1303340,3887864,2003980,86087,781032
6008.15,1615155,1303728,3887864,2003980,86094,781036
7008.84,1615552,1304095,3887864,2008596,86101,781036
8009.51,1615948,1304481,3887864,2008596,86107,781036
9010.24,1616348,1304848,3887864,1993000,86114,781036
10011.83,1616745,1305229,3887864,1993000,86125,781040
11012.71,1617132,1305438,3887864,1983276,86188,779368
12015.59,1617521,1305784,3887864,1979784,86203,779428
13016.59,1617913,1306090,3887864,1986244,86225,779384
14017.45,1618306,1306455,3887864,1990144,86237,779392
15018.35,1618706,1306845,3887864,1991364,86243,779400
16019.23,1619105,1307202,3887864,1997764,86252,779404
17020.07,1619507,1307592,3887864,1998580,86259,779304
18021.32,1619903,1307954,3887864,1997432,86270,779352
19022.28,1620301,1308343,3887864,1997640,86275,779352
20023.11,1620701,1308709,3887864,2002876,86284,779364
21024.57,1621099,1309091,3887864,2002876,86293,779372
22025.8,1621496,1309435,3887864,2006332,86310,779400
23027.02,1621891,1309808,3887864,1995760,86317,779400
24027.72,1622288,1310165,3887864,1990488,86330,779416
