time,total,idle,mem_total,mem_free,1965/cpu,1965/rss,1995/cpu,1995/rss,2009/cpu,2009/rss,2022/cpu,2022/rss,2900/cpu,2900/rss,2918/cpu,2918/rss
1004.06,4897438,4277938,3887864,541904,129391,663332,23468,71972,30744,128688,56366,145104,4416,94584,1129,42816
2005.56,4897833,4278314,3887864,542096,129397,663620,23469,71972,30746,128692,56369,145104,4416,94584,1129,42816
3007.18,4898233,4278674,3887864,532280,129404,663780,23471,71972,30748,128692,56372,145104,4416,94584,1129,42816
4010.68,4898628,4279034,3887864,533256,129415,664288,23472,71972,30750,128692,56379,145104,4416,94584,1129,42816
5014.28,4899016,4279384,3887864,535232,129430,664616,23475,71972,30753,128692,56386,145104,4417,94584,1129,42816
6016.01,4899410,4279723,3887864,541420,129440,665196,23479,71972,30755,128692,56391,145104,4418,94584,1129,42816
7017.59,4899807,4280101,3887864,542300,129447,665492,23481,71972,30758,128692,56394,145104,4418,94584,1129,42816
8019.94,4900204,4280442,3887864,543316,129456,665900,23482,71972,30761,128692,56399,145140,4418,94584,1129,42816
9021.66,4900602,4280815,3887864,543984,129462,666056,23483,71972,30763,128692,56400,145156,4418,94584,1130,42824
10024.64,4900995,4281156,3887864,530056,129471,666588,23485,71972,30764,128692,56404,145260,4418,94584,1130,42824
11050.48,4901392,4281293,3887864,529940,129567,671680,23488,71972,30774,128900,56423,145808,4419,94584,1131,42824
12052.43,4901792,4281589,3887864,525588,129598,672352,23490,71972,30776,128900,56431,145808,4422,94584,1131,42824
13056.62,4902188,4281860,3887864,526676,129606,672440,23490,71972,30778,128900,56435,145808,4422,94584,1131,42824
14058.32,4902582,4282168,3887864,530380,129622,672524,23492,71972,30781,128928,56441,145808,4423,94592,1131,42824
15060.31,4902976,4282544,3887864,531504,129629,672576,23493,71972,30783,128928,56445,145808,4424,94592,1131,42824
16064.29,4903367,4282903,3887864,532216,129640,672596,23497,71972,30786,128928,56451,145808,4424,94592,1131,42824
17066.11,4903770,4283255,3887864,540340,129646,672608,23499,71972,30787,128928,56454,145808,4424,94592,1131,42824
18067.88,4904163,4283630,3887864,540280,129654,672616,23501,71972,30790,128928,56457,145808,4425,94592,1131,42824
19069.6,4904559,4283971,3887864,527180,129663,672616,23502,71972,30792,128928,56461,145808,4425,94592,1131,42824
20071.35,4904951,4284343,3887864,527496,129669,672620,23503,71972,30793,128928,56464,145808,4425,94592,1131,42824
21073.04,4905346,4284697,3887864,529260,129678,672624,23505,71972,30795,128928,56467,145808,4426,94592,1131,42824
22074.8,4905739,4285056,3887864,530192,129689,672624,23508,71972,30798,128928,56472,145808,4426,94592,1131,42824
23076.59,4906134,4285413,3887864,522356,129697,672624,23509,71972,30799,128928,56475,145808,4426,94592,1131,42824
24078.28,4906533,4285793,3887864,523712,129702,672624,23511,71972,30801,128928,56478,145808,4426,94592,1131,42824
