time,total,idle,mem_total,mem_free,1914/cpu,1914/rss,4106/cpu,4106/rss
1007.37,4951080,4511513,3887864,103044,749,2824,36728,101188
2009.43,4951478,4511909,3887864,103004,749,2824,36730,101188
3011.56,4951875,4512298,3887864,103960,749,2824,36732,101188
4013.61,4952274,4512690,3887864,104156,749,2824,36734,101188
5015.68,4952674,4513079,3887864,104252,749,2824,36738,101188
6017.73,4953074,4513475,3887864,104000,749,2824,36740,101188
7019.9,4953472,4513867,3887864,104252,750,2824,36744,101188
8022.05,4953872,4514253,3887864,103188,750,2824,36745,101188
9024.12,4954272,4514646,3887864,103360,750,2824,36748,101188
10025.55,4954668,4515033,3887864,104488,750,2824,36755,101188
11027.49,4955064,4515410,3887864,103732,750,2824,36765,101188
12028.85,4955454,4515751,3887864,99780,750,2824,36776,101188
13029.92,4955844,4516100,3887864,83908,750,2824,36780,101244
14030.82,4956242,4516443,3887864,76536,750,2824,36784,101248
15031.66,4956640,4516835,3887864,78040,750,2824,36787,101260
16032.52,4957040,4517231,3887864,80736,750,2824,36787,101260
17034.31,4957438,4517627,3887864,83048,750,2824,36789,101260
18035.96,4957845,4518005,3887864,85188,750,2824,36792,101260
19037.62,4958252,4518374,3887864,86776,750,2824,36802,101260
20039.89,4958651,4518764,3887864,88112,750,2824,36806,101260
21042.23,4959049,4519145,3887864,88812,750,2824,36815,101260
22044.35,4959447,4519534,3887864,89960,750,2824,36822,101260
23046.53,4959847,4519924,3887864,91804,750,2824,36825,101260
24048.65,4960245,4520317,3887864,92872,750,2824,36827,101260
25049.76,4960638,4520656,3887864,93744,750,2824,36835,101260
