time,total,idle,mem_total,mem_free,4864/cpu,4864/rss,4884/cpu,4884/rss,4902/cpu,4902/rss,4949/cpu,4949/rss,4970/cpu,4970/rss,4971/cpu,4971/rss
1008.39,5085186,4845977,3887864,1487420,5922,107808,29610,192036,74855,432564,195,79460,3508,64816,18825,127444
2012.41,5085580,4846348,3887864,1487420,5923,107808,29615,192036,74868,432564,195,79460,3509,64816,18829,127444
3020.48,5085978,4846732,3887864,1487420,5923,107808,29619,192036,74876,432564,195,79460,3509,64816,18832,127444
4023.48,5086376,4847102,3887864,1487672,5925,107808,29625,192052,74888,432564,195,79460,3510,64816,18836,127444
5026.59,5086771,4847484,3887864,1487672,5925,107808,29628,192052,74896,432564,195,79460,3510,64816,18840,127444
6028.4,5087164,4847845,3887864,1484484,5926,107808,29631,192052,74901,432564,195,79460,3511,64816,18841,127444
7029.96,5087563,4848232,3887864,1485096,5926,107808,29634,192080,74908,432564,195,79460,3511,64816,18842,127444
8031.52,5087960,4848628,3887864,1485352,5926,107808,29635,192080,74909,432564,195,79460,3512,64816,18844,127444
9033.16,5088359,4849017,3887864,1485576,5927,107808,29638,192080,74914,432564,195,79460,3512,64816,18845,127444
10035.05,5088757,4849406,3887864,1482048,5928,107808,29639,192080,74917,432564,195,79460,3512,64816,18846,127444
11037.48,5089149,4849725,3887864,1478708,5931,107808,29647,192092,74943,432568,195,79460,3512,64816,18849,127444
12039.23,5089537,4849947,3887864,1475576,5932,107808,29677,194328,75037,432588,195,79460,3514,64824,18859,127452
13041.35,5089932,4850306,3887864,1475328,5932,107808,29680,194332,75045,432588,195,79460,3514,64824,18860,127452
14044.45,5090320,4850648,3887864,1475328,5933,107808,29686,194332,75059,432600,195,79460,3514,64824,18865,127452
15046.28,5090711,4850891,3887864,1470796,5933,107808,29701,194336,75159,439856,195,79460,3515,64856,18870,127456
16048.25,5091101,4851239,3887864,1468688,5934,107808,29707,194340,75176,439900,195,79460,3516,64856,18872,127456
17052.61,5091493,4851613,3887864,1468880,5934,107808,29712,194340,75188,439916,195,79460,3516,64856,18875,127456
18056.5,5091891,4851996,3887864,1470200,5934,107808,29717,194340,75196,439928,195,79460,3516,64856,18877,127456
19060.2,5092287,4852368,3887864,1470372,5936,107808,29722,194340,75207,439952,195,79460,3516,64856,18880,127456
20063.85,5092685,4852754,3887864,1470928,5937,107808,29725,194340,75212,439952,195,79460,3517,64856,18883,127456
21067.78,5093086,4853138,3887864,1471464,5937,107808,29728,194340,75217,439972,195,79460,3518,64856,18885,127456
22071.99,5093484,4853517,3887864,1471816,5938,107808,29733,194340,75227,439972,195,79460,3518,64856,18887,127456
23076.21,5093884,4853906,3887864,1472880,5938,107808,29735,194340,75231,439980,195,79460,3518,64856,18890,127456
24079.91,5094277,4854278,3887864,1473420,5939,107808,29741,194340,75243,439988,195,79460,3519,64856,18892,127456
25084.21,5094675,4854666,3887864,1473804,5939,107808,29743,194340,75248,439992,195,79460,3519,64856,18895,127456
26086.0,5095065,4855020,3887864,1475308,5940,107808,29749,194340,75257,440000,195,79460,3519,64856,18897,127456
