time,total,idle,mem_total,mem_free,12317/cpu,12317/rss,12395/cpu,12395/rss,12473/cpu,12473/rss,12561/cpu,12561/rss,12631/cpu,12631/rss,12883/cpu,12883/rss,890/cpu,890/rss
1004.94,1491050,1306153,3887864,1598052,181,52464,882,67940,561,53052,1417,53824,343,66008,209,46864,842,35236
2009.48,1491446,1306539,3887864,1598708,181,52464,882,67940,562,53052,1418,53824,343,66008,209,46864,843,35236
3014.29,1491843,1306919,3887864,1599492,181,52472,882,67940,562,53052,1418,53824,343,66008,209,46864,843,35236
4018.99,1492237,1307303,3887864,1599700,181,52472,883,67940,563,53052,1420,53824,343,66008,210,46864,843,35236
5022.31,1492628,1307673,3887864,1600476,181,52472,883,67940,563,53052,1421,53824,343,66008,210,46864,843,35236
6024.12,1493023,1308043,3887864,1599916,181,52472,883,67940,563,53052,1422,53824,344,66008,210,46864,843,35236
7025.87,1493421,1308419,3887864,1597624,181,52472,883,67940,563,53052,1422,53824,344,66008,211,46864,844,35236
8027.63,1493819,1308811,3887864,1597624,182,52472,884,67940,564,53052,1422,53824,344,66008,211,46864,844,35236
9029.39,1494218,1309206,3887864,1597876,182,52472,885,67940,564,53052,1423,53824,344,66008,211,46864,844,35236
10031.12,1494613,1309596,3887864,1598136,182,52472,885,67940,564,53052,1423,53824,344,66008,211,46864,844,35236
11033.08,1495000,1309874,3887864,1597104,183,52588,899,67952,570,53068,1436,53848,346,66008,211,46864,845,35236
12035.23,1495385,1310165,3887864,1577396,183,52604,902,67968,572,53104,1441,54216,346,66008,211,46864,845,35236
13037.16,1495780,1310489,3887864,1572760,183,52612,902,67968,572,53104,1441,54216,346,66008,212,46864,845,35236
14040.17,1496165,1310800,3887864,1570896,184,52684,911,67972,574,53304,1449,54328,348,66008,213,46864,845,35236
15041.99,1496553,1311107,3887864,1574308,185,52724,915,67980,575,53332,1455,54332,351,66020,213,46864,845,35236
16045.06,1496948,1311494,3887864,1574912,185,52724,915,67980,576,53344,1456,54332,351,66020,213,46864,846,35236
17046.81,1497349,1311862,3887864,1579796,185,52724,915,67980,576,53344,1456,54332,351,66020,213,46864,846,35236
18048.47,1497745,1312250,3887864,1580752,185,52724,917,67980,576,53352,1456,54332,352,66020,213,46864,846,35236
19050.2,1498143,1312644,3887864,1582004,185,52724,917,67980,577,53352,1457,54332,352,66020,213,46864,846,35236
20051.98,1498540,1313037,3887864,1583428,185,52724,917,67980,577,53356,1457,54332,352,66020,213,46864,846,35236
21054.32,1498938,1313431,3887864,1583300,185,52724,917,67980,578,53372,1457,54332,352,66020,213,46864,846,35236
22058.31,1499337,1313806,3887864,1584472,185,52724,917,67980,578,53372,1458,54332,352,66028,213,46864,846,35236
23062.66,1499736,1314188,3887864,1585024,185,52732,917,67980,578,53372,1458,54336,353,66032,213,46864,846,35236
24067.43,1500131,1314571,3887864,1585612,186,52736,917,67980,579,53384,1460,54336,353,66032,213,46864,847,35236
25072.15,1500530,1314933,3887864,1585644,186,52736,917,67980,579,53384,1462,54336,353,66032,213,46864,847,35236
26074.16,1500921,1315249,3887864,1583980,186,52828,925,67988,582,53496,1471,54340,357,66284,214,46864,847,35236
