time,total,idle,mem_total,mem_free,1647/cpu,1647/rss
1005.47,1118175,858466,3887864,2248476,62798,619624
2006.77,1118573,858812,3887864,2257224,62828,620844
3008.18,1118968,859184,3887864,2257224,62844,621436
4009.1,1119367,859468,3887864,2246112,62924,622476
5009.83,1119763,859856,3887864,2246524,62930,622764
6010.52,1120159,860225,3887864,2248416,62935,622808
7011.21,1120557,860615,3887864,2249140,62941,622828
8011.88,1120956,860987,3887864,2255692,62946,622828
9013.77,1121352,861368,3887864,2256020,62957,622864
10014.96,1121749,861701,3887864,2240568,62982,623024
11016.33,1122138,861922,3887864,2235948,63095,623596
12017.74,1122527,862112,3887864,2209396,63165,623532
13018.64,1122918,862373,3887864,2209212,63224,623884
14019.46,1123308,862695,3887864,2209028,63283,623992
15020.86,1123703,863008,3887864,2202060,63294,623992
16022.35,1124103,863392,3887864,2202360,63304,623992
17023.27,1124497,863746,3887864,2219412,63315,624032
18024.04,1124896,864140,3887864,2221064,63320,624120
19024.78,1125293,864508,3887864,2218424,63327,624128
20025.5,1125688,864887,3887864,2218572,63340,625984
21026.19,1126086,865251,3887864,2219728,63347,625984
22026.88,1126479,865598,3887864,2223196,63371,624244
23027.81,1126875,865959,3887864,2213648,63386,624256
24028.62,1127271,866346,3887864,2219068,63393,624256
25029.34,1127669,866728,3887864,2219320,63405,624336
