time,total,idle,mem_total,mem_free,1965/cpu,1965/rss,1995/cpu,1995/rss,2009/cpu,2009/rss,2022/cpu,2022/rss,2900/cpu,2900/rss,2918/cpu,2918/rss,45263/cpu,45263/rss,45469/cpu,45469/rss,45764/cpu,45764/rss,45963/cpu,45963/rss,46357/cpu,46357/rss,46634/cpu,46634/rss
1006.84,4222479,3697038,3887864,853352,104623,493432,20216,72100,25812,133204,46660,100116,3585,94036,945,43196,371,58776,1001,54812,369,46744,1727,68716,547,64276,2365,56632
2009.34,4222873,3697386,3887864,854792,104633,493432,20217,72100,25814,133204,46665,100116,3585,94036,945,43196,371,58776,1001,54812,369,46744,1727,68716,548,64276,2365,56632
3012.18,4223268,3697761,3887864,855400,104638,493436,20220,72100,25816,133204,46668,100116,3588,94100,945,43196,371,58776,1002,54812,369,46744,1727,68716,548,64276,2366,56632
4014.81,4223659,3698098,3887864,842332,104649,493436,20221,72100,25818,133204,46672,100116,3589,94100,946,43196,371,58776,1002,54816,369,46744,1727,68716,548,64276,2368,56520
5021.37,4224050,3698459,3887864,843200,104658,493436,20224,72100,25824,133204,46677,100116,3589,94100,946,43196,371,58776,1002,54816,369,46744,1727,68716,548,64276,2368,56520
6024.19,4224447,3698798,3887864,841680,104671,493436,20225,72100,25829,133204,46681,100116,3589,94100,946,43196,371,58776,1002,54824,369,46744,1728,68716,549,64276,2369,56520
7027.6,4224842,3699158,3887864,850248,104678,493436,20226,72100,25831,133204,46685,100116,3590,94100,946,43196,372,58776,1002,54824,369,46744,1728,68716,549,64276,2370,56520
8030.45,4225234,3699489,3887864,859844,104686,493436,20228,72100,25832,133204,46689,100116,3590,94100,946,43196,372,58776,1002,54824,369,46744,1728,68716,549,64276,2370,56520
9037.75,4225629,3699862,3887864,859952,104693,493436,20230,72100,25835,133204,46692,100116,3590,94100,946,43196,373,58776,1003,54824,370,46756,1728,68716,550,64276,2370,56520
10041.68,4226028,3700215,3887864,847172,104703,493436,20231,72100,25837,133204,46698,100116,3591,94100,946,43196,373,58776,1003,54832,370,46756,1729,68716,550,64276,2371,56520
11059.45,4226422,3700306,3887864,846100,104790,500516,20235,72120,25855,133452,46725,100116,3593,94100,946,43196,373,58848,1008,54976,371,46780,1745,68960,551,64280,2383,56520
12065.31,4226822,3700424,3887864,836040,104896,513840,20236,72120,25861,133456,46747,100132,3596,94100,947,43196,374,58912,1012,54988,372,46844,1752,69212,551,64280,2391,56588
13074.65,4227211,3700670,3887864,819716,104905,513860,20240,72120,25863,133456,46751,100132,3596,94100,947,43196,374,58912,1012,54992,372,46844,1752,69212,551,64280,2392,56588
14088.82,4227604,3700904,3887864,821628,104924,513948,20241,72120,25867,133460,46759,100132,3598,94100,947,43196,375,58976,1012,55004,372,46844,1753,69212,551,64280,2393,56592
15132.5,4228005,3701059,3887864,827280,104975,514084,20246,72124,25878,133480,46773,100132,3601,94100,948,43196,378,59088,1017,55092,373,46864,1760,69236,551,64280,2398,56592
16138.16,4228409,3701205,3887864,827280,105063,514164,20248,72124,25885,133480,46798,100132,3603,94104,948,43224,380,59192,1021,55092,374,46868,1777,69308,559,64292,2416,56748
17141.34,4228804,3701528,3887864,813752,105071,514180,20249,72124,25887,133480,46802,100132,3604,94104,948,43228,380,59200,1021,55092,374,46868,1778,69308,559,64292,2416,56748
18145.44,4229201,3701882,3887864,814016,105078,514180,20250,72124,25889,133480,46805,100132,3604,94104,948,43228,380,59200,1021,55092,374,46868,1778,69308,559,64292,2416,56748
19149.79,4229598,3702230,3887864,815208,105084,514180,20252,72124,25891,133480,46808,100132,3604,94104,948,43228,380,59200,1021,55092,375,46868,1778,69308,559,64292,2417,56748
20152.8,4229992,3702562,3887864,824716,105101,514180,20254,72124,25894,133480,46816,100132,3605,94104,948,43228,381,59200,1022,55092,375,46868,1779,69308,559,64292,2417,56752
21159.74,4230377,3702917,3887864,826268,105113,514180,20256,72124,25897,133480,46822,100132,3605,94104,949,43248,381,59200,1023,55092,375,46868,1780,69308,559,64292,2418,56752
22162.85,4230772,3703249,3887864,829568,105123,514180,20258,72124,25899,133480,46828,100132,3605,94104,949,43248,381,59200,1023,55092,375,46868,1780,69308,559,64292,2418,56752
23165.59,4231170,3703627,3887864,829636,105130,514180,20260,72124,25900,133480,46831,100132,3605,94104,949,43248,381,59200,1023,55092,375,46868,1780,69308,559,64292,2419,56752
24168.34,4231566,3703965,3887864,837164,105140,514180,20261,72124,25902,133480,46836,100132,3605,94104,949,43248,381,59208,1023,55092,375,46868,1780,69308,559,64292,2420,56752
25171.1,4231962,3704345,3887864,837504,105144,514180,20263,72124,25904,133480,46838,100132,3605,94104,949,43248,381,59216,1024,55092,375,46868,1780,69308,559,64292,2420,56752
26174.3,4232362,3704694,3887864,833464,105153,514180,20264,72124,25907,133480,46842,100132,3606,94104,949,43248,381,59216,1024,55096,375,46868,1780,69308,560,64292,2421,56752
27180.61,4232748,3705048,3887864,833660,105163,514180,20268,72124,25909,133480,46847,100132,3606,94104,949,43248,381,59216,1024,55096,375,46868,1780,69308,560,64292,2422,56752
