time,total,idle,mem_total,mem_free,1914/cpu,1914/rss,4106/cpu,4106/rss
1008.47,4520655,4096646,3887864,685896,689,2824,32506,99900
2010.48,4521056,4097040,3887864,686052,689,2824,32508,99900
3012.55,4521455,4097434,3887864,686364,689,2824,32511,99900
4014.61,4521853,4097831,3887864,686364,689,2824,32512,99900
5016.73,4522254,4098225,3887864,686612,689,2824,32515,99900
6018.76,4522652,4098620,3887864,686380,689,2824,32516,99900
7020.9,4523051,4099012,3887864,686128,689,2824,32518,99900
8023.07,4523448,4099403,3887864,686380,690,2824,32522,99900
9025.18,4523847,4099797,3887864,686880,690,2824,32524,99900
10027.14,4524249,4100178,3887864,686632,690,2824,32527,99900
11028.26,4524646,4100531,3887864,685020,690,2824,32539,99900
12029.57,4525042,4100878,3887864,672368,690,2824,32545,99900
13030.59,4525432,4101212,3887864,670156,690,2824,32553,99904
14031.51,4525833,4101602,3887864,669664,690,2824,32555,99904
15032.34,4526228,4101996,3887864,669888,690,2824,32557,99904
16034.02,4526629,4102393,3887864,670392,690,2824,32559,99904
17036.15,4527027,4102784,3887864,670676,690,2824,32561,99904
18038.02,4527422,4103174,3887864,672032,690,2824,32564,99904
19040.19,4527821,4103567,3887864,672020,690,2824,32566,99904
20042.08,4528220,4103961,3887864,672280,690,2824,32569,99904
21044.42,4528616,4104347,3887864,672556,690,2824,32574,99904
22046.32,4529014,4104740,3887864,672904,690,2824,32577,99904
23048.42,4529412,4105129,3887864,672908,690,2824,32584,99904
24050.13,4529805,4105486,3887864,673052,690,2824,32602,99904
25051.13,4530200,4105815,3887864,668964,690,2824,32611,99904
26051.97,4530602,4106213,3887864,669040,690,2824,32612,99904
27052.82,4531001,4106610,3887864,671144,690,2824,32613,99904
28053.66,4531402,4107007,3887864,671480,690,2824,32614,99904
29054.5,4531803,4107404,3887864,671992,691,2824,32614,99904
30056.6,4532202,4107800,3887864,672052,691,2824,32616,99904
31058.77,4532600,4108191,3887864,672988,691,2824,32619,99904
32061.05,4532998,4108575,3887864,673240,691,2824,32629,99904
33063.26,4533396,4108969,3887864,673492,691,2824,32631,99904
34065.27,4533796,4109362,3887864,673616,691,2824,32634,99904
35067.32,4534192,4109754,3887864,673868,691,2824,32636,99904
36068.77,4534587,4110119,3887864,671692,691,2824,32642,99904
