time,total,idle,mem_total,mem_free,30044/cpu,30044/rss,890/cpu,890/rss
1010.14,2660570,2341041,3887864,1376068,932,52680,1464,35624
2012.28,2660966,2341422,3887864,1375816,932,52680,1464,35624
3014.31,2661364,2341808,3887864,1376316,932,52680,1465,35624
4016.49,2661760,2342188,3887864,1376320,933,52680,1465,35624
5018.67,2662155,2342575,3887864,1376068,934,52680,1465,35624
6021.68,2662547,2342959,3887864,1376068,934,52680,1465,35624
7022.74,2662947,2343324,3887864,1375588,934,52680,1466,35624
8023.57,2663346,2343717,3887864,1375588,934,52680,1466,35624
9024.39,2663743,2344111,3887864,1376092,934,52680,1466,35624
10025.34,2664141,2344495,3887864,1375600,934,52680,1466,35624
11026.34,2664536,2344807,3887864,1367608,935,52680,1466,35624
12027.36,2664922,2345079,3887864,1335872,935,52680,1466,35624
13028.49,2665306,2345365,3887864,1335544,935,52680,1467,35624
14029.55,2665697,2345692,3887864,1312864,935,52680,1467,35624
15030.59,2666075,2346020,3887864,1278372,936,52680,1467,35624
16032.58,2666470,2346131,3887864,1236792,936,52680,1467,35624
17037.37,2666868,2346142,3887864,1212096,936,52680,1467,35624
19682.16,2667923,2346148,3887864,1196748,937,52680,1468,35624
20684.17,2668322,2346149,3887864,1191988,937,52680,1468,35624
21689.05,2668723,2346150,3887864,1185784,937,52680,1468,35624
22691.08,2669122,2346155,3887864,1176876,937,52680,1469,35624
23694.55,2669523,2346158,3887864,1163460,938,52680,1470,35624
24698.66,2669922,2346161,3887864,1153884,939,52680,1470,35624
25700.82,2670321,2346166,3887864,1138580,939,52680,1470,35624
26703.14,2670724,2346170,3887864,1129572,939,52680,1470,35624
27704.89,2671125,2346176,3887864,1110540,940,52680,1471,35624
28706.76,2671522,2346179,3887864,1093152,940,52680,1471,35624
29711.4,2671924,2346181,3887864,1091900,940,52680,1471,35624
30713.27,2672322,2346183,3887864,1084704,940,52680,1471,35624
31717.48,2672722,2346188,3887864,1048176,940,52680,1472,35624
32721.25,2673120,2346190,3887864,1048048,940,52680,1472,35624
33725.62,2673523,2346190,3887864,1028664,941,52680,1475,35624
34727.5,2673921,2346190,3887864,1022032,941,52680,1475,35624
35729.65,2674323,2346193,3887864,1006940,942,52680,1475,35624
36732.16,2674720,2346199,3887864,1007096,942,52680,1476,35624
37735.2,2675121,2346209,3887864,1004800,942,52680,1476,35624
38738.12,2675522,2346308,3887864,931092,942,52680,1476,35624
39740.67,2675912,2346550,3887864,806996,942,52680,1476,35624
40744.41,2676291,2346790,3887864,775324,943,52680,1476,35624
41746.03,2676685,2347046,3887864,782428,943,52680,1476,35624
42746.95,2677082,2347353,3887864,794748,943,52680,1477,35624
43747.94,2677480,2347744,3887864,795540,944,52680,1478,35624
44748.87,2677877,2348137,3887864,799296,944,52680,1478,35624
45749.78,2678275,2348531,3887864,812492,944,52680,1478,35624
46751.3,2678672,2348918,3887864,824112,944,52680,1478,35624
47753.5,2679066,2349295,3887864,830948,944,52680,1478,35624
48755.84,2679460,2349656,3887864,847688,944,52680,1478,35624
49757.88,2679857,2350018,3887864,851520,945,52680,1478,35624
50761.62,2680251,2350405,3887864,854052,945,52680,1478,35624
51763.56,2680650,2350777,3887864,861660,946,52680,1479,35624
52765.72,2681044,2351162,3887864,864860,946,52680,1479,35624
53766.86,2681441,2351479,3887864,1280244,947,52680,1479,35624
