time,total,idle,mem_total,mem_free,4864/cpu,4864/rss,4884/cpu,4884/rss,4902/cpu,4902/rss,4949/cpu,4949/rss,4970/cpu,4970/rss,4971/cpu,4971/rss
1007.7,6656950,6316255,3887864,1079996,7971,108064,43280,249692,111452,703040,275,79460,5004,64948,27738,127520
2009.2,6657348,6316646,3887864,1080084,7971,108064,43281,249692,111456,703040,275,79460,5004,64948,27739,127520
3010.67,6657748,6317003,3887864,1078504,7974,108064,43284,249692,111465,703040,275,79460,5004,64948,27741,127520
4012.16,6658146,6317395,3887864,1088412,7975,108064,43286,249692,111469,703040,275,79460,5005,64948,27742,127520
5013.7,6658542,6317755,3887864,1085672,7975,108064,43289,249692,111475,703040,275,79460,5005,64948,27744,127520
6016.68,6658939,6318142,3887864,1085420,7975,108064,43291,249692,111480,703040,275,79460,5006,64948,27746,127520
7018.29,6659335,6318499,3887864,1083088,7975,108064,43294,249692,111488,703040,275,79460,5006,64948,27748,127520
8019.83,6659733,6318887,3887864,1083656,7977,108064,43296,249692,111493,703040,275,79460,5007,64948,27750,127520
9021.76,6660134,6319267,3887864,1072520,7977,108064,43298,249692,111496,703040,275,79460,5007,64948,27751,127520
10026.38,6660532,6319643,3887864,1079176,7977,108064,43299,249692,111503,703040,275,79460,5007,64948,27753,127520
11028.59,6660929,6319928,3887864,1084152,7977,108064,43310,249692,111528,703044,275,79460,5008,64952,27758,127520
12032.16,6661326,6320253,3887864,1065620,7977,108064,43312,249692,111536,703044,275,79460,5009,64952,27760,127520
13036.77,6661714,6320608,3887864,1066264,7978,108064,43318,249692,111549,703044,275,79460,5009,64952,27763,127520
14038.54,6662111,6320936,3887864,1057132,7979,108064,43324,249692,111564,703044,275,79460,5010,64952,27766,127520
15040.11,6662508,6321319,3887864,1058008,7980,108064,43327,249692,111569,703044,275,79460,5010,64952,27768,127520
16041.76,6662908,6321680,3887864,1065960,7980,108064,43329,249692,111574,703044,275,79460,5010,64952,27770,127520
17043.32,6663306,6322066,3887864,1067780,7980,108064,43331,249692,111580,703044,275,79460,5010,64952,27771,127520
18044.89,6663697,6322408,3887864,1055660,7981,108068,43338,249692,111588,703044,275,79460,5010,64952,27772,127520
19047.84,6664090,6322762,3887864,1056676,7981,108068,43340,249692,111594,703044,279,79460,5011,64952,27775,127520
20051.65,6664482,6323125,3887864,1059564,7981,108068,43343,249692,111600,703044,279,79460,5011,64952,27777,127520
21053.66,6664881,6323478,3887864,1069428,7981,108068,43345,249692,111606,703044,279,79460,5012,64952,27779,127520
22055.6,6665279,6323826,3887864,1073864,7981,108068,43346,249692,111609,703044,279,79460,5012,64952,27781,127520
23057.39,6665667,6324157,3887864,1084896,7982,108068,43350,249692,111619,703048,279,79460,5012,64952,27782,127520
24059.02,6666066,6324523,3887864,1085416,7982,108068,43352,249692,111622,703048,279,79460,5013,64952,27783,127520
25060.62,6666469,6324852,3887864,1089312,7983,108068,43355,249692,111630,703048,279,79460,5013,64952,27785,127520
26063.52,6666866,6325204,3887864,1089312,7984,108068,43357,249692,111634,703048,279,79460,5013,64952,27787,127520
27067.33,6667259,6325527,3887864,1081480,7984,108068,43360,249692,111642,703048,279,79460,5013,64952,27790,127520
28070.18,6667657,6325913,3887864,1085340,7985,108068,43363,249692,111646,703048,279,79460,5013,64952,27791,127520
29072.75,6668059,6326263,3887864,1078728,7985,108068,43364,249692,111651,703048,279,79460,5013,64952,27794,127520
30074.4,6668450,6326612,3887864,1087212,7985,108068,43366,249692,111658,703048,279,79460,5014,64952,27795,127520
31078.03,6668842,6326973,3887864,1087472,7985,108068,43369,249692,111664,703048,279,79460,5014,64952,27797,127520
32080.82,6669229,6327213,3887864,1070608,7985,108068,43372,249692,111734,703048,279,79460,5015,64952,27800,127520
33089.35,6669627,6327552,3887864,1070384,7986,108068,43379,249692,111744,703048,279,79460,5015,64952,27803,127520
34096.48,6670021,6327875,3887864,1088316,7987,108068,43383,249692,111754,703048,279,79460,5015,64952,27805,127520
35098.21,6670423,6328240,3887864,1088032,7987,108068,43385,249692,111758,703048,279,79460,5015,64952,27806,127520
36099.93,6670818,6328602,3887864,1078344,7987,108068,43386,249692,111763,703048,279,79460,5016,64952,27808,127520
37101.7,6671209,6328973,3887864,1078968,7987,108068,43388,249692,111767,703048,279,79460,5016,64952,27809,127520
38103.61,6671606,6329304,3887864,1088800,7989,108068,43391,249692,111776,703048,279,79460,5018,64952,27810,127520
39108.94,6672002,6329658,3887864,1088872,7989,108068,43395,249692,111783,703048,279,79460,5018,64952,27813,127520
40112.24,6672397,6330009,3887864,1087696,7990,108068,43397,249692,111788,703048,279,79460,5018,64952,27815,127520
41114.01,6672788,6330338,3887864,1084148,7990,108068,43399,249692,111795,703048,279,79460,5018,64952,27817,127520
42115.96,6673177,6330692,3887864,1086000,7990,108068,43401,249692,111800,703048,279,79460,5019,64952,27820,127520
43117.6,6673575,6331045,3887864,1083488,7991,108068,43404,249692,111808,703048,279,79460,5019,64952,27821,127520
44119.28,6673971,6331431,3887864,1083488,7991,108068,43408,249692,111813,703048,279,79460,5019,64952,27822,127520
45120.9,6674368,6331793,3887864,1084116,7992,108068,43411,249692,111818,703048,279,79460,5019,64952,27824,127520
46125.06,6674765,6332177,3887864,1083636,7992,108068,43414,249692,111824,703048,279,79460,5020,64952,27826,127520
47126.86,6675159,6332522,3887864,1078624,7992,108068,43418,249692,111835,703048,279,79460,5020,64952,27829,127520
48128.56,6675558,6332907,3887864,1078748,7993,108068,43421,249692,111842,703048,279,79460,5021,64952,27832,127520
49130.43,6675959,6333288,3887864,1073552,7993,108068,43421,249692,111845,703048,279,79460,5021,64952,27832,127520
50132.64,6676356,6333666,3887864,1081276,7993,108068,43424,249692,111850,703048,279,79460,5021,64952,27833,127520
51134.33,6676757,6334058,3887864,1081276,7993,108068,43425,249692,111854,703048,279,79460,5021,64952,27834,127520
52136.73,6677153,6334414,3887864,1077844,7993,108068,43427,249692,111859,703048,279,79460,5021,64952,27836,127520
53138.5,6677552,6334784,3887864,1078840,7994,108068,43430,249692,111867,703048,279,79460,5022,64952,27838,127520
54140.3,6677947,6335146,3887864,1080144,7995,108068,43433,249692,111873,703048,279,79460,5022,64952,27840,127520
55142.01,6678345,6335535,3887864,1081196,7996,108068,43435,249692,111877,703048,279,79460,5022,64952,27840,127520
