time,total,idle,mem_total,mem_free,4864/cpu,4864/rss,4884/cpu,4884/rss,4902/cpu,4902/rss,4949/cpu,4949/rss,4970/cpu,4970/rss,4971/cpu,4971/rss
1004.89,6168233,5870015,3887864,1159748,7409,107900,39289,230120,100818,666944,249,79460,4579,64796,25185,125876
2008.71,6168631,5870401,3887864,1159872,7410,107900,39292,230120,100824,666944,249,79460,4579,64796,25188,125876
3012.77,6169025,5870785,3887864,1160492,7410,107900,39294,230120,100830,666944,249,79460,4579,64796,25191,125876
4015.65,6169419,5871157,3887864,1160744,7411,107900,39298,230120,100842,666944,249,79460,4579,64796,25197,125884
5019.22,6169815,5871532,3887864,1160744,7411,107904,39303,230120,100851,666944,252,79460,4581,64796,25201,125884
6022.81,6170209,5871904,3887864,1160744,7413,107904,39309,230120,100863,666944,252,79460,4581,64796,25203,125884
7024.56,6170604,5872267,3887864,1160028,7413,107904,39312,230120,100869,666944,252,79460,4582,64796,25205,125884
8026.19,6171002,5872658,3887864,1160028,7413,107904,39313,230120,100872,666944,252,79460,4582,64796,25206,125884
9028.09,6171403,5873049,3887864,1160028,7414,107904,39315,230120,100877,666948,252,79460,4582,64796,25207,125884
10030.1,6171802,5873439,3887864,1159380,7414,107904,39317,230120,100879,666948,252,79460,4582,64796,25208,125884
11033.42,6172188,5873695,3887864,1161108,7415,107904,39339,230120,100938,667604,252,79460,4583,64800,25215,125912
12036.25,6172584,5874055,3887864,1160128,7416,107904,39342,230120,100942,667604,252,79460,4583,64800,25216,125912
13040.72,6172976,5874397,3887864,1160124,7416,107904,39346,230120,100951,667604,252,79460,4584,64800,25219,125912
14046.37,6173370,5874740,3887864,1160744,7417,107904,39350,230120,100962,667604,252,79460,4584,64800,25222,125912
15050.46,6173761,5875115,3887864,1161348,7417,107904,39355,230120,100970,667604,253,79460,4585,64800,25224,125912
16053.42,6174157,5875455,3887864,1161596,7419,107904,39361,230120,100982,667604,253,79460,4585,64800,25228,125916
17055.23,6174554,5875817,3887864,1160556,7419,107904,39363,230120,100986,667604,253,79460,4585,64800,25239,125940
18056.8,6174945,5876163,3887864,1160720,7419,107904,39369,230120,101004,667612,253,79460,4586,64800,25242,125940
19058.4,6175345,5876554,3887864,1161340,7419,107904,39371,230120,101008,667612,253,79460,4586,64800,25243,125940
20060.0,6175744,5876946,3887864,1162028,7420,107904,39372,230120,101011,667612,253,79460,4586,64800,25244,125940
21061.67,6176141,5877332,3887864,1162476,7421,107904,39376,230120,101017,667612,253,79460,4586,64800,25245,125940
22065.74,6176539,5877719,3887864,1162192,7421,107904,39378,230120,101022,667612,253,79460,4586,64800,25247,125940
23069.12,6176935,5878100,3887864,1161704,7421,107904,39379,230120,101028,667612,253,79460,4588,64800,25251,125940
24073.61,6177330,5878482,3887864,1161932,7423,107904,39384,230120,101035,667612,253,79460,4588,64800,25253,125940
25077.82,6177728,5878870,3887864,1162244,7423,107904,39386,230120,101041,667612,253,79460,4589,64800,25255,125940
26082.07,6178126,5879243,3887864,1162664,7424,107904,39393,230120,101052,667612,253,79460,4589,64800,25258,125940
27086.59,6178520,5879629,3887864,1162844,7424,107904,39395,230120,101057,667612,253,79460,4590,64800,25260,125940
28088.37,6178916,5879990,3887864,1157960,7424,107904,39398,230120,101064,667612,253,79460,4590,64800,25263,125940
29090.03,6179316,5880384,3887864,1157960,7424,107904,39399,230120,101067,667612,253,79460,4590,64800,25264,125940
30091.66,6179713,5880776,3887864,1164024,7425,107904,39401,230120,101071,667612,253,79460,4590,64800,25265,125940
