time,total,idle,mem_total,mem_free,30044/cpu,30044/rss,890/cpu,890/rss
1008.65,2493988,2233693,3887864,471364,777,54972,1362,35584
2010.64,2494383,2234077,3887864,473176,777,54972,1362,35584
3011.59,2494781,2234447,3887864,473980,777,54972,1362,35584
4012.39,2495178,2234839,3887864,474196,777,54972,1362,35584
5013.26,2495573,2235230,3887864,475664,778,54972,1362,35584
6021.24,2495975,2235622,3887864,475752,778,54972,1362,35584
7022.19,2496373,2236014,3887864,476748,778,54972,1362,35584
8023.9,2496770,2236392,3887864,476524,778,54972,1362,35584
9026.0,2497167,2236780,3887864,477236,778,54972,1363,35584
10027.89,2497565,2237161,3887864,478560,778,54972,1363,35584
11029.18,2497952,2237402,3887864,462096,785,55416,1364,35584
12030.35,2498342,2237743,3887864,468148,785,55416,1364,35584
13031.79,2498729,2237924,3887864,271624,786,55428,1364,35584
14032.95,2499126,2238205,3887864,228448,788,55460,1364,35584
15034.15,2499518,2238440,3887864,190892,791,55468,1365,35584
16035.14,2499917,2238743,3887864,211380,792,55468,1365,35588
17036.11,2500316,2239133,3887864,211612,792,55468,1365,35588
18037.15,2500711,2239520,3887864,214684,792,55468,1365,35588
19038.03,2501109,2239914,3887864,222464,792,55468,1365,35588
20038.92,2501506,2240300,3887864,230724,792,55468,1366,35588
21040.67,2501903,2240680,3887864,237020,792,55468,1366,35588
22042.68,2502299,2241053,3887864,244820,792,55468,1366,35588
23043.71,2502689,2241410,3887864,259796,793,55468,1366,35588
24044.6,2503086,2241801,3887864,260944,793,55468,1366,35588
25045.51,2503488,2242193,3887864,271416,793,55468,1366,35588
26046.49,2503882,2242577,3887864,275412,793,55468,1366,35588
27048.9,2504279,2242900,3887864,356872,794,55472,1366,35588
