time,total,idle,mem_total,mem_free,1647/cpu,1647/rss,44271/cpu,44271/rss
1005.23,2562028,2170239,3887864,1684148,122660,850840,681,53620
2006.05,2562428,2170614,3887864,1687292,122665,850840,681,53620
3006.87,2562821,2170970,3887864,1689452,122679,850840,681,53620
4007.73,2563216,2171357,3887864,1689452,122686,850840,682,53620
5008.54,2563613,2171716,3887864,1687940,122696,850840,682,53620
6010.31,2564010,2172099,3887864,1688108,122709,850860,682,53620
7012.45,2564407,2172462,3887864,1684656,122733,850860,683,53620
8013.99,2564800,2172810,3887864,1682552,122744,850860,683,53620
9014.83,2565199,2173197,3887864,1682552,122752,850860,684,53620
10016.09,2565595,2173560,3887864,1681836,122759,850860,684,53620
11017.11,2565984,2173809,3887864,1683384,122817,848716,684,53620
12018.1,2566380,2174037,3887864,1665576,122923,834200,684,53620
13019.74,2566778,2174396,3887864,1669104,122947,834268,684,53624
14021.23,2567172,2174705,3887864,1669744,122982,834468,685,53624
15022.16,2567568,2175082,3887864,1672580,122991,834468,685,53624
16023.23,2567964,2175438,3887864,1674928,123000,834472,685,53624
17024.27,2568360,2175813,3887864,1688036,123008,834484,685,53628
18025.33,2568758,2176185,3887864,1690388,123014,834488,685,53628
19026.67,2569154,2176529,3887864,1696832,123028,834488,686,53628
20028.15,2569546,2176866,3887864,1699628,123044,834496,686,53628
21029.11,2569941,2177208,3887864,1691280,123062,834600,686,53628
22030.64,2570337,2177560,3887864,1693424,123070,834704,686,53628
23034.67,2570735,2177911,3887864,1708008,123087,834768,686,53628
24036.86,2571129,2178265,3887864,1707760,123100,834804,686,53628
25037.76,2571528,2178594,3887864,1692136,123113,834824,687,53628
26041.62,2571929,2178975,3887864,1692164,123125,834836,687,53628
27045.67,2572325,2179294,3887864,1685644,123138,834888,688,53628
28046.9,2572722,2179636,3887864,1696340,123154,836200,689,53628
29047.98,2573119,2180024,3887864,1697180,123161,836200,689,53628
30048.89,2573513,2180376,3887864,1693316,123172,836200,689,53628
31050.53,2573904,2180742,3887864,1694860,123180,836200,689,53628
32052.5,2574293,2181059,3887864,1698212,123191,836292,689,53628
33054.9,2574684,2181412,3887864,1698548,123212,836200,690,53628
34056.24,2575074,2181733,3887864,1705988,123228,836200,690,53628
35057.4,2575468,2182086,3887864,1705856,123239,836200,690,53628
36058.32,2575860,2182426,3887864,1695000,123253,836200,690,53628
37059.26,2576262,2182802,3887864,1694820,123261,836200,690,53628
38060.47,2576657,2183166,3887864,1690964,123266,836200,690,53628
39064.88,2577050,2183518,3887864,1690976,123280,836200,690,53628
40066.57,2577443,2183869,3887864,1692240,123289,836200,690,53628
41069.5,2577835,2184189,3887864,1701668,123305,836196,690,53628
42071.01,2578231,2184565,3887864,1699320,123311,836200,690,53628
43072.11,2578628,2184907,3887864,1696108,123327,836216,691,53628
44073.06,2579024,2185289,3887864,1696220,123336,836232,691,53628
45074.06,2579419,2185644,3887864,1697400,123347,836260,691,53628
46076.11,2579815,2186028,3887864,1697680,123358,836296,691,53628
47077.38,2580210,2186371,3887864,1706292,123374,836296,692,53628
48078.39,2580611,2186761,3887864,1706380,123379,836296,692,53628
49079.33,2581009,2187146,3887864,1707704,123389,836296,692,53628
50080.36,2581402,2187503,3887864,1699216,123399,834764,692,53628
51081.39,2581797,2187892,3887864,1707348,123406,834760,693,53628
52083.95,2582189,2188256,3887864,1701600,123415,834760,693,53628
53085.25,2582584,2188603,3887864,1705548,123432,834764,693,53628
