time,total,idle,mem_total,mem_free,27763/cpu,27763/rss
1006.06,2593834,2328638,3887864,966616,5686,180100
2006.83,2594230,2328999,3887864,964840,5688,180100
3007.46,2594627,2329393,3887864,965832,5691,180100
4008.13,2595024,2329790,3887864,965832,5691,180100
5008.76,2595424,2330188,3887864,967040,5692,180100
6009.48,2595823,2330585,3887864,967292,5693,180100
7019.48,2596226,2330980,3887864,967296,5696,180100
8021.2,2596624,2331373,3887864,967324,5700,180100
9022.86,2597021,2331765,3887864,968644,5704,180100
10024.42,2597420,2332153,3887864,968928,5706,180100
11025.56,2597815,2332445,3887864,960820,5723,180100
12026.55,2598200,2332695,3887864,930716,5734,180104
13027.6,2598593,2332992,3887864,923016,5741,180104
14028.52,2598980,2333313,3887864,898208,5744,180104
15029.64,2599370,2333638,3887864,864060,5746,180104
16031.08,2599767,2333702,3887864,832544,5747,180104
17033.35,2600166,2333705,3887864,801756,5752,180104
18447.44,2600727,2333707,3887864,799924,5756,180104
19451.28,2601128,2333709,3887864,791168,5759,180104
20453.0,2601525,2333709,3887864,790360,5764,180104
21454.63,2601926,2333711,3887864,775576,5769,180104
22456.03,2602328,2333712,3887864,754576,5772,180104
23457.28,2602727,2333714,3887864,745504,5778,180104
24459.47,2603130,2333717,3887864,732916,5781,180104
25463.21,2603528,2333719,3887864,707856,5783,180104
26466.07,2603929,2333720,3887864,687640,5789,180104
27468.12,2604328,2333725,3887864,680320,5792,180104
28470.31,2604727,2333727,3887864,672756,5796,180104
29472.61,2605129,2333729,3887864,675772,5800,180104
30474.45,2605529,2333732,3887864,657860,5804,180104
31479.36,2605933,2333736,3887864,650540,5808,180104
32481.09,2606332,2333738,3887864,642448,5812,180104
33482.95,2606730,2333739,3887864,634880,5817,180104
34484.45,2607129,2333743,3887864,634656,5821,180104
35485.71,2607528,2333746,3887864,625856,5824,180104
36487.22,2607928,2333749,3887864,615760,5828,180104
37490.05,2608326,2333750,3887864,583016,5829,180104
38491.82,2608718,2333981,3887864,450320,5833,180104
39493.41,2609102,2334227,3887864,448448,5837,180104
40494.48,2609491,2334480,3887864,394532,5844,180104
41495.6,2609890,2334763,3887864,396584,5850,180108
42496.43,2610290,2335153,3887864,405508,5851,180108
43497.26,2610689,2335528,3887864,414308,5854,180108
44498.13,2611087,2335922,3887864,421308,5856,180108
45498.93,2611487,2336320,3887864,428300,5857,180108
46500.59,2611885,2336712,3887864,435760,5860,180108
47502.42,2612283,2337104,3887864,447608,5862,180108
48504.17,2612681,2337496,3887864,453160,5866,180108
49505.93,2613078,2337884,3887864,457824,5869,180108
50507.74,2613476,2338277,3887864,461892,5872,180108
51509.36,2613873,2338654,3887864,462004,5879,180108
52513.52,2614267,2338992,3887864,872948,5889,180108
