time,total,idle,mem_total,mem_free,27763/cpu,27763/rss
1007.43,2151720,1982266,3887864,455468,1597,178408
2009.35,2152118,1982651,3887864,456488,1599,178408
3012.85,2152515,1983045,3887864,457676,1602,178408
4013.63,2152910,1983404,3887864,459152,1606,178408
5014.27,2153307,1983796,3887864,460064,1611,178408
6014.89,2153709,1984190,3887864,461132,1612,178408
7015.55,2154107,1984582,3887864,461772,1615,178408
8019.04,2154508,1984979,3887864,461912,1616,178408
9020.51,2154905,1985363,3887864,463228,1624,178408
10022.08,2155305,1985759,3887864,463912,1626,178408
11023.56,2155691,1986034,3887864,455540,1640,178484
12024.52,2156086,1986383,3887864,452512,1644,178492
13025.36,2156473,1986584,3887864,213924,1649,178492
14026.7,2156864,1986824,3887864,221688,1651,178492
15031.0,2157253,1987098,3887864,170268,1659,178492
16032.05,2157649,1987389,3887864,172352,1663,178492
17033.18,2158045,1987767,3887864,191448,1665,178492
18033.95,2158446,1988164,3887864,191396,1667,178492
19034.64,2158845,1988557,3887864,193636,1669,178492
20424.39,2159397,1989104,3887864,204328,1670,178492
21426.11,2159795,1989490,3887864,211904,1674,178492
22428.01,2160195,1989880,3887864,218984,1677,178492
23429.29,2160589,1990255,3887864,225352,1691,178492
24430.19,2160985,1990615,3887864,233180,1694,178492
25431.03,2161384,1991010,3887864,240796,1696,178492
26431.9,2161781,1991404,3887864,247508,1698,178492
27432.84,2162175,1991759,3887864,331988,1704,178504
