time,total,idle,mem_total,mem_free,1914/cpu,1914/rss,4106/cpu,4106/rss
1008.78,5357778,4869409,3887864,612412,807,2824,40713,102280
2010.82,5358176,4869800,3887864,614432,808,2824,40718,102280
3012.96,5358577,4870196,3887864,614740,808,2824,40719,102280
4014.91,5358974,4870573,3887864,614868,808,2824,40732,102280
5017.08,5359371,4870960,3887864,616028,808,2824,40738,102280
6019.18,5359769,4871355,3887864,616652,808,2824,40740,102280
7021.36,5360168,4871751,3887864,617976,808,2824,40742,102280
8023.53,5360566,4872145,3887864,618288,809,2824,40745,102280
9025.34,5360968,4872540,3887864,618852,809,2824,40746,102280
10027.52,5361366,4872931,3887864,619088,809,2824,40748,102280
11029.57,5361764,4873308,3887864,618648,809,2824,40755,102280
12032.24,5362159,4873625,3887864,606056,809,2824,40765,102280
13033.44,5362546,4873950,3887864,580056,809,2824,40768,102284
14034.96,5362933,4874266,3887864,570288,809,2824,40778,102284
15036.17,5363326,4874605,3887864,548868,809,2824,40781,102284
16039.91,5363720,4874939,3887864,507440,809,2824,40783,102284
17042.07,5364117,4875003,3887864,475436,809,2824,40786,102284
18044.59,5364514,4875005,3887864,438032,809,2824,40791,102284
19046.32,5364914,4875007,3887864,433888,809,2824,40794,102284
20047.97,5365315,4875008,3887864,429624,809,2824,40796,102284
21049.59,5365716,4875008,3887864,425288,809,2824,40799,102284
22054.02,5366116,4875008,3887864,417868,809,2824,40802,102284
23056.46,5366514,4875009,3887864,407144,809,2824,40805,102284
24058.44,5366913,4875009,3887864,401348,809,2824,40810,102284
25060.51,5367311,4875011,3887864,385080,809,2824,40816,102284
26062.72,5367712,4875012,3887864,376400,809,2824,40818,102284
27064.85,5368112,4875013,3887864,356744,809,2824,40821,102284
28066.6,5368511,4875017,3887864,326000,809,2824,40822,102284
29068.53,5368910,4875020,3887864,308108,809,2824,40826,102284
30072.16,5369311,4875023,3887864,342780,810,2824,40828,102284
31074.34,5369710,4875024,3887864,311944,810,2824,40831,102284
32076.55,5370110,4875025,3887864,277836,810,2824,40834,102284
33079.06,5370511,4875025,3887864,277168,810,2824,40839,102284
34080.97,5370912,4875026,3887864,277168,810,2824,40841,102284
35085.2,5371312,4875031,3887864,276916,810,2824,40850,102284
36087.2,5371710,4875032,3887864,276916,811,2824,40852,102284
37088.65,5372109,4875111,3887864,276916,811,2824,40854,102284
38093.11,5372508,4875407,3887864,145328,811,2824,40856,102284
39096.47,5372909,4875698,3887864,155176,811,2824,40858,102284
40097.51,5373309,4876017,3887864,159776,811,2824,40860,102284
41098.38,5373707,4876412,3887864,167584,811,2824,40862,102284
42099.52,5374107,4876714,3887864,167076,811,2824,40863,102284
43100.49,5374506,4877084,3887864,168824,811,2824,40864,102284
44101.48,5374904,4877480,3887864,177536,811,2824,40867,102284
45102.48,5375302,4877866,3887864,185104,811,2824,40872,102284
46103.51,5375703,4878264,3887864,192164,811,2824,40873,102284
47105.56,5376102,4878659,3887864,193252,811,2824,40874,102284
48107.97,5376500,4879052,3887864,199520,811,2824,40878,102284
49109.74,5376897,4879434,3887864,204928,811,2824,40887,102324
50111.63,5377293,4879822,3887864,209704,811,2824,40889,102324
51113.27,5377691,4880204,3887864,214408,811,2824,40900,102324
52115.55,5378088,4880597,3887864,218088,811,2824,40901,102324
53117.43,5378487,4880989,3887864,221608,811,2824,40905,102324
54118.39,5378880,4881340,3887864,616952,811,2824,40911,102324
