time,total,idle,mem_total,mem_free,1965/cpu,1965/rss,1995/cpu,1995/rss,2009/cpu,2009/rss,2022/cpu,2022/rss,2900/cpu,2900/rss,2918/cpu,2918/rss,96583/cpu,96583/rss
1006.84,5400071,4716958,3887864,180564,144859,712468,25850,71996,33950,132120,62796,163700,4993,95932,1251,42804,371,50800
2008.55,5400465,4717324,3887864,182532,144866,712468,25852,71996,33952,132120,62799,163700,4993,95932,1251,42804,371,50804
3010.26,5400861,4717670,3887864,181136,144876,712468,25854,71996,33953,132120,62804,163700,4994,95932,1251,42804,371,50804
4012.53,5401255,4718040,3887864,181136,144884,712472,25855,71996,33955,132120,62809,163700,4994,95932,1251,42804,371,50804
5014.78,5401649,4718413,3887864,175184,144891,712472,25856,71996,33957,132120,62812,163700,4994,95932,1251,42804,371,50804
6018.03,5402036,4718753,3887864,174928,144905,712472,25859,71996,33960,132120,62818,163700,4994,95932,1251,42804,372,50804
7021.89,5402432,4719113,3887864,175052,144914,712472,25864,71996,33961,132120,62823,163700,4995,95932,1251,42804,373,50804
8023.84,5402825,4719448,3887864,174788,144925,712472,25865,71996,33963,132120,62829,163700,4996,95932,1251,42804,373,50804
9025.82,5403220,4719800,3887864,174948,144932,712480,25867,71996,33973,132156,62831,163700,4996,95932,1251,42804,373,50804
10027.77,5403611,4720143,3887864,173416,144943,712480,25869,71996,33975,132156,62836,163700,4996,95932,1251,42804,373,50804
11034.13,5403998,4720351,3887864,169032,144978,712484,25872,71996,33982,132156,62851,163700,4998,95932,1252,42804,374,50804
12035.99,5404387,4720616,3887864,173628,144992,712484,25874,71996,33984,132156,62859,163700,4999,95932,1252,42804,374,50804
13038.18,5404782,4720877,3887864,173128,145005,712488,25875,71996,33988,132156,62864,163700,4999,95932,1252,42804,374,50804
14042.71,5405175,4721224,3887864,165568,145015,712488,25877,71996,33990,132156,62869,163700,5004,95932,1252,42804,375,50804
15044.58,5405577,4721575,3887864,174252,145023,712488,25878,71996,33992,132156,62873,163700,5004,95932,1252,42804,375,50804
16046.48,5405970,4721945,3887864,179120,145034,712488,25879,71996,33994,132156,62878,163700,5004,95932,1252,42804,375,50804
17048.45,5406365,4722291,3887864,170728,145042,712488,25882,71996,33996,132156,62881,163700,5005,95932,1252,42804,375,50804
18052.49,5406753,4722636,3887864,171488,145056,712488,25884,71996,33999,132156,62888,163700,5005,95932,1252,42804,375,50804
19054.77,5407147,4722957,3887864,172844,145066,712488,25885,71996,34002,132156,62892,163700,5005,95932,1253,42824,376,50804
20056.85,5407543,4723327,3887864,172852,145076,712488,25887,71996,34004,132156,62897,163700,5005,95932,1253,42824,376,50804
21059.03,5407939,4723677,3887864,180304,145085,712488,25888,71996,34006,132156,62901,163700,5005,95932,1253,42824,376,50804
22061.4,5408335,4724045,3887864,180064,145091,712488,25891,71996,34008,132156,62905,163700,5006,95932,1253,42824,377,50804
23063.35,5408727,4724393,3887864,163864,145099,712488,25892,71996,34009,132156,62907,163700,5006,95932,1253,42824,377,50804
24065.27,5409120,4724752,3887864,173280,145112,712488,25895,71996,34012,132156,62914,163700,5007,95932,1253,42824,377,50808
25067.42,5409517,4725122,3887864,174468,145119,712488,25896,71996,34014,132156,62917,163700,5007,95932,1253,42824,379,50808
26069.4,5409911,4725454,3887864,168588,145135,712488,25898,71996,34018,132156,62925,163700,5007,95932,1253,42824,379,50808
27071.26,5410309,4725832,3887864,173516,145139,712488,25899,71996,34020,132156,62928,163700,5007,95932,1253,42824,379,50808
28073.17,5410702,4726176,3887864,176660,145151,712488,25901,71996,34022,132156,62931,163700,5008,95932,1253,42824,379,50808
29076.34,5411096,4726529,3887864,177312,145158,712488,25902,71996,34025,132156,62934,163700,5008,95932,1254,42824,379,50808
30078.5,5411485,4726856,3887864,182824,145173,712488,25904,71996,34028,132156,62942,163700,5008,95932,1254,42824,380,50808
31082.0,5411879,4727232,3887864,182444,145179,712488,25905,71996,34030,132156,62946,163700,5009,95932,1254,42824,380,50808
32083.85,5412274,4727571,3887864,180064,145190,712488,25906,71996,34032,132156,62950,163700,5009,95932,1254,42824,380,50808
