time,total,idle,mem_total,mem_free,3788/cpu,3788/rss,4322/cpu,4322/rss,890/cpu,890/rss
1011.1,245837,159411,3887864,215224,1158,19496,5996,57372,187,92400
2013.97,246236,159791,3887864,215476,1158,19496,5998,57372,187,92400
3016.63,246636,160182,3887864,216740,1158,19496,5999,57372,188,92400
4018.54,247034,160557,3887864,216988,1158,19496,6000,57372,193,92400
5019.71,247428,160920,3887864,211140,1159,19496,6003,57372,193,92400
6020.79,247826,161312,3887864,211696,1160,19496,6004,57372,193,92400
7021.78,248221,161697,3887864,211416,1160,19496,6005,57372,193,92400
8022.78,248618,162089,3887864,211760,1160,19496,6005,57372,193,92400
9023.76,249018,162469,3887864,212180,1160,19496,6005,57372,193,92400
10025.72,249413,162835,3887864,212268,1161,19496,6011,57372,194,92400
11027.59,249805,163142,3887864,211052,1162,19496,6031,57440,194,92400
12031.01,250199,163414,3887864,189308,1163,19496,6038,57608,194,92400
13034.45,250597,163458,3887864,162016,1163,19496,6039,57676,194,92400
14038.15,250998,163464,3887864,160944,1163,19496,6041,57696,195,92400
15040.5,251398,163468,3887864,169244,1164,19496,6043,57724,195,92400
16045.74,251799,163473,3887864,169460,1164,19496,6045,57764,195,92400
17048.55,252196,163483,3887864,169872,1164,19496,6049,57624,195,92400
18050.31,252596,163494,3887864,170880,1164,19496,6050,57624,195,92400
19053.63,252993,163502,3887864,172572,1164,19496,6050,57628,195,92400
20055.76,253391,163502,3887864,174408,1164,19496,6051,57628,197,92400
21062.27,253792,163504,3887864,175060,1164,19496,6051,57628,197,92400
22064.64,254191,163507,3887864,176116,1165,19496,6052,57636,197,92400
23067.14,254592,163511,3887864,177012,1165,19496,6053,57636,197,92400
24070.14,254992,163519,3887864,177644,1165,19496,6053,57636,197,92400
25073.83,255392,163520,3887864,177668,1166,19496,6053,57636,197,92400
26076.23,255790,163528,3887864,163796,1166,19496,6053,57636,198,92400
27081.51,256192,163530,3887864,164344,1166,19496,6053,57636,199,92400
28083.68,256591,163534,3887864,164148,1166,19496,6054,57640,199,92400
29086.29,256991,163539,3887864,159844,1166,19496,6054,57640,199,92400
30090.13,257391,163542,3887864,160576,1166,19496,6057,57640,199,92400
31092.43,257791,163545,3887864,160576,1166,19496,6058,57640,200,92400
32094.72,258190,163546,3887864,161832,1167,19496,6059,57644,200,92400
33097.54,258590,163547,3887864,153296,1167,19496,6060,57644,200,92400
34099.61,258985,163698,3887864,43456,1169,18816,6060,57644,200,92400
35100.95,259380,163973,3887864,77968,1169,18816,6065,57644,200,92400
36102.09,259781,164337,3887864,92344,1169,18816,6065,57644,200,92400
37103.17,260178,164729,3887864,94808,1169,18816,6065,57644,201,92400
38104.36,260572,165100,3887864,95960,1169,18816,6065,57644,201,92400
39105.53,260972,165485,3887864,97212,1169,18816,6065,57644,201,92400
40106.61,261369,165873,3887864,99172,1169,18816,6065,57644,201,92400
41107.75,261769,166271,3887864,101944,1169,18816,6065,57644,201,92400
42108.85,262166,166665,3887864,102680,1169,18816,6066,57648,201,92400
43111.41,262565,167057,3887864,104772,1170,18816,6067,57648,201,92400
44113.94,262961,167425,3887864,106660,1170,18816,6070,57648,201,92400
45116.39,263361,167810,3887864,107676,1170,18816,6072,57648,203,92400
46118.06,263754,168180,3887864,101368,1171,18816,6073,57652,203,92400
47119.26,264151,168557,3887864,146868,1171,18816,6074,57652,203,92400
