time,total,idle,mem_total,mem_free,4864/cpu,4864/rss,4884/cpu,4884/rss,4902/cpu,4902/rss,4949/cpu,4949/rss,4970/cpu,4970/rss,4971/cpu,4971/rss
1004.2,4063306,3889089,3887864,1565920,4796,107796,21725,161664,54780,412108,143,79460,2685,64576,14150,118444
2005.75,4063703,3889449,3887864,1564716,4797,107796,21727,161664,54787,412108,143,79460,2686,64576,14152,118444
3007.28,4064098,3889819,3887864,1571408,4797,107796,21729,161664,54793,412108,143,79460,2686,64576,14153,118444
4008.8,4064496,3890214,3887864,1571976,4797,107796,21730,161664,54794,412108,143,79460,2686,64576,14155,118444
5010.32,4064895,3890584,3887864,1574840,4797,107796,21733,161664,54800,412108,143,79460,2686,64576,14156,118444
6011.87,4065294,3890981,3887864,1576788,4797,107796,21733,161664,54801,412108,143,79460,2686,64576,14157,118444
7014.83,4065686,3891339,3887864,1569104,4799,107796,21739,161668,54810,412108,143,79460,2687,64576,14159,118444
8016.5,4066085,3891725,3887864,1577524,4799,107796,21740,161668,54814,412108,143,79460,2687,64576,14160,118444
9018.08,4066483,3892117,3887864,1580108,4800,107796,21742,161668,54817,412108,143,79460,2687,64576,14161,118444
10020.06,4066879,3892487,3887864,1566080,4800,107796,21743,161668,54821,412108,143,79460,2687,64576,14162,118444
11021.78,4067278,3892792,3887864,1569248,4800,107796,21752,161668,54860,412116,143,79460,2687,64576,14164,118444
12024.86,4067672,3893127,3887864,1566512,4800,107796,21757,161668,54872,412116,143,79460,2687,64576,14166,118444
13031.48,4068064,3893475,3887864,1573368,4801,107796,21760,161668,54883,412116,143,79460,2689,64576,14168,118444
14033.25,4068457,3893806,3887864,1577152,4801,107796,21762,161672,54893,412116,143,79460,2689,64576,14170,118444
15034.86,4068855,3894172,3887864,1577152,4801,107796,21766,161672,54897,412116,143,79460,2689,64576,14171,118444
16036.54,4069253,3894514,3887864,1564832,4801,107796,21767,161672,54904,412116,143,79460,2689,64576,14172,118444
17038.11,4069645,3894885,3887864,1565756,4802,107796,21771,161672,54911,412116,143,79460,2690,64576,14173,118444
18039.74,4070044,3895195,3887864,1561340,4802,107796,21773,161672,54966,412120,143,79460,2690,64576,14176,118444
19042.33,4070436,3895550,3887864,1562508,4802,107796,21775,161672,54971,412120,143,79460,2690,64576,14177,118444
20047.52,4070831,3895898,3887864,1563336,4802,107796,21777,161672,54974,412120,143,79460,2691,64576,14179,118444
21049.27,4071230,3896243,3887864,1579928,4803,107796,21780,161672,54979,412120,143,79460,2691,64576,14180,118444
22050.86,4071620,3896588,3887864,1580292,4804,107796,21782,161672,54986,412120,143,79460,2691,64576,14182,118444
23054.19,4072010,3896936,3887864,1585488,4804,107796,21783,161672,54990,412120,143,79460,2692,64576,14183,118444
24055.86,4072402,3897303,3887864,1585488,4804,107796,21786,161672,54993,412120,143,79460,2692,64576,14185,118444
25057.48,4072793,3897644,3887864,1584168,4804,107796,21789,161672,55000,412120,143,79460,2692,64576,14186,118444
26061.4,4073184,3897995,3887864,1584168,4805,107796,21791,161672,55007,412120,143,79460,2692,64576,14188,118444
27063.23,4073575,3898328,3887864,1587752,4806,107796,21796,161672,55018,412124,143,79460,2692,64576,14191,118444
28064.98,4073976,3898708,3887864,1587752,4806,107796,21798,161672,55023,412124,143,79460,2692,64576,14191,118444
29066.62,4074376,3899047,3887864,1582264,4806,107796,21801,161672,55029,412124,143,79460,2693,64576,14193,118444
30068.37,4074766,3899416,3887864,1582264,4806,107796,21802,161672,55033,412124,143,79460,2693,64576,14194,118444
31072.51,4075170,3899775,3887864,1581256,4806,107796,21804,161672,55037,412124,143,79460,2693,64576,14195,118444
32075.51,4075559,3900092,3887864,1577804,4807,107796,21808,161672,55047,412124,143,79460,2693,64576,14198,118444
33077.19,4075959,3900460,3887864,1577664,4807,107796,21810,161672,55051,412124,143,79460,2693,64576,14199,118444
34078.81,4076353,3900807,3887864,1577448,4808,107796,21811,161672,55055,412124,143,79460,2693,64576,14201,118444
35080.47,4076747,3901173,3887864,1577544,4808,107796,21814,161672,55059,412124,143,79460,2694,64576,14202,118444
36082.11,4077143,3901511,3887864,1565400,4808,107796,21817,161672,55076,412124,143,79460,2694,64576,14204,118444
37085.43,4077541,3901898,3887864,1565528,4809,107796,21820,161672,55080,412124,143,79460,2694,64576,14205,118444
38087.18,4077940,3902253,3887864,1572552,4809,107796,21823,161672,55089,412124,143,79460,2695,64576,14207,118444
39088.92,4078341,3902638,3887864,1572880,4809,107796,21830,161728,55093,412124,143,79460,2695,64576,14208,118444
40090.57,4078736,3903006,3887864,1568956,4810,107796,21834,161732,55097,412124,143,79460,2695,64576,14210,118444
41092.29,4079137,3903399,3887864,1570056,4810,107796,21836,161732,55101,412124,143,79460,2696,64576,14211,118444
42094.17,4079535,3903748,3887864,1564752,4811,107796,21838,161732,55119,412128,143,79460,2696,64576,14217,117100
43097.38,4079931,3904112,3887864,1583832,4811,107796,21842,161732,55127,412128,143,79460,2696,64576,14219,117100
44100.73,4080326,3904494,3887864,1583832,4811,107796,21846,161732,55136,412128,143,79460,2697,64576,14221,117100
45102.56,4080724,3904854,3887864,1573156,4811,107796,21849,161732,55143,412132,143,79460,2697,64576,14222,117100
46104.28,4081125,3905249,3887864,1573156,4812,107796,21851,161732,55144,412132,143,79460,2697,64576,14223,117100
47105.99,4081521,3905608,3887864,1581728,4812,107796,21855,161732,55155,412132,143,79460,2697,64576,14225,117100
