time,total,idle,mem_total,mem_free,1652/cpu,1652/rss
1002.83,393078,355017,3887864,1860008,3478,177608
2003.66,393478,355415,3887864,1860332,3479,177616
3004.36,393878,355813,3887864,1860956,3480,177616
4004.98,394276,356208,3887864,1861016,3482,177632
5006.9,394674,356606,3887864,1861020,3483,177632
6011.54,395073,356986,3887864,1860568,3492,177632
7012.97,395471,357382,3887864,1860592,3493,177652
8014.61,395869,357776,3887864,1861080,3496,177756
9016.26,396267,358164,3887864,1861832,3501,177756
10017.92,396665,358551,3887864,1860820,3506,177756
11018.78,397057,358924,3887864,1860056,3507,177756
12019.51,397454,359314,3887864,1860172,3509,177756
13020.37,397850,359674,3887864,1841272,3510,177756
14021.32,398237,360000,3887864,1819192,3512,177756
15022.85,398632,360042,3887864,1782388,3515,177760
16028.54,399034,360045,3887864,1749008,3518,177760
17030.06,399432,360046,3887864,1742924,3520,177776
18031.97,399830,360047,3887864,1730324,3523,177776
19033.66,400230,360051,3887864,1717024,3530,177788
20035.09,400629,360052,3887864,1709984,3532,177788
21040.86,401030,360055,3887864,1687084,3536,178336
22042.54,401428,360056,3887864,1675496,3540,178336
23044.21,401831,360057,3887864,1636396,3543,178336
24046.11,402230,360058,3887864,1616544,3551,178336
25047.86,402630,360058,3887864,1602744,3553,178336
26050.31,403029,360059,3887864,1601668,3556,178340
27052.4,403429,360061,3887864,1582760,3567,178344
28054.03,403830,360061,3887864,1582760,3569,178344
29055.48,404229,360063,3887864,1581832,3576,178344
30058.91,404628,360066,3887864,1578172,3579,178344
31060.29,405029,360070,3887864,1563068,3581,178344
32061.95,405427,360071,3887864,1568004,3585,178344
33063.45,405828,360148,3887864,1513904,3587,178344
34064.28,406225,360468,3887864,1387904,3590,178344
35065.02,406623,360855,3887864,1391172,3591,178344
36065.74,407018,361237,3887864,1400024,3594,178440
37066.43,407419,361631,3887864,1406348,3596,178440
38067.18,407818,362024,3887864,1407172,3597,178440
39067.94,408214,362410,3887864,1411692,3599,178440
40068.65,408616,362801,3887864,1417156,3600,178440
41070.07,409014,363195,3887864,1423476,3601,178440
42070.94,409407,363555,3887864,1426680,3605,178440
43071.69,409802,363942,3887864,1429596,3605,178440
44072.41,410199,364328,3887864,1435452,3607,178440
45073.12,410597,364718,3887864,1445000,3608,178440
46073.85,410997,365103,3887864,1445736,3610,178440
47075.06,411391,365486,3887864,1447664,3611,178440
48076.38,411784,365866,3887864,1449612,3614,178440
49077.73,412182,366247,3887864,1450956,3622,178444
50079.16,412575,366624,3887864,1452192,3625,178444
51080.58,412970,367001,3887864,1453296,3628,178444
52081.42,413369,367370,3887864,1450916,3630,178444
53082.15,413764,367759,3887864,1451660,3632,178444
54082.87,414160,368144,3887864,1452012,3634,178444
55083.64,414561,368534,3887864,1452600,3635,178444
56084.42,414956,368921,3887864,1453148,3636,178444
57085.91,415355,369313,3887864,1453088,3637,178444
58087.3,415748,369694,3887864,1453712,3640,178444
59088.65,416143,370065,3887864,1454332,3647,178444
60090.08,416537,370445,3887864,1455132,3650,178536
61091.58,416925,370816,3887864,1455740,3659,178648
62092.43,417324,371173,3887864,1457436,3663,178656
63093.09,417724,371571,3887864,1457460,3663,178656
64093.78,418125,371958,3887864,1457304,3666,178668
65094.48,418523,372350,3887864,1457836,3667,178668
66095.21,418919,372732,3887864,1458184,3670,178668
67096.48,419315,373119,3887864,1458436,3672,178668
68097.94,419710,373497,3887864,1458688,3674,178668
69099.58,420102,373870,3887864,1457932,3679,178668
70101.08,420494,374248,3887864,1457972,3682,178668
71102.43,420891,374629,3887864,1458728,3684,178668
72103.53,421281,374995,3887864,1452496,3686,178668
73104.3,421676,375374,3887864,1455932,3688,178668
74104.99,422072,375767,3887864,1456292,3691,178668
75105.71,422469,376161,3887864,1457484,3691,178668
76106.48,422864,376546,3887864,1457912,3693,178668
77107.94,423261,376935,3887864,1457940,3694,178668
78109.33,423651,377312,3887864,1458160,3697,178668
79110.88,424046,377682,3887864,1458160,3703,178668
80112.33,424439,378064,3887864,1457840,3706,178668
81113.78,424836,378441,3887864,1458292,3709,178668
82115.32,425231,378830,3887864,1458540,3712,178668
83116.31,425626,379194,3887864,1459316,3714,178672
84117.07,426023,379577,3887864,1459092,3717,178672
85117.94,426420,379967,3887864,1459600,3718,178672
86118.72,426818,380354,3887864,1459352,3720,178672
87119.55,427211,380734,3887864,1458876,3722,178672
88121.17,427608,381112,3887864,1455444,3724,178672
89122.07,428007,381424,3887864,1443524,3728,178672
90122.8,428406,381822,3887864,1444612,3729,178672
91123.54,428806,382221,3887864,1447208,3730,178672
92124.24,429206,382619,3887864,1452760,3731,178672
93124.94,429603,382999,3887864,1452124,3733,178672
94126.4,430000,383375,3887864,1451872,3744,178672
95128.54,430399,383770,3887864,1452376,3746,178672
96129.82,430793,384149,3887864,1452656,3754,178672
97131.47,431195,384546,3887864,1452908,3756,178672
98133.06,431595,384942,3887864,1452936,3759,178672
99134.72,431991,385330,3887864,1453160,3763,178672
100136.33,432391,385721,3887864,1494660,3766,178672
