time,total,idle,mem_total,mem_free,1647/cpu,1647/rss,6724/cpu,6724/rss,7054/cpu,7054/rss
1003.28,549979,414293,3887864,156772,35271,603880,692,18904,3159,55840
2005.99,550374,414672,3887864,156284,35281,603880,692,18904,3159,55840
3007.17,550773,414939,3887864,134960,35375,604880,693,18904,3160,55840
4008.16,551171,415330,3887864,136220,35380,604880,693,18904,3161,55840
5009.2,551571,415697,3887864,142888,35388,604880,693,18904,3162,55840
6010.29,551968,416086,3887864,143052,35395,604880,693,18904,3162,55840
7012.34,552365,416454,3887864,130044,35404,604912,693,18904,3164,55520
8013.46,552762,416812,3887864,131224,35414,604912,693,18904,3164,55520
9014.48,553158,417199,3887864,132504,35420,604912,693,18904,3164,55520
10015.84,553553,417549,3887864,133548,35436,604912,693,18904,3165,55520
11017.18,553938,417767,3887864,127688,35504,602892,693,18904,3178,55536
12019.76,554325,418037,3887864,110384,35521,602892,693,18904,3179,55536
13022.48,554719,418106,3887864,68552,35537,602892,694,18904,3181,55540
14027.77,555114,418114,3887864,49980,35560,602896,694,18904,3183,55540
15029.87,555518,418118,3887864,45572,35577,602896,695,18904,3184,55540
16031.98,555916,418123,3887864,54880,35597,602896,695,18904,3185,55540
17039.31,556317,418127,3887864,52432,35611,602896,695,18904,3185,55540
18041.42,556717,418152,3887864,51124,35644,602888,695,18904,3189,55544
19044.05,557115,418159,3887864,61936,35661,602888,696,18904,3190,55544
20050.5,557516,418163,3887864,50412,35681,603256,696,18904,3191,55544
21052.89,557916,418174,3887864,51396,35698,603264,696,18904,3191,55544
22054.64,558314,418190,3887864,40032,35718,603268,696,18904,3192,55544
23057.69,558712,418195,3887864,57280,35732,603268,696,18904,3193,55544
24059.93,559113,418203,3887864,43924,35748,603272,696,18904,3193,55544
25065.59,559513,418208,3887864,40696,35760,603324,696,18904,3194,55544
26068.0,559914,418213,3887864,47848,35775,596124,697,18904,3194,55544
27074.25,560315,418216,3887864,45468,35790,596132,697,18904,3194,55544
28076.04,560715,418219,3887864,37528,35807,584740,697,18904,3194,55544
29078.05,561115,418232,3887864,34800,35827,584752,697,18904,3195,55544
30081.15,561513,418241,3887864,61280,35857,577564,697,18904,3197,55544
31083.33,561913,418264,3887864,60144,35873,574236,697,18904,3197,55544
32089.96,562315,418285,3887864,59616,35915,574012,699,18904,3203,55544
33097.22,562713,418290,3887864,43436,35938,574012,700,18904,3205,55544
34104.43,563116,418299,3887864,38484,35953,565160,700,18904,3206,55544
35107.08,563516,418309,3887864,38096,35968,565160,700,18904,3206,55544
36109.77,563914,418355,3887864,47824,35984,555200,700,18904,3206,55544
37111.07,564309,418589,3887864,60812,36010,533800,701,18904,3209,55544
38112.54,564695,418871,3887864,43452,36024,533800,701,18904,3210,55544
39114.94,565094,418905,3887864,74552,36037,534004,701,18904,3210,55544
40121.93,565494,418919,3887864,70856,36060,534092,701,18904,3210,55544
41124.0,565893,418924,3887864,68068,36082,533676,701,18904,3211,55544
42125.68,566293,418932,3887864,63956,36100,533752,702,18904,3212,55544
43131.92,566688,418941,3887864,58836,36134,535376,702,18904,3212,55544
44134.38,567091,418943,3887864,59932,36152,535376,702,18904,3213,55544
45137.17,567488,418954,3887864,62200,36170,535376,702,18904,3215,55544
46139.96,567890,418962,3887864,74544,36184,535376,703,18904,3215,55544
47149.98,568289,418964,3887864,74444,36211,535376,703,18904,3218,55548
48152.07,568692,418970,3887864,79176,36244,535432,703,18904,3220,55548
49154.36,569091,418973,3887864,79460,36262,535492,703,18904,3221,55548
50157.9,569490,418980,3887864,77792,36283,535596,703,18904,3221,55548
51161.79,569888,418989,3887864,77332,36304,535492,704,18904,3221,55548
52166.37,570290,418992,3887864,79840,36339,534164,705,18904,3226,55548
53170.0,570683,419013,3887864,76116,36430,534012,707,18904,3237,55548
54178.16,571081,419039,3887864,74112,36524,533948,711,19092,3248,55548
55180.5,571482,419070,3887864,68328,36590,534056,716,19092,3263,55548
56186.14,571880,419087,3887864,67980,36654,534252,718,19112,3280,55552
57191.1,572278,419103,3887864,63808,36717,534476,722,19116,3294,55552
58193.17,572682,419125,3887864,57216,36778,534124,724,19136,3307,55556
59195.19,573078,419165,3887864,58828,36852,534004,728,19168,3325,55560
60199.1,573473,419193,3887864,73880,36929,534288,733,19196,3339,55560
61201.32,573867,419227,3887864,72104,36990,534424,736,19196,3352,55560
62208.87,574262,419249,3887864,60368,37055,534592,740,19204,3367,55560
63211.22,574661,419288,3887864,71532,37130,534640,744,19212,3383,55560
64214.76,575060,419310,3887864,72828,37196,534676,748,19228,3398,55568
65217.0,575460,419326,3887864,74200,37310,534628,750,19232,3406,55572
66218.75,575859,419345,3887864,73976,37377,534632,753,19232,3419,55572
67221.75,576252,419412,3887864,55512,37451,534736,757,19236,3436,55572
68223.03,576635,419586,3887864,96336,37542,534392,761,19236,3456,55580
69224.55,577022,419819,3887864,61416,37588,534492,763,19236,3465,55584
70225.78,577417,420178,3887864,68968,37605,534580,763,19236,3467,55584
71226.97,577815,420568,3887864,68720,37610,534580,763,19236,3467,55584
72228.28,578214,420931,3887864,77884,37620,534596,763,19236,3468,55584
73230.63,578613,421319,3887864,78996,37628,534596,763,19236,3468,55584
74231.94,579005,421652,3887864,75704,37639,534604,764,19236,3468,55584
75233.16,579402,422038,3887864,76376,37647,534704,764,19236,3470,55584
76234.36,579800,422408,3887864,70288,37654,534708,764,19236,3470,55584
77235.96,580198,422791,3887864,67900,37664,536408,764,19236,3470,55584
78237.18,580592,423135,3887864,66452,37685,536436,765,19236,3471,55584
79239.51,580991,423512,3887864,66452,37702,536440,765,19236,3472,55584
