time,total,idle,mem_total,mem_free,1965/cpu,1965/rss,1995/cpu,1995/rss,2009/cpu,2009/rss,2022/cpu,2022/rss,2900/cpu,2900/rss,2918/cpu,2918/rss,3808/cpu,3808/rss,3835/cpu,3835/rss
1004.87,2243070,2012963,3887864,1469800,50686,429588,10988,70480,13570,120812,22709,74216,1724,89260,490,41912,451,15608,1185,54088
2008.73,2243463,2013331,3887864,1470280,50696,429588,10991,70480,13572,120812,22715,74216,1724,89260,490,41912,451,15608,1185,54088
3012.25,2243861,2013679,3887864,1467700,50706,429588,10996,70480,13574,120812,22720,74216,1724,89260,492,41848,451,15608,1185,54088
4014.17,2244256,2014046,3887864,1474804,50711,429588,10997,70480,13576,120812,22723,74216,1724,89260,492,41848,451,15608,1185,54088
5017.46,2244649,2014421,3887864,1474608,50717,429588,10999,70480,13578,120812,22726,74216,1724,89260,492,41848,451,15608,1185,54088
6019.41,2245048,2014772,3887864,1472200,50725,429588,11001,70480,13579,120812,22729,74216,1725,89260,492,41848,452,15608,1185,54088
7021.38,2245447,2015142,3887864,1471952,50731,429588,11002,70480,13581,120812,22733,74216,1725,89260,492,41848,452,15608,1187,54152
8025.9,2245847,2015490,3887864,1460324,50737,429588,11003,70480,13582,120812,22735,74216,1725,89260,492,41848,452,15608,1187,54152
9031.33,2246244,2015850,3887864,1473820,50748,429588,11005,70480,13585,120812,22741,74216,1725,89260,492,41848,452,15608,1187,54152
10034.98,2246642,2016180,3887864,1452680,50762,429592,11007,70480,13589,120812,22747,74216,1726,89260,492,41848,452,15608,1187,54152
11037.12,2247024,2016428,3887864,1452400,50815,429604,11009,70480,13592,120812,22763,74216,1726,89260,492,41848,452,15608,1197,54160
12039.22,2247419,2016753,3887864,1452204,50829,429604,11010,70480,13594,120812,22770,74216,1726,89260,492,41848,452,15608,1199,54160
13042.71,2247815,2017102,3887864,1455872,50834,429604,11013,70480,13595,120812,22772,74216,1726,89260,492,41848,452,15608,1199,54160
14047.6,2248207,2017428,3887864,1447748,50842,429604,11015,70480,13597,120812,22775,74216,1726,89260,492,41848,452,15608,1200,54160
15049.64,2248588,2017748,3887864,1461328,50849,429604,11018,70480,13600,120812,22778,74216,1727,89260,492,41848,452,15608,1200,54160
16051.74,2248966,2018079,3887864,1461172,50858,429608,11019,70480,13601,120812,22782,74216,1727,89260,492,41848,452,15608,1200,54160
17053.96,2249357,2018382,3887864,1460704,50867,429608,11021,70480,13603,120812,22786,74216,1728,89260,492,41848,452,15608,1200,54160
18056.1,2249753,2018726,3887864,1461920,50872,429608,11022,70480,13604,120812,22789,74216,1728,89260,492,41848,452,15608,1201,54160
19058.15,2250142,2019042,3887864,1460660,50880,429608,11024,70480,13606,120812,22792,74216,1728,89260,492,41848,452,15608,1201,54160
20061.44,2250525,2019371,3887864,1460456,50888,429608,11025,70480,13608,120812,22797,74216,1729,89260,492,41848,453,15608,1201,54160
