time,total,idle,mem_total,mem_free,1914/cpu,1914/rss,4106/cpu,4106/rss
1007.03,2367204,2090352,3887864,892020,361,2824,15499,96840
2009.03,2367602,2090738,3887864,892020,361,2824,15504,96840
3011.15,2368005,2091124,3887864,892020,361,2824,15510,96840
4013.26,2368405,2091518,3887864,892272,361,2824,15512,96840
5015.39,2368804,2091914,3887864,892272,361,2824,15514,96840
6017.5,2369203,2092306,3887864,892524,362,2824,15518,96840
7019.64,2369601,2092698,3887864,893280,362,2824,15520,96840
8021.66,2370002,2093091,3887864,892524,362,2824,15523,96840
9023.73,2370401,2093487,3887864,892524,363,2824,15524,96840
10025.78,2370800,2093880,3887864,892720,363,2824,15526,96840
11027.52,2371188,2094244,3887864,892468,363,2824,15527,96840
12029.45,2371572,2094548,3887864,891460,363,2824,15534,96840
13031.57,2371964,2094823,3887864,883396,363,2824,15541,96840
14033.16,2372363,2094827,3887864,883396,363,2824,15544,96840
15039.32,2372761,2094836,3887864,883396,363,2824,15545,96840
16042.07,2373162,2094838,3887864,883852,363,2824,15547,96840
17044.53,2373564,2094842,3887864,884152,363,2824,15550,96840
18046.71,2373962,2094842,3887864,883904,363,2824,15553,96840
19051.97,2374364,2094843,3887864,884200,363,2824,15554,96840
20054.45,2374763,2094844,3887864,884688,363,2824,15557,96840
21059.58,2375161,2094845,3887864,885148,363,2824,15558,96840
22061.65,2375562,2094850,3887864,883864,363,2824,15562,96840
23063.47,2375963,2094852,3887864,883976,363,2824,15570,96840
24065.36,2376362,2094854,3887864,884412,363,2824,15573,96840
25071.54,2376762,2094857,3887864,884740,363,2824,15574,96840
26073.77,2377163,2094858,3887864,884740,363,2824,15577,96840
27075.67,2377565,2094860,3887864,884740,363,2824,15579,96840
28078.67,2377965,2094862,3887864,884996,364,2824,15582,96840
29081.28,2378364,2094863,3887864,884992,364,2824,15584,96840
30083.72,2378763,2094864,3887864,884992,364,2824,15587,96844
31085.56,2379162,2094865,3887864,885244,365,2824,15587,96844
32092.34,2379564,2094871,3887864,884744,365,2824,15591,96844
33093.8,2379963,2094996,3887864,884740,365,2824,15595,96844
34095.05,2380359,2095254,3887864,759588,365,2824,15601,96844
35096.16,2380754,2095545,3887864,811936,365,2824,15601,96844
36098.03,2381145,2095764,3887864,812748,365,2824,15605,96844
37100.56,2381545,2095766,3887864,813832,365,2824,15608,96844
38103.06,2381941,2095766,3887864,816008,365,2824,15610,96844
39104.92,2382341,2095767,3887864,817468,365,2824,15613,96844
40107.53,2382739,2095768,3887864,820592,365,2824,15614,96844
41109.68,2383138,2095769,3887864,822912,365,2824,15616,96844
42111.58,2383537,2095770,3887864,826708,365,2824,15618,96844
43115.37,2383935,2095771,3887864,834528,365,2824,15622,96844
44117.09,2384334,2095772,3887864,836572,365,2824,15631,96844
45123.82,2384736,2095772,3887864,839364,365,2824,15633,96844
46125.83,2385137,2095773,3887864,842932,365,2824,15635,96844
