response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.3368,0.0136,0.0000,0.0002,2.3227,0.0002,202,0.1033
2.3366,0.0137,0.0000,0.0001,2.3225,0.0003,202,0.1034
2.3776,0.0138,0.0000,0.0002,2.3635,0.0001,202,0.1032
2.3968,0.0143,0.0000,0.0003,2.3819,0.0001,202,0.1025
2.4441,0.0137,0.0000,0.0002,2.4302,0.0001,202,0.1033
2.5196,0.0139,0.0000,0.0003,2.5048,0.0002,202,0.1027
2.5887,0.0138,0.0000,0.0002,2.5745,0.0002,202,0.1034
2.6007,0.0136,0.0000,0.0003,2.5868,0.0001,202,0.1034
2.6333,0.0144,0.0000,0.0002,2.6185,0.0001,202,0.1026
2.6335,0.0145,0.0000,0.0003,2.6185,0.0001,202,0.1024
2.7675,0.0059,0.0000,0.0001,2.7613,0.0002,202,2.4401
2.8628,0.0060,0.0000,0.0001,2.8565,0.0002,202,2.4401
2.5933,0.0048,0.0000,0.0001,2.5883,0.0001,202,2.7360
2.8954,0.0090,0.0000,0.0002,2.8860,0.0001,202,2.6223
3.2228,0.0066,0.0000,0.0001,3.2160,0.0002,202,2.4993
3.3577,0.0125,0.0000,0.0002,3.3449,0.0001,202,2.4808
3.3124,0.0063,0.0000,0.0001,3.3058,0.0001,202,2.5475
3.1535,0.0049,0.0000,0.0001,3.1484,0.0001,202,2.7359
3.4364,0.0058,0.0000,0.0001,3.4303,0.0001,202,2.6921
3.4267,0.0069,0.0000,0.0001,3.4195,0.0001,202,2.7042
1.9426,0.0089,0.0000,0.0002,1.9333,0.0001,202,5.7222
2.2487,0.0062,0.0000,0.0001,2.2422,0.0002,202,5.5177
2.4420,0.0053,0.0000,0.0001,2.4365,0.0001,202,5.3293
1.9465,0.0074,0.0000,0.0001,1.9388,0.0001,202,6.1286
2.7722,0.0134,0.0000,0.0001,2.7584,0.0002,202,5.3028
2.8675,0.0064,0.0000,0.0002,2.8608,0.0001,202,5.2076
2.6245,0.0066,0.0000,0.0001,2.6176,0.0002,202,5.8598
2.6451,0.0047,0.0000,0.0001,2.6401,0.0001,202,5.8894
3.2627,0.0061,0.0000,0.0003,3.2561,0.0002,202,5.8385
1.7881,0.0066,0.0000,0.0002,1.7812,0.0001,202,8.0751
2.3654,0.0079,0.0000,0.0001,2.3572,0.0001,202,7.6647
2.7944,0.0063,0.0000,0.0001,2.7879,0.0001,202,7.7713
2.7994,0.0049,0.0000,0.0001,2.7942,0.0001,202,7.7664
2.0815,0.0076,0.0000,0.0001,2.0735,0.0001,202,8.4844
4.4349,1.0189,0.0000,0.0002,3.4156,0.0001,202,6.1309
2.7757,0.0067,0.0000,0.0001,2.7687,0.0002,202,8.0751
