time,total,idle,mem_total,mem_free,1674/cpu,1674/rss
1003.15,854218,739681,3887864,823520,42680,865428
2004.0,854612,740012,3887864,810204,42705,865344
3004.89,855007,740395,3887864,810536,42712,865344
4006.16,855404,740770,3887864,809844,42720,865344
5007.07,855802,741142,3887864,819404,42727,865344
6008.02,856199,741535,3887864,820500,42732,865344
7008.9,856595,741902,3887864,829460,42741,865344
8009.77,856993,742294,3887864,831912,42745,865344
9010.64,857388,742642,3887864,824360,42754,865344
10013.43,857782,743021,3887864,824524,42770,865344
11016.52,858181,743374,3887864,828644,42783,865344
12017.22,858578,743765,3887864,829164,42789,865344
13018.12,858977,744126,3887864,809436,42799,865436
14018.83,859374,744513,3887864,812272,42807,865520
15019.57,859772,744872,3887864,822828,42821,865552
16020.53,860159,745133,3887864,811952,42870,865492
17022.34,860552,745473,3887864,810056,42892,865240
18023.17,860946,745842,3887864,819496,42899,865240
19023.8,861342,746227,3887864,821876,42908,865240
20024.43,861736,746576,3887864,823880,42916,865240
21025.75,862132,746960,3887864,823880,42926,865240
22026.5,862526,747314,3887864,824664,42936,865252
23027.13,862920,747699,3887864,824940,42944,865252
24027.76,863317,748061,3887864,826776,42956,866884
25028.42,863714,748448,3887864,827480,42962,866884
26029.14,864109,748817,3887864,825060,42969,866884
27030.5,864509,749200,3887864,825856,42980,866884
28031.97,864904,749560,3887864,816784,42992,866884
29032.88,865300,749929,3887864,821816,43003,866884
30033.6,865697,750300,3887864,826912,43013,866884
31034.26,866092,750661,3887864,833320,43024,866884
32035.08,866488,751052,3887864,833072,43029,866884
33036.83,866882,751411,3887864,834188,43039,866884
34038.08,867271,751772,3887864,832796,43052,866884
35038.84,867664,752126,3887864,838636,43063,866884
36039.55,868062,752518,3887864,837896,43069,866884
37040.32,868457,752885,3887864,834372,43076,866884
38041.05,868858,753276,3887864,834372,43082,866884
39041.8,869255,753641,3887864,827716,43091,866884
40042.55,869651,754007,3887864,828596,43101,866884
41044.09,870048,754383,3887864,819840,43111,866884
42044.97,870446,754753,3887864,814860,43120,866884
43045.67,870845,755137,3887864,815896,43129,866884
44046.34,871244,755501,3887864,823508,43137,866884
45047.64,871638,755877,3887864,824440,43148,866884
46048.49,872029,756226,3887864,792788,43167,866920
47049.33,872428,756616,3887864,793820,43173,866920
48050.13,872825,756984,3887864,806968,43179,866920
49050.82,873222,757374,3887864,809856,43185,866920
50051.61,873618,757713,3887864,818520,43198,866916
51053.18,874014,758094,3887864,820356,43209,866920
52054.27,874411,758450,3887864,808264,43222,866920
53055.03,874809,758825,3887864,809960,43233,866924
54055.74,875210,759210,3887864,815164,43239,866924
55056.43,875607,759575,3887864,818820,43248,866924
56057.2,876005,759965,3887864,822320,43255,866924
57058.5,876404,760332,3887864,824852,43264,866924
58059.98,876797,760706,3887864,825452,43276,866924
59060.91,877192,761056,3887864,831864,43288,866924
60061.62,877589,761444,3887864,831864,43297,866924
61062.3,877982,761791,3887864,828404,43309,866924
62062.96,878379,762181,3887864,828780,43315,866928
63063.69,878776,762542,3887864,814444,43324,866928
64065.27,879176,762931,3887864,814444,43330,866928
65066.53,879573,763294,3887864,813516,43344,866928
66067.38,879967,763667,3887864,827236,43352,866928
67068.15,880366,764056,3887864,830364,43359,866928
68068.93,880764,764424,3887864,814840,43367,866928
69069.67,881165,764809,3887864,816272,43377,866932
70070.44,881563,765175,3887864,827148,43386,866912
71071.27,881962,765536,3887864,825916,43400,866908
72071.98,882360,765903,3887864,827564,43408,867080
73072.72,882758,766287,3887864,827324,43416,867132
74073.5,883156,766653,3887864,817952,43424,867148
75074.34,883553,767040,3887864,818568,43432,867212
76075.19,883944,767394,3887864,824352,43446,867216
77076.07,884342,767782,3887864,825588,43453,867228
78077.47,884739,768171,3887864,825176,43459,867232
79078.46,885136,768537,3887864,820116,43467,867256
