response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.6010,0.0122,0.0000,0.0002,0.5884,0.0002,202,0.1036
2.7520,0.0131,0.0000,0.0001,2.7385,0.0001,202,0.1030
2.7686,0.0127,0.0000,0.0004,2.7553,0.0001,202,0.1030
2.2478,0.0070,0.0000,0.0002,2.2405,0.0001,202,0.7046
3.0593,0.0127,0.0000,0.0003,3.0459,0.0001,202,0.1029
3.0588,0.0124,0.0000,0.0002,3.0461,0.0001,202,0.1035
3.0588,0.0124,0.0000,0.0003,3.0459,0.0001,202,0.1035
3.2629,0.0121,0.0000,0.0004,3.2502,0.0001,202,0.1036
3.2631,0.0123,0.0000,0.0002,3.2504,0.0002,202,0.1034
3.4675,0.0123,0.0000,0.0003,3.4548,0.0001,202,0.1036
3.4678,0.0124,0.0000,0.0004,3.4546,0.0002,202,0.1033
2.3552,0.0058,0.0000,0.0001,2.3491,0.0002,202,2.8549
2.0479,0.0078,0.0000,0.0001,2.0398,0.0001,202,3.3665
2.2522,0.0080,0.0000,0.0001,2.2439,0.0001,202,3.1623
2.2768,0.0082,0.0000,0.0001,2.2684,0.0001,202,3.1622
2.5077,0.0065,0.0000,0.0001,2.5010,0.0001,202,2.9524
2.7478,0.0098,0.0000,0.0001,2.7377,0.0001,202,2.8716
2.6640,0.0080,0.0000,0.0001,2.6557,0.0001,202,3.1623
2.4599,0.0077,0.0000,0.0001,2.4518,0.0001,202,3.3665
2.8676,0.0087,0.0000,0.0002,2.8586,0.0002,202,3.5711
2.9079,0.0085,0.0000,0.0002,2.8991,0.0001,202,3.5711
2.2580,0.0049,0.0000,0.0002,2.2527,0.0001,202,5.2102
2.3311,0.0064,0.0000,0.0001,2.3245,0.0001,202,5.4390
2.3100,0.0084,0.0000,0.0001,2.3013,0.0001,202,5.4601
2.1508,0.0042,0.0000,0.0004,2.1460,0.0001,202,5.6194
2.3557,0.0042,0.0000,0.0001,2.3513,0.0001,202,5.4145
2.4657,0.0056,0.0000,0.0001,2.4598,0.0002,202,5.4144
2.4551,0.0072,0.0000,0.0001,2.4476,0.0002,202,5.8264
3.0702,0.0072,0.0000,0.0002,3.0626,0.0001,202,5.8263
2.4578,0.0082,0.0000,0.0001,2.4493,0.0001,202,6.4387
2.2477,0.0058,0.0000,0.0002,2.2415,0.0002,202,7.4682
3.5435,0.0050,0.0000,0.0001,3.5382,0.0001,202,6.4790
2.2525,0.0060,0.0000,0.0001,2.2462,0.0001,202,7.7702
2.4273,0.0061,0.0000,0.0002,2.4208,0.0002,202,7.7702
2.4030,0.0042,0.0000,0.0002,2.3984,0.0002,202,7.8801
2.8684,0.0061,0.0000,0.0001,2.8620,0.0001,202,7.7702
2.3572,0.0055,0.0000,0.0002,2.3514,0.0001,202,8.2815
2.9731,0.0062,0.0000,0.0002,2.9666,0.0001,202,7.7701
2.3575,0.0046,0.0000,0.0001,2.3524,0.0001,202,8.8965
2.5600,0.0048,0.0000,0.0001,2.5547,0.0003,202,8.8964
2.3549,0.0038,0.0000,0.0001,2.3508,0.0001,202,10.0227
2.6617,0.0032,0.0000,0.0002,2.6582,0.0001,202,9.7159
2.5602,0.0046,0.0000,0.0001,2.5553,0.0002,202,10.0226
2.6083,0.0047,0.0000,0.0002,2.6033,0.0001,202,10.2832
2.6941,0.0037,0.0000,0.0001,2.6901,0.0001,202,10.1975
2.2591,0.0092,0.0000,0.0001,2.2497,0.0001,202,10.6387
2.1480,0.0037,0.0000,0.0001,2.1439,0.0002,202,11.2540
2.7635,0.0090,0.0000,0.0001,2.7542,0.0001,202,10.6385
2.6708,0.0035,0.0000,0.0001,2.6671,0.0001,202,10.7432
2.6628,0.0034,0.0000,0.0001,2.6590,0.0001,202,11.4564
2.0479,0.0043,0.0000,0.0001,2.0432,0.0001,202,12.3776
2.4591,0.0049,0.0000,0.0003,2.4537,0.0001,202,12.5828
2.7746,0.0048,0.0000,0.0001,2.7694,0.0001,202,12.3776
2.3620,0.0062,0.0000,0.0002,2.3556,0.0001,202,12.8915
2.3558,0.0088,0.0000,0.0001,2.3466,0.0002,202,12.8978
2.6619,0.0062,0.0000,0.0002,2.6554,0.0001,202,12.8915
2.1515,0.0052,0.0000,0.0002,2.1460,0.0001,202,13.4020
2.7659,0.0053,0.0000,0.0001,2.7603,0.0002,202,13.4020
2.9575,0.0060,0.0000,0.0001,2.9512,0.0001,202,13.4140
2.3556,0.0078,0.0000,0.0002,2.3474,0.0002,202,14.4255
2.8669,0.0043,0.0000,0.0001,2.8622,0.0002,202,14.1192
2.3466,0.0046,0.0000,0.0001,2.3416,0.0002,202,15.2536
2.8738,0.0044,0.0000,0.0001,2.8691,0.0001,202,15.0418
2.7759,0.0030,0.0000,0.0002,2.7727,0.0001,202,15.1521
2.7640,0.0044,0.0000,0.0001,2.7591,0.0002,202,15.5534
3.5753,0.0047,0.0000,0.0001,3.5702,0.0001,202,15.2536
3.3028,0.0056,0.0000,0.0002,3.2969,0.0002,202,16.1679
4.0944,0.0045,0.0000,0.0001,4.0897,0.0001,202,15.5535
2.1974,0.0069,0.0000,0.0001,2.1902,0.0001,202,17.9281
3.6863,0.0038,0.0000,0.0002,3.6821,0.0002,202,16.7811
4.3345,0.0051,0.0000,0.0002,4.3290,0.0001,202,16.3715
4.0968,0.0032,0.0000,0.0002,4.0932,0.0002,202,16.9861
2.8063,0.0045,0.0000,0.0002,2.8014,0.0002,202,18.3174
3.8840,0.0033,0.0000,0.0002,3.8803,0.0002,202,17.9156
4.2264,0.0031,0.0000,0.0001,4.2231,0.0001,202,17.6003
3.3797,0.0041,0.0000,0.0001,3.3753,0.0001,202,18.8289
0.8940,0.0033,0.0000,0.0001,0.8904,0.0002,202,21.8266
3.1755,0.0068,0.0000,0.0001,3.1684,0.0001,202,19.6479
1.2287,0.0034,0.0000,0.0001,1.2250,0.0001,202,22.2086
3.9845,0.0066,0.0000,0.0001,3.9776,0.0001,202,19.4708
1.0249,0.0109,0.0000,0.0002,1.0136,0.0001,202,22.7207
0.9221,0.0046,0.0000,0.0001,0.9173,0.0001,202,22.8234
3.0396,0.0054,0.0000,0.0001,3.0339,0.0002,202,20.7060
1.1256,0.0177,0.0000,0.0002,1.1075,0.0001,202,23.4373
1.1076,0.0073,0.0000,0.0002,1.1000,0.0001,202,23.4552
4.4992,0.0040,0.0000,0.0001,4.4950,0.0001,202,20.1254
3.5864,0.0074,0.0000,0.0001,3.5788,0.0001,202,21.0829
0.9865,0.0059,0.0000,0.0001,0.9802,0.0003,202,23.7455
1.0718,0.0059,0.0000,0.0002,1.0656,0.0001,202,23.7455
0.9575,0.0044,0.0000,0.0002,0.9528,0.0001,202,24.7321
1.0203,0.0064,0.0000,0.0001,1.0137,0.0001,202,24.6693
1.1269,0.0039,0.0000,0.0001,1.1227,0.0001,202,24.5629
1.1269,0.0042,0.0000,0.0001,1.1224,0.0002,202,24.5629
5.2658,0.0083,0.0000,0.0001,5.2573,0.0001,202,20.4674
4.4023,0.0044,0.0000,0.0002,4.3976,0.0002,202,21.7996
0.8217,0.0050,0.0000,0.0001,0.8165,0.0001,202,25.6897
5.4428,0.0061,0.0000,0.0001,5.4364,0.0001,202,21.1236
1.1260,0.0051,0.0000,0.0001,1.1208,0.0001,202,25.6898
1.1263,0.0049,0.0000,0.0001,1.1211,0.0001,202,25.6896
2.7158,0.0042,0.0000,0.0002,2.7112,0.0002,202,24.8173
0.9668,0.0036,0.0000,0.0002,0.9628,0.0001,202,26.5665
1.3314,0.0070,0.0000,0.0001,1.3242,0.0000,202,26.2020
2.0052,0.0098,0.0000,0.0001,1.9951,0.0001,202,25.7333
3.9929,0.0057,0.0000,0.0001,3.9870,0.0001,202,23.7455
1.3311,0.0055,0.0000,0.0002,1.3253,0.0001,202,26.8158
1.1258,0.0059,0.0000,0.0002,1.1197,0.0000,202,27.5333
1.8434,0.0056,0.0000,0.0002,1.8375,0.0001,202,26.8158
4.0634,0.0040,0.0000,0.0002,4.0591,0.0001,202,24.6247
1.1640,0.0061,0.0000,0.0002,1.1577,0.0000,202,27.5331
1.7330,0.0037,0.0000,0.0001,1.7291,0.0002,202,27.7384
3.9796,0.0048,0.0000,0.0001,3.9744,0.0001,202,25.6896
