time,total,idle,mem_total,mem_free,3552/cpu,3552/rss,4298/cpu,4298/rss
1008.8,2277508,1667670,3887864,3066548,11322,70600,205,1832
2011.34,2277903,1667999,3887864,3049996,11329,70600,205,1832
3012.33,2278299,1668344,3887864,3046200,11340,70604,205,1832
4013.23,2278704,1668726,3887864,3047608,11342,70604,205,1832
5014.13,2279103,1669114,3887864,3056512,11343,70604,205,1832
6015.0,2279501,1669510,3887864,3058132,11345,70604,205,1832
7017.24,2279899,1669905,3887864,3060540,11346,70604,205,1832
8019.43,2280298,1670299,3887864,3061608,11347,70604,205,1832
9021.33,2280694,1670690,3887864,3063648,11350,70604,205,1832
10023.57,2281091,1671082,3887864,3063676,11352,70604,205,1832
11025.77,2281491,1671476,3887864,3064020,11354,70604,205,1832
12027.96,2281892,1671868,3887864,3064852,11357,70604,205,1832
13030.11,2282293,1672250,3887864,3065012,11366,70604,205,1832
14032.14,2282693,1672642,3887864,3065492,11369,70604,205,1832
15034.37,2283092,1673036,3887864,3065620,11371,70604,205,1832
16036.71,2283492,1673432,3887864,3066456,11373,70604,205,1832
17038.95,2283892,1673827,3887864,3067112,11375,70604,205,1832
18041.1,2284291,1674221,3887864,3066720,11376,70604,205,1832
19043.4,2284691,1674613,3887864,3067268,11379,70604,205,1832
20045.62,2285089,1675005,3887864,3067508,11381,70604,205,1832
21047.86,2285486,1675400,3887864,3068012,11383,70604,205,1832
22050.21,2285886,1675793,3887864,3067892,11386,70604,205,1832
23052.4,2286285,1676178,3887864,3068084,11394,70608,206,1832
24054.69,2286682,1676569,3887864,3068140,11398,70608,206,1832
25056.88,2287080,1676963,3887864,3068140,11400,70608,206,1832
26059.08,2287481,1677360,3887864,3068392,11401,70608,206,1832
27061.22,2287882,1677749,3887864,3069148,11408,70608,206,1832
28063.56,2288281,1678144,3887864,3069148,11410,70608,206,1832
29065.6,2288679,1678533,3887864,3068392,11413,70608,206,1832
30067.78,2289077,1678925,3887864,3068392,11416,70608,206,1832
31070.73,2289476,1679316,3887864,3068644,11420,70608,206,1832
32072.91,2289875,1679701,3887864,3068896,11423,70624,206,1832
33075.16,2290270,1680084,3887864,3068656,11430,70628,206,1832
34078.17,2290668,1680474,3887864,3068404,11435,70628,206,1832
35080.42,2291068,1680868,3887864,3068404,11437,70628,206,1832
36082.68,2291466,1681264,3887864,3068404,11438,70628,206,1832
37084.81,2291869,1681659,3887864,3068656,11440,70628,206,1832
38087.0,2292268,1682054,3887864,3068908,11442,70628,206,1832
39088.9,2292666,1682447,3887864,3069412,11444,70628,206,1832
40091.31,2293067,1682839,3887864,3068912,11447,70628,207,1832
41093.18,2293466,1683233,3887864,3068908,11449,70628,207,1832
42095.24,2293865,1683624,3887864,3068908,11452,70628,207,1832
43097.35,2294264,1684009,3887864,3068656,11459,70628,207,1832
44099.49,2294663,1684404,3887864,3068656,11460,70628,207,1832
45101.31,2295060,1684797,3887864,3069160,11464,70628,207,1832
46103.39,2295459,1685193,3887864,3069160,11466,70628,207,1832
47105.63,2295857,1685586,3887864,3068404,11467,70628,207,1832
48107.81,2296257,1685981,3887864,3068776,11470,70628,207,1832
49109.68,2296656,1686368,3887864,3069084,11478,70628,207,1832
50111.83,2297054,1686762,3887864,3069588,11479,70628,207,1832
51113.72,2297455,1687155,3887864,3069840,11482,70628,207,1832
52115.63,2297854,1687547,3887864,3069588,11484,70628,207,1832
53117.47,2298253,1687934,3887864,3069588,11491,70628,207,1832
54119.5,2298649,1688322,3887864,3069588,11496,70628,208,1832
55121.39,2299045,1688713,3887864,3069588,11500,70628,208,1832
56123.3,2299444,1689108,3887864,3069588,11502,70628,208,1832
57125.42,2299844,1689503,3887864,3070344,11504,70628,208,1832
58127.38,2300245,1689898,3887864,3070344,11507,70628,208,1832
59129.44,2300644,1690287,3887864,3070092,11509,70628,208,1832
60131.74,2301042,1690674,3887864,3070092,11510,70628,208,1832
61133.88,2301439,1691067,3887864,3070344,11514,70628,208,1832
62136.34,2301840,1691459,3887864,3070092,11516,70628,208,1832
63138.82,2302238,1691845,3887864,3069840,11524,70628,208,1832
64141.0,2302637,1692239,3887864,3069840,11524,70628,208,1832
65143.14,2303036,1692632,3887864,3070596,11528,70628,208,1832
66145.49,2303435,1693029,3887864,3070848,11529,70628,208,1832
67147.68,2303833,1693422,3887864,3070344,11532,70628,208,1832
68149.66,2304230,1693812,3887864,3070092,11537,70628,208,1832
69152.14,2304628,1694204,3887864,3070092,11540,70628,208,1832
70154.61,2305024,1694590,3887864,3070380,11547,70628,208,1832
71156.98,2305426,1694983,3887864,3070884,11550,70628,209,1832
72159.45,2305827,1695376,3887864,3070632,11552,70628,209,1832
