response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.5173,0.0157,0.0000,0.0001,2.5011,0.0003,202,0.1032
2.8935,0.0155,0.0000,0.0002,2.8775,0.0001,202,0.1033
3.1327,0.0153,0.0000,0.0002,3.1170,0.0001,202,0.1032
3.5404,0.0155,0.0000,0.0002,3.5245,0.0001,202,0.1030
3.8976,0.0158,0.0000,0.0001,3.8815,0.0001,202,0.1031
3.8975,0.0154,0.0000,0.0002,3.8818,0.0001,202,0.1032
3.9121,0.0157,0.0000,0.0002,3.8960,0.0001,202,0.1029
3.9484,0.0157,0.0000,0.0002,3.9322,0.0001,202,0.1030
3.9916,0.0155,0.0000,0.0002,3.9758,0.0001,202,0.1034
4.0899,0.0154,0.0000,0.0002,4.0741,0.0002,202,0.1034
2.9090,0.0085,0.0000,0.0001,2.9002,0.0002,202,4.0150
3.7409,0.0051,0.0000,0.0001,3.7355,0.0002,202,4.0007
4.6092,0.0098,0.0000,0.0001,4.5991,0.0001,202,3.6435
4.2520,0.0049,0.0000,0.0002,4.2468,0.0001,202,4.0007
5.4602,0.0068,0.0000,0.0001,5.4531,0.0001,202,2.9968
4.4724,0.0045,0.0000,0.0003,4.4673,0.0002,202,4.1933
4.7198,0.0047,0.0000,0.0001,4.7149,0.0001,202,4.0514
5.2835,0.0043,0.0000,0.0002,5.2789,0.0001,202,4.0951
7.4781,0.0095,0.0000,0.0001,7.4684,0.0001,202,2.6205
6.9736,0.0092,0.0000,0.0001,6.9641,0.0001,202,3.2359
1.5361,0.0033,0.0000,0.0002,1.5322,0.0002,202,10.0986
3.6393,0.0064,0.0000,0.0001,3.6326,0.0001,202,8.7713
3.8424,0.0059,0.0000,0.0001,3.8362,0.0001,202,8.6657
1.2261,0.0055,0.0000,0.0001,1.2201,0.0002,202,11.6347
3.6988,0.0081,0.0000,0.0002,3.6903,0.0001,202,9.3786
6.1779,0.0035,0.0000,0.0002,6.1739,0.0002,202,6.9240
3.1628,0.0107,0.0000,0.0001,3.1517,0.0002,202,10.2095
6.0543,0.0061,0.0000,0.0002,6.0479,0.0001,202,7.7417
1.4187,0.0082,0.0000,0.0002,1.4102,0.0001,202,12.4105
1.3470,0.0047,0.0000,0.0001,1.3421,0.0001,202,12.5082
1.0717,0.0056,0.0000,0.0001,1.0657,0.0002,202,13.0773
5.9127,0.0082,0.0000,0.0001,5.9043,0.0001,202,8.2526
6.1440,0.0079,0.0000,0.0001,6.1357,0.0002,202,8.2527
5.9398,0.0097,0.0000,0.0003,5.9296,0.0001,202,8.4570
1.6343,0.0094,0.0000,0.0001,1.6246,0.0001,202,12.8608
1.1600,0.0078,0.0000,0.0001,1.1519,0.0001,202,13.3723
1.7046,0.0047,0.0000,0.0002,1.6995,0.0002,202,13.1019
1.2833,0.0042,0.0000,0.0001,1.2789,0.0001,202,13.8292
1.3083,0.0043,0.0000,0.0001,1.3038,0.0001,202,14.5323
1.4836,0.0074,0.0000,0.0001,1.4755,0.0002,202,14.3967
1.7867,0.0061,0.0000,0.0002,1.7802,0.0001,202,14.1491
2.3900,0.0037,0.0000,0.0001,2.3859,0.0003,202,13.8552
1.3323,0.0058,0.0000,0.0001,1.3261,0.0002,202,15.1125
2.1544,0.0042,0.0000,0.0001,2.1499,0.0002,202,14.4951
2.8704,0.0053,0.0000,0.0002,2.8646,0.0002,202,14.8065
3.9870,0.0069,0.0000,0.0002,3.9797,0.0002,202,13.7959
2.3496,0.0047,0.0000,0.0001,2.3447,0.0001,202,16.2452
1.9453,0.0053,0.0000,0.0001,1.9396,0.0002,202,16.6496
2.8691,0.0046,0.0000,0.0002,2.8641,0.0001,202,15.8406
4.3702,0.0072,0.0000,0.0002,4.3621,0.0001,202,14.3967
5.7607,0.0037,0.0000,0.0002,5.7567,0.0001,202,14.1654
3.6902,0.0085,0.0000,0.0001,3.6812,0.0002,202,16.4448
2.4694,0.0040,0.0000,0.0001,2.4651,0.0001,202,17.6769
4.5743,0.0036,0.0000,0.0001,4.5703,0.0002,202,15.8803
2.0482,0.0085,0.0000,0.0001,2.0394,0.0001,202,18.5949
5.1173,0.0056,0.0000,0.0001,5.1114,0.0001,202,15.9357
1.6388,0.0074,0.0000,0.0001,1.6310,0.0002,202,19.9261
2.8363,0.0076,0.0000,0.0001,2.8285,0.0002,202,18.7669
3.0597,0.0064,0.0000,0.0001,3.0530,0.0002,202,18.7096
3.1746,0.0082,0.0000,0.0001,3.1662,0.0001,202,18.5948
2.4414,0.0037,0.0000,0.0001,2.4374,0.0001,202,20.4546
2.7610,0.0112,0.0000,0.0002,2.7495,0.0001,202,20.1351
2.2557,0.0115,0.0000,0.0001,2.2438,0.0002,202,21.0530
2.3965,0.0040,0.0000,0.0001,2.3921,0.0002,202,21.6033
2.2304,0.0073,0.0000,0.0001,2.2228,0.0001,202,21.7694
1.3533,0.0060,0.0000,0.0002,1.3471,0.0001,202,23.9997
7.5702,0.0047,0.0000,0.0002,7.5651,0.0001,202,17.7829
5.3636,0.0068,0.0000,0.0001,5.3566,0.0002,202,20.1463
4.8931,0.0070,0.0000,0.0001,4.8859,0.0001,202,20.6431
2.8676,0.0105,0.0000,0.0001,2.8568,0.0002,202,22.8961
4.0752,0.0071,0.0000,0.0001,4.0678,0.0002,202,21.7694
2.7615,0.0061,0.0000,0.0001,2.7552,0.0001,202,23.3088
3.4812,0.0105,0.0000,0.0001,3.4703,0.0002,202,22.8960
1.1294,0.0062,0.0000,0.0001,1.1229,0.0001,202,25.3533
2.9949,0.0061,0.0000,0.0001,2.9885,0.0001,202,23.9997
1.4847,0.0048,0.0000,0.0001,1.4794,0.0003,202,25.5099
6.0421,0.0039,0.0000,0.0003,6.0377,0.0001,202,21.5649
1.3287,0.0054,0.0000,0.0001,1.3229,0.0002,202,26.4827
2.4731,0.0064,0.0000,0.0001,2.4664,0.0001,202,25.3531
2.3524,0.0043,0.0000,0.0001,2.3479,0.0001,202,25.5362
2.1251,0.0060,0.0000,0.0002,2.1188,0.0001,202,25.7637
2.7865,0.0049,0.0000,0.0001,2.7814,0.0001,202,25.8447
1.6366,0.0077,0.0000,0.0001,1.6285,0.0003,202,26.9946
2.7644,0.0089,0.0000,0.0001,2.7553,0.0001,202,26.0703
2.4576,0.0087,0.0000,0.0002,2.4487,0.0001,202,26.3772
1.9408,0.0079,0.0000,0.0001,1.9326,0.0002,202,26.9946
1.3313,0.0064,0.0000,0.0002,1.3246,0.0001,202,27.8114
1.8283,0.0052,0.0000,0.0001,1.8229,0.0001,202,27.8262
0.9236,0.0086,0.0000,0.0002,0.9147,0.0001,202,28.9355
2.2522,0.0045,0.0000,0.0002,2.2474,0.0001,202,27.6070
1.4358,0.0073,0.0000,0.0001,1.4282,0.0001,202,28.6312
2.2369,0.0061,0.0000,0.0001,2.2306,0.0001,202,27.8885
2.2488,0.0062,0.0000,0.0001,2.2424,0.0001,202,27.8888
1.3350,0.0061,0.0000,0.0002,1.3284,0.0001,202,29.1427
2.2064,0.0075,0.0000,0.0001,2.1986,0.0001,202,28.8348
2.7639,0.0083,0.0000,0.0001,2.7554,0.0001,202,28.6313
2.2526,0.0128,0.0000,0.0001,2.2395,0.0001,202,29.8592
2.3533,0.0128,0.0000,0.0001,2.3402,0.0002,202,29.8592
2.5888,0.0054,0.0000,0.0001,2.5831,0.0002,202,30.1376
3.8923,0.0072,0.0000,0.0001,3.8847,0.0003,202,28.8347
2.8639,0.0043,0.0000,0.0001,2.8593,0.0002,202,30.0670
2.4740,0.0084,0.0000,0.0002,2.4653,0.0001,202,30.4776
1.8436,0.0068,0.0000,0.0001,1.8365,0.0001,202,31.3952
3.8609,0.0094,0.0000,0.0001,3.8513,0.0001,202,29.6544
1.1890,0.0048,0.0000,0.0001,1.1839,0.0001,202,32.9309
2.4599,0.0068,0.0000,0.0001,2.4527,0.0002,202,32.2125
4.6614,0.0040,0.0000,0.0001,4.6572,0.0002,202,30.1255
2.1215,0.0113,0.0000,0.0002,2.1099,0.0001,202,32.7264
3.9187,0.0061,0.0000,0.0001,3.9124,0.0001,202,31.0412
2.9281,0.0053,0.0000,0.0001,2.9225,0.0001,202,32.1118
2.3370,0.0055,0.0000,0.0001,2.3312,0.0002,202,33.2388
3.5646,0.0040,0.0000,0.0001,3.5601,0.0003,202,32.9516
1.8721,0.0054,0.0000,0.0001,1.8665,0.0002,202,34.8479
2.6048,0.0064,0.0000,0.0001,2.5982,0.0001,202,34.1199
3.4086,0.0058,0.0000,0.0001,3.4025,0.0001,202,33.5153
4.1969,0.0109,0.0000,0.0001,4.1857,0.0001,202,32.7271
2.0522,0.0042,0.0000,0.0002,2.0477,0.0001,202,34.9600
2.3683,0.0088,0.0000,0.0001,2.3592,0.0001,202,34.6724
0.8005,0.0069,0.0000,0.0001,0.7933,0.0001,202,37.0407
3.4691,0.0047,0.0000,0.0001,3.4641,0.0001,202,34.7869
2.6804,0.0037,0.0000,0.0001,2.6764,0.0001,202,35.5758
1.8504,0.0050,0.0000,0.0001,1.8451,0.0002,202,36.5162
1.7416,0.0080,0.0000,0.0002,1.7333,0.0001,202,36.9240
2.1464,0.0046,0.0000,0.0001,2.1415,0.0001,202,36.7248
2.1514,0.0091,0.0000,0.0002,2.1417,0.0003,202,36.7201
2.0630,0.0048,0.0000,0.0001,2.0579,0.0001,202,37.0122
2.2400,0.0080,0.0000,0.0001,2.2317,0.0002,202,36.9240
1.5779,0.0067,0.0000,0.0001,1.5710,0.0001,202,37.8412
4.6531,0.0058,0.0000,0.0001,4.6470,0.0002,202,35.0399
1.9496,0.0060,0.0000,0.0002,1.9432,0.0003,202,38.2561
1.9271,0.0049,0.0000,0.0002,1.9219,0.0001,202,38.3666
2.1212,0.0059,0.0000,0.0002,2.1150,0.0001,202,38.2562
1.8421,0.0099,0.0000,0.0001,1.8320,0.0001,202,38.8712
2.0491,0.0104,0.0000,0.0001,2.0384,0.0001,202,38.6656
2.0479,0.0100,0.0000,0.0002,2.0375,0.0002,202,39.0752
2.2662,0.0038,0.0000,0.0001,2.2621,0.0001,202,39.1640
2.5589,0.0113,0.0000,0.0001,2.5472,0.0002,202,38.8714
2.0112,0.0043,0.0000,0.0001,2.0066,0.0002,202,39.4191
0.8455,0.0071,0.0000,0.0001,0.8381,0.0001,202,40.7147
1.8739,0.0093,0.0000,0.0001,1.8644,0.0001,202,40.3774
2.0459,0.0064,0.0000,0.0001,2.0391,0.0003,202,40.2057
1.9728,0.0044,0.0000,0.0002,1.9681,0.0001,202,40.2937
1.0971,0.0100,0.0000,0.0002,1.0868,0.0001,202,41.4303
1.8313,0.0085,0.0000,0.0002,1.8225,0.0001,202,40.7133
3.0729,0.0058,0.0000,0.0002,3.0666,0.0002,202,39.6931
2.0200,0.0050,0.0000,0.0002,2.0146,0.0002,202,41.5602
2.7648,0.0051,0.0000,0.0002,2.7592,0.0004,202,41.1231
1.7012,0.0045,0.0000,0.0001,1.6964,0.0001,202,42.2665
1.7759,0.0064,0.0000,0.0003,1.7691,0.0001,202,42.2513
1.3597,0.0110,0.0000,0.0001,1.3483,0.0001,202,42.7660
2.1496,0.0060,0.0000,0.0001,2.1434,0.0001,202,42.2516
1.8739,0.0055,0.0000,0.0002,1.8681,0.0001,202,42.5274
3.6857,0.0100,0.0000,0.0001,3.6754,0.0001,202,41.4303
1.0889,0.0047,0.0000,0.0001,1.0840,0.0001,202,44.0272
2.6399,0.0042,0.0000,0.0001,2.6354,0.0002,202,42.5446
3.8497,0.0102,0.0000,0.0001,3.8391,0.0002,202,41.4302
2.1745,0.0059,0.0000,0.0002,2.1682,0.0002,202,43.9676
2.5619,0.0074,0.0000,0.0002,2.5540,0.0002,202,43.5802
2.2542,0.0082,0.0000,0.0002,2.2455,0.0003,202,43.8879
1.9435,0.0092,0.0000,0.0001,1.9339,0.0002,202,44.4013
2.2797,0.0047,0.0000,0.0002,2.2746,0.0002,202,44.1256
1.2893,0.0094,0.0000,0.0001,1.2797,0.0001,202,45.1160
1.6388,0.0092,0.0000,0.0001,1.6293,0.0002,202,45.1161
2.4344,0.0093,0.0000,0.0001,2.4248,0.0001,202,44.4014
1.7814,0.0071,0.0000,0.0001,1.7741,0.0001,202,45.2799
1.8852,0.0045,0.0000,0.0001,1.8804,0.0001,202,45.1844
1.6809,0.0080,0.0000,0.0001,1.6726,0.0001,202,46.4054
1.3616,0.0037,0.0000,0.0002,1.3576,0.0002,202,46.8357
1.4791,0.0079,0.0000,0.0001,1.4709,0.0001,202,46.7549
2.1988,0.0164,0.0000,0.0001,2.1821,0.0001,202,46.1421
2.2908,0.0165,0.0000,0.0001,2.2740,0.0001,202,46.1421
2.4558,0.0165,0.0000,0.0001,2.4389,0.0002,202,46.1421
2.1976,0.0080,0.0000,0.0001,2.1893,0.0001,202,46.4053
2.2815,0.0042,0.0000,0.0001,2.2769,0.0001,202,46.3448
2.1507,0.0081,0.0000,0.0002,2.1422,0.0001,202,47.0613
2.1424,0.0063,0.0000,0.0001,2.1358,0.0002,202,47.0696
1.3259,0.0066,0.0000,0.0001,1.3190,0.0001,202,48.6029
1.6924,0.0052,0.0000,0.0002,1.6868,0.0001,202,48.3409
1.6450,0.0087,0.0000,0.0001,1.6359,0.0001,202,48.4329
2.1045,0.0068,0.0000,0.0002,2.0974,0.0001,202,48.2341
2.1412,0.0048,0.0000,0.0002,2.1361,0.0001,202,48.1974
2.0210,0.0038,0.0000,0.0001,2.0170,0.0001,202,48.6263
1.6125,0.0074,0.0000,0.0001,1.6048,0.0001,202,49.2120
2.9176,0.0037,0.0000,0.0002,2.9134,0.0002,202,48.5979
1.7393,0.0068,0.0000,0.0001,1.7322,0.0001,202,50.0333
1.8438,0.0043,0.0000,0.0001,1.8392,0.0002,202,49.9288
1.6948,0.0043,0.0000,0.0001,1.6900,0.0004,202,50.0779
3.6909,0.0074,0.0000,0.0001,3.6832,0.0001,202,48.0862
1.6712,0.0072,0.0000,0.0002,1.6636,0.0001,202,50.3386
1.7761,0.0073,0.0000,0.0002,1.7684,0.0001,202,50.3386
3.2400,0.0074,0.0000,0.0001,3.2322,0.0002,202,49.2120
0.8494,0.0043,0.0000,0.0001,0.8448,0.0001,202,52.1146
1.4300,0.0123,0.0000,0.0001,1.4175,0.0002,202,51.7771
1.8431,0.0079,0.0000,0.0001,1.8349,0.0001,202,51.7726
2.1003,0.0040,0.0000,0.0001,2.0959,0.0002,202,51.5155
2.0063,0.0079,0.0000,0.0001,1.9981,0.0001,202,51.7726
3.1775,0.0086,0.0000,0.0002,3.1686,0.0002,202,50.8244
2.2197,0.0063,0.0000,0.0001,2.2132,0.0001,202,52.0098
2.4568,0.0151,0.0000,0.0001,2.4413,0.0001,202,51.7728
1.7776,0.0095,0.0000,0.0001,1.7676,0.0001,202,52.4520
3.9949,0.0086,0.0000,0.0001,3.9860,0.0002,202,50.6472
1.0884,0.0058,0.0000,0.0002,1.0821,0.0002,202,53.6158
1.3730,0.0101,0.0000,0.0001,1.3626,0.0001,202,53.7789
2.0015,0.0059,0.0000,0.0001,1.9951,0.0001,202,53.2071
1.5366,0.0055,0.0000,0.0001,1.5308,0.0001,202,54.2295
2.3566,0.0058,0.0000,0.0002,2.3505,0.0001,202,53.6157
1.7428,0.0053,0.0000,0.0001,1.7372,0.0001,202,54.2296
1.7428,0.0055,0.0000,0.0001,1.7371,0.0001,202,54.2295
3.2931,0.0081,0.0000,0.0002,3.2847,0.0001,202,52.9641
1.3314,0.0066,0.0000,0.0002,1.3244,0.0002,202,55.1519
1.9829,0.0041,0.0000,0.0001,1.9785,0.0001,202,54.7042
2.1109,0.0077,0.0000,0.0002,2.1029,0.0001,202,54.6421
1.6239,0.0054,0.0000,0.0001,1.6182,0.0001,202,55.2086
3.0966,0.0078,0.0000,0.0002,3.0884,0.0002,202,54.0020
1.0237,0.0063,0.0000,0.0002,1.0171,0.0002,202,56.4832
1.9504,0.0069,0.0000,0.0001,1.9432,0.0001,202,55.7660
1.8894,0.0098,0.0000,0.0002,1.8793,0.0001,202,55.9723
2.1492,0.0099,0.0000,0.0001,2.1390,0.0001,202,55.9723
1.5734,0.0040,0.0000,0.0001,1.5691,0.0001,202,56.7531
1.8445,0.0104,0.0000,0.0002,1.8337,0.0002,202,56.6871
1.7844,0.0055,0.0000,0.0001,1.7786,0.0002,202,56.8324
3.2754,0.0098,0.0000,0.0001,3.2653,0.0001,202,55.9723
2.1568,0.0067,0.0000,0.0002,2.1499,0.0001,202,57.0986
1.7776,0.0081,0.0000,0.0002,1.7693,0.0001,202,57.5070
1.7970,0.0105,0.0000,0.0001,1.7861,0.0003,202,57.8617
2.0579,0.0087,0.0000,0.0002,2.0488,0.0002,202,57.7165
1.5395,0.0055,0.0000,0.0002,1.5337,0.0001,202,58.5316
1.7447,0.0048,0.0000,0.0002,1.7395,0.0001,202,58.3265
3.8699,0.0049,0.0000,0.0002,3.8648,0.0001,202,56.2572
1.4261,0.0079,0.0000,0.0001,1.4177,0.0002,202,59.2554
2.2639,0.0042,0.0000,0.0001,2.2594,0.0002,202,58.6169
1.2253,0.0109,0.0000,0.0001,1.2140,0.0002,202,60.0711
2.0525,0.0055,0.0000,0.0001,2.0467,0.0001,202,59.2477
1.8428,0.0102,0.0000,0.0001,1.8320,0.0003,202,59.6587
3.4024,0.0108,0.0000,0.0002,3.3913,0.0001,202,58.1216
2.5011,0.0039,0.0000,0.0001,2.4969,0.0002,202,59.2846
1.8852,0.0043,0.0000,0.0001,1.8806,0.0001,202,60.1271
2.2380,0.0038,0.0000,0.0001,2.2339,0.0001,202,59.7744
0.9227,0.0103,0.0000,0.0001,0.9119,0.0004,202,62.0124
2.2893,0.0056,0.0000,0.0001,2.2834,0.0001,202,60.6815
2.3619,0.0050,0.0000,0.0002,2.3565,0.0001,202,60.8808
1.9596,0.0075,0.0000,0.0001,1.9519,0.0001,202,61.3002
2.0176,0.0111,0.0000,0.0001,2.0061,0.0001,202,61.2964
1.9026,0.0047,0.0000,0.0001,1.8975,0.0001,202,61.5015
3.4109,0.0111,0.0000,0.0001,3.3994,0.0002,202,60.0711
1.5537,0.0104,0.0000,0.0002,1.5429,0.0002,202,62.0123
2.1728,0.0040,0.0000,0.0002,2.1685,0.0001,202,61.7857
1.3610,0.0043,0.0000,0.0001,1.3563,0.0003,202,63.3140
1.4324,0.0064,0.0000,0.0001,1.4255,0.0003,202,63.2427
3.4586,0.0047,0.0000,0.0001,3.4536,0.0002,202,61.5240
2.0475,0.0072,0.0000,0.0001,2.0401,0.0001,202,62.9351
1.7404,0.0036,0.0000,0.0002,1.7365,0.0001,202,63.2599
1.6215,0.0045,0.0000,0.0002,1.6166,0.0001,202,63.5660
2.0126,0.0042,0.0000,0.0002,2.0079,0.0001,202,63.4820
2.0906,0.0076,0.0000,0.0001,2.0827,0.0001,202,63.4040
1.0238,0.0070,0.0000,0.0001,1.0165,0.0001,202,65.1875
1.4335,0.0074,0.0000,0.0001,1.4259,0.0001,202,64.9826
2.4993,0.0095,0.0000,0.0001,2.4894,0.0002,202,63.9585
3.7524,0.0064,0.0000,0.0001,3.7458,0.0001,202,62.9707
1.9454,0.0074,0.0000,0.0001,1.9378,0.0001,202,64.9826
1.8441,0.0094,0.0000,0.0001,1.8344,0.0002,202,65.4947
0.9905,0.0041,0.0000,0.0001,0.9861,0.0001,202,66.4578
2.0460,0.0104,0.0000,0.0001,2.0354,0.0001,202,65.4946
3.2772,0.0082,0.0000,0.0001,3.2687,0.0001,202,64.6750
1.3223,0.0089,0.0000,0.0001,1.3132,0.0001,202,66.7232
3.0452,0.0048,0.0000,0.0001,3.0400,0.0003,202,65.0002
3.4479,0.0084,0.0000,0.0001,3.4393,0.0001,202,64.6751
1.9009,0.0093,0.0000,0.0001,1.8911,0.0003,202,66.4161
2.3556,0.0078,0.0000,0.0002,2.3475,0.0002,202,66.2113
1.8922,0.0089,0.0000,0.0002,1.8830,0.0001,202,67.3388
2.5615,0.0077,0.0000,0.0001,2.5535,0.0001,202,66.9281
1.4442,0.0073,0.0000,0.0001,1.4366,0.0002,202,68.0454
1.9646,0.0048,0.0000,0.0001,1.9596,0.0001,202,67.5406
1.8434,0.0041,0.0000,0.0001,1.8390,0.0001,202,67.9523
2.3474,0.0059,0.0000,0.0001,2.3412,0.0002,202,67.4483
1.6842,0.0126,0.0000,0.0001,1.6713,0.0001,202,68.3170
1.8923,0.0061,0.0000,0.0001,1.8859,0.0001,202,68.1230
1.6377,0.0103,0.0000,0.0001,1.6270,0.0001,202,68.5669
1.4858,0.0038,0.0000,0.0001,1.4816,0.0001,202,69.2310
1.8416,0.0071,0.0000,0.0001,1.8341,0.0002,202,69.4897
