time,total,idle,mem_total,mem_free,1674/cpu,1674/rss
1004.67,205275,180435,3887864,1208084,11754,636392
2005.91,205663,180737,3887864,1208268,11778,636400
3006.89,206049,181045,3887864,1200160,11787,636400
4007.89,206433,181301,3887864,1168536,11795,636400
5008.68,206821,181561,3887864,1125060,11807,636492
6009.39,207216,181910,3887864,1122516,11824,636400
7011.71,207614,182281,3887864,1108732,11830,636400
8012.92,208011,182661,3887864,1115404,11836,636396
9013.8,208400,183010,3887864,1119596,11854,636400
10016.57,208789,183319,3887864,1120648,11872,636652
11017.48,209178,183567,3887864,1078548,11890,636416
12018.38,209575,183816,3887864,1064032,11983,636404
13019.14,209974,184190,3887864,1064032,12002,636476
14020.57,210369,184555,3887864,1060644,12010,636500
15021.38,210763,184917,3887864,1076476,12023,636568
16022.14,211162,185287,3887864,1090392,12029,636644
17022.85,211557,185678,3887864,1090140,12034,636644
18023.5,211954,186039,3887864,1080568,12047,638332
19024.15,212353,186430,3887864,1081808,12054,638332
20025.99,212749,186795,3887864,1082464,12076,636536
21027.03,213142,187144,3887864,1084800,12097,636448
22027.84,213541,187472,3887864,1086136,12163,636488
23028.82,213942,187841,3887864,1087972,12171,636500
24029.57,214335,188222,3887864,1089728,12183,636496
25030.39,214735,188592,3887864,1087472,12189,636500
26031.11,215130,188956,3887864,1086968,12196,636500
27031.86,215525,189327,3887864,1084216,12203,636500
28032.6,215925,189710,3887864,1085056,12215,636508
29033.32,216325,190080,3887864,1088360,12222,636524
30034.28,216725,190460,3887864,1089228,12236,636504
31036.82,217119,190803,3887864,1077968,12258,636440
32037.68,217515,191187,3887864,1093960,12265,636440
33038.43,217911,191578,3887864,1094268,12270,636512
34039.25,218310,191943,3887864,1094460,12279,636512
35039.98,218707,192334,3887864,1094916,12285,636512
36041.35,219108,192673,3887864,1089732,12299,636544
37042.91,219505,193055,3887864,1089480,12308,636556
38067.62,219908,193410,3887864,1076404,12321,636564
39068.49,220306,193797,3887864,1075156,12330,636604
40069.34,220700,194156,3887864,1088296,12345,636516
41070.16,221097,194539,3887864,1089720,12357,636516
42071.0,221494,194904,3887864,1090196,12365,636516
43072.76,221891,195285,3887864,1090996,12374,636516
44073.93,222286,195643,3887864,1086892,12390,636516
45074.73,222685,196023,3887864,1096716,12397,636520
46075.53,223079,196396,3887864,1096876,12403,636536
47076.37,223475,196760,3887864,1085308,12411,636752
48077.14,223875,197147,3887864,1085344,12418,636852
49078.58,224269,197514,3887864,1083740,12427,636916
50081.03,224662,197874,3887864,1083740,12453,636524
51082.1,225063,198219,3887864,1091372,12480,636592
52082.93,225461,198606,3887864,1091372,12487,636592
53083.8,225856,198976,3887864,1095268,12494,636592
54084.69,226256,199358,3887864,1095268,12506,636596
55085.52,226653,199729,3887864,1097184,12513,636596
56086.32,227047,200082,3887864,1096468,12525,636596
57087.26,227446,200458,3887864,1088796,12532,636596
58088.11,227842,200832,3887864,1097964,12543,636592
59088.95,228242,201221,3887864,1097712,12552,636596
60089.79,228637,201579,3887864,1093008,12567,636600
61091.14,229032,201951,3887864,1093664,12587,637132
62092.09,229426,202307,3887864,1093696,12597,637204
63092.96,229826,202693,3887864,1093444,12607,638304
64093.78,230223,203059,3887864,1097192,12615,638304
65094.62,230619,203452,3887864,1096712,12620,638304
66095.85,231018,203803,3887864,1091292,12632,638304
67097.45,231413,204179,3887864,1097580,12644,638308
68098.42,231808,204531,3887864,1087492,12655,638312
69099.23,232202,204917,3887864,1088192,12666,638420
70100.17,232604,205296,3887864,1083248,12679,636608
71102.9,233002,205657,3887864,1073168,12695,636604
72103.75,233398,206044,3887864,1072720,12703,636604
73105.23,233798,206413,3887864,1088224,12710,636608
74106.8,234191,206784,3887864,1088224,12725,636608
75107.76,234584,207144,3887864,1088296,12734,636616
76110.23,234984,207535,3887864,1088296,12740,636668
77111.07,235384,207886,3887864,1089772,12746,636736
78111.92,235783,208272,3887864,1090516,12754,636736
79112.76,236183,208641,3887864,1090524,12763,636784
80114.31,236581,209011,3887864,1090472,12782,636868
81115.31,236975,209343,3887864,1097644,12816,636684
82116.17,237373,209729,3887864,1097392,12822,636688
83117.06,237770,210121,3887864,1097864,12827,636688
84117.9,238164,210480,3887864,1097740,12840,637412
85118.74,238563,210873,3887864,1097740,12845,637500
86120.5,238964,211241,3887864,1098764,12852,637636
87121.52,239360,211605,3887864,1098504,12864,637728
88122.33,239755,211969,3887864,1081688,12873,637768
89123.18,240152,212360,3887864,1081688,12880,637788
90124.01,240548,212720,3887864,1087656,12893,636980
91124.87,240946,213101,3887864,1088164,12908,637036
92125.75,241340,213452,3887864,1092584,12919,637048
93126.62,241739,213843,3887864,1092088,12924,637048
94128.36,242138,214212,3887864,1078732,12932,637068
95129.38,242536,214600,3887864,1090928,12938,637080
96130.23,242931,214983,3887864,1090928,12948,637232
97132.12,243328,215332,3887864,1081376,12957,637236
98134.12,243728,215712,3887864,1081376,12969,637232
99135.14,244123,216068,3887864,1091012,12982,637400
100135.95,244525,216450,3887864,1091420,12995,637000
101136.79,244923,216811,3887864,1089852,13010,636996
102137.65,245321,217193,3887864,1089808,13018,637092
103138.49,245719,217561,3887864,1079944,13025,637100
104141.16,246113,217936,3887864,1080796,13039,637136
105142.22,246513,218290,3887864,1089764,13053,637220
106143.07,246911,218680,3887864,1089764,13058,637224
107144.08,247306,219047,3887864,1081488,13067,638940
108145.03,247702,219410,3887864,1090272,13076,639540
109145.86,248100,219802,3887864,1090272,13082,639540
110147.32,248495,220159,3887864,1084380,13097,637496
111149.01,248886,220511,3887864,1085436,13133,637676
112150.04,249281,220861,3887864,1091216,13143,637680
113150.85,249680,221254,3887864,1091216,13148,637680
114151.68,250078,221614,3887864,1090576,13161,637752
115152.58,250476,222007,3887864,1090328,13166,637760
116153.43,250875,222376,3887864,1074984,13173,637768
117154.82,251272,222761,3887864,1074984,13183,637840
118155.78,251664,223095,3887864,1070484,13196,637876
119156.65,252060,223486,3887864,1071184,13204,637896
120157.56,252454,223862,3887864,1072252,13219,637512
121158.42,252851,224159,3887864,1090568,13300,637564
122159.27,253252,224543,3887864,1091244,13308,637564
123160.12,253649,224898,3887864,1091872,13318,637640
124161.01,254047,225284,3887864,1091624,13326,637672
125161.85,254445,225652,3887864,1080284,13335,637688
126162.69,254843,226037,3887864,1080740,13342,637708
127163.55,255240,226407,3887864,1084716,13349,637712
128164.41,255637,226770,3887864,1083604,13356,637772
129165.28,256037,227138,3887864,1075016,13366,637808
130166.14,256435,227520,3887864,1079480,13377,637756
131167.03,256834,227881,3887864,1084324,13393,637752
132167.89,257230,228265,3887864,1086656,13403,637752
133170.44,257627,228652,3887864,1087368,13408,637752
134171.51,258023,229007,3887864,1095092,13419,637932
135172.38,258422,229399,3887864,1095092,13425,637948
136173.24,258821,229766,3887864,1093592,13432,637960
137174.32,259218,230155,3887864,1092848,13439,639628
138175.2,259614,230499,3887864,1094656,13450,639632
139176.75,260007,230882,3887864,1094404,13461,639628
140177.69,260399,231221,3887864,1094716,13484,639736
141178.54,260796,231592,3887864,1094624,13506,637952
142179.41,261193,231956,3887864,1080812,13514,637952
143180.24,261592,232350,3887864,1081008,13519,637952
144181.16,261989,232722,3887864,1077148,13531,637952
145182.53,262384,233100,3887864,1081664,13539,637952
146184.12,262783,233480,3887864,1084028,13550,637952
147185.22,263183,233845,3887864,1091732,13557,637952
148186.12,263577,234215,3887864,1094932,13566,637952
149186.97,263975,234581,3887864,1088368,13578,637972
150187.76,264374,234964,3887864,1088268,13589,637956
151189.05,264771,235323,3887864,1080460,13605,637828
152190.61,265168,235691,3887864,1080900,13623,637828
153191.57,265566,236041,3887864,1091836,13632,637828
154192.43,265966,236429,3887864,1091836,13640,637844
155193.29,266364,236798,3887864,1096644,13648,637888
156194.13,266762,237180,3887864,1096284,13659,637932
157195.12,267163,237569,3887864,1095780,13665,638772
158196.8,267557,237937,3887864,1092096,13674,638784
159197.8,267955,238305,3887864,1098924,13682,638820
160198.62,268353,238662,3887864,1084060,13695,637960
161199.46,268752,239046,3887864,1084068,13709,637832
162200.41,269144,239408,3887864,1095360,13719,637832
163201.29,269546,239801,3887864,1095360,13723,637832
164202.12,269939,240148,3887864,1096964,13738,637832
165202.98,270335,240538,3887864,1097460,13745,637832
166203.84,270730,240903,3887864,1086652,13755,637836
167204.73,271133,241297,3887864,1086404,13759,637840
168205.57,271531,241660,3887864,1072652,13769,637876
169207.23,271930,242031,3887864,1076900,13778,637900
170209.14,272326,242394,3887864,1076760,13799,637928
171210.14,272719,242747,3887864,1085872,13817,637852
172212.69,273117,243126,3887864,1085340,13829,639496
173213.52,273515,243498,3887864,1092776,13835,639496
174214.38,273913,243881,3887864,1093892,13846,639500
175215.22,274309,244250,3887864,1079044,13854,639492
176216.63,274700,244626,3887864,1079384,13866,639492
177217.59,275092,244983,3887864,1071548,13876,639500
178218.42,275488,245363,3887864,1076092,13885,639500
179219.26,275882,245712,3887864,1080964,13897,639500
180220.12,276281,246092,3887864,1086568,13911,639512
181221.23,276678,246456,3887864,1070412,13925,637996
182222.8,277073,246829,3887864,1086612,13939,638648
183224.7,277466,247205,3887864,1086476,13952,638656
184225.71,277863,247565,3887864,1084696,13961,638684
185226.55,278262,247957,3887864,1085936,13967,638000
186227.39,278658,248317,3887864,1083800,13980,637996
187228.29,279059,248709,3887864,1085280,13985,638000
188229.19,279456,249075,3887864,1092772,13992,638000
189230.05,279854,249423,3887864,1091504,14017,638000
190230.88,280246,249783,3887864,1093700,14030,638036
191231.7,280641,250165,3887864,1098216,14044,638020
192232.55,281037,250525,3887864,1097744,14056,638020
193233.39,281437,250918,3887864,1097996,14060,638020
194234.69,281837,251288,3887864,1092236,14069,638020
195235.59,282234,251665,3887864,1077436,14076,638016
196236.46,282632,252056,3887864,1079072,14081,638020
197237.3,283028,252427,3887864,1087880,14087,638032
198238.1,283426,252814,3887864,1089216,14094,638048
199239.54,283819,253179,3887864,1088972,14104,638056
200240.53,284214,253539,3887864,1087824,14117,638052
201241.36,284610,253893,3887864,1086972,14136,638052
202242.18,285008,254275,3887864,1086972,14146,638052
203243.01,285406,254647,3887864,1086460,14152,638052
204243.81,285806,255027,3887864,1086460,14166,639772
205244.67,286200,255383,3887864,1089956,14178,639772
206245.51,286599,255773,3887864,1089904,14184,639776
207248.17,286997,256158,3887864,1081488,14189,639776
208249.15,287395,256533,3887864,1085088,14198,639776
209249.98,287794,256924,3887864,1085260,14205,639776
210251.45,288186,257263,3887864,1076844,14220,639848
211253.13,288578,257630,3887864,1078056,14247,637924
212254.08,288976,257973,3887864,1070896,14264,637924
213254.92,289373,258363,3887864,1071840,14269,637924
214255.76,289777,258727,3887864,1079680,14279,638104
215256.65,290174,259119,3887864,1081508,14284,638104
216257.52,290570,259477,3887864,1083352,14298,638168
217258.88,290962,259860,3887864,1084020,14307,638168
218260.35,291355,260218,3887864,1073080,14319,638272
219261.3,291751,260596,3887864,1084492,14330,638308
220262.27,292148,260963,3887864,1083876,14341,638336
221263.13,292547,261325,3887864,1076204,14356,637668
222263.99,292943,261646,3887864,1076784,14426,637692
223265.48,293341,262015,3887864,1071528,14432,637700
224267.69,293738,262391,3887864,1073292,14446,637724
225268.75,294134,262740,3887864,1070628,14472,639824
226269.77,294531,263100,3887864,1073644,14503,639848
227270.69,294934,263447,3887864,1078748,14533,639892
228271.52,295334,263834,3887864,1080192,14540,640064
229272.43,295733,264203,3887864,1081228,14549,640132
230273.29,296124,264544,3887864,1261860,14569,638048
231274.15,296515,264900,3887864,1264304,14588,638044
232275.01,296914,265281,3887864,1266268,14598,638048
233275.86,297313,265674,3887864,1267200,14602,638048
234276.74,297714,266036,3887864,1266372,14614,638688
235278.23,298108,266424,3887864,1267612,14622,638692
236279.21,298504,266780,3887864,1273560,14633,638708
237280.05,298905,267173,3887864,1273656,14638,638716
238280.94,299301,267529,3887864,1269248,14650,638728
239281.79,299698,267918,3887864,1269348,14660,639712
240282.62,300096,268273,3887864,1259436,14675,638084
241283.49,300488,268615,3887864,1261812,14703,638108
242284.34,300887,268976,3887864,1255416,14714,638112
243285.16,301287,269365,3887864,1256948,14720,638112
244286.17,301684,269735,3887864,1256100,14728,638112
245287.03,302085,270124,3887864,1268996,14732,638116
246288.39,302478,270495,3887864,1270100,14749,638128
247291.24,302880,270854,3887864,1270896,14758,638144
248292.07,303278,271246,3887864,1270896,14762,638144
249292.96,303678,271546,3887864,1275864,14834,638356
250293.8,304072,271925,3887864,1275520,14845,638160
251294.64,304465,272269,3887864,1261948,14862,638168
