time,total,idle,mem_total,mem_free,28206/cpu,28206/rss,29242/cpu,29242/rss
1008.14,2378132,2010884,3887864,1979824,901,54588,415,90724
2009.04,2378524,2011187,3887864,1947308,901,54588,415,90724
3010.12,2378907,2011471,3887864,1941984,901,54588,415,90724
4011.82,2379288,2011804,3887864,1918688,901,54588,415,90724
5012.9,2379673,2012106,3887864,1876272,902,54588,416,90724
6016.39,2380072,2012290,3887864,1820448,902,54588,416,90724
7018.1,2380474,2012298,3887864,1807928,903,54588,416,90724
8020.48,2380870,2012302,3887864,1797192,903,54588,417,90724
9024.8,2381269,2012304,3887864,1790844,903,54588,417,90724
10026.56,2381670,2012304,3887864,1747372,904,54588,418,90724
11032.41,2382072,2012304,3887864,1744224,904,54588,418,90724
12034.59,2382470,2012305,3887864,1727592,904,54588,418,90724
13036.6,2382869,2012306,3887864,1727592,905,54588,418,90724
14040.83,2383271,2012307,3887864,1718016,905,54588,419,90724
15042.7,2383667,2012313,3887864,1703652,906,54588,419,90724
16047.17,2384069,2012314,3887864,1692240,906,54588,420,90724
17049.72,2384468,2012328,3887864,1680612,908,54588,420,90724
18052.1,2384866,2012336,3887864,1660616,908,54588,420,90724
19056.84,2385267,2012342,3887864,1659132,908,54588,421,90724
20061.6,2385669,2012358,3887864,1630084,908,54588,421,90724
21064.84,2386070,2012367,3887864,1609312,908,54588,421,90724
22068.17,2386474,2012382,3887864,1529908,908,54588,421,90724
23069.76,2386874,2012383,3887864,1512572,909,54588,422,90724
24093.85,2387282,2012385,3887864,1509948,909,54588,423,90724
25095.88,2387682,2012386,3887864,1495836,910,54588,423,90724
26097.66,2388084,2012392,3887864,1493776,911,54588,423,90724
27107.23,2388486,2012392,3887864,1468072,912,54588,424,90724
28109.05,2388888,2012393,3887864,1466056,912,54588,424,90724
29112.65,2389287,2012399,3887864,1456992,912,54588,424,90724
30114.52,2389688,2012402,3887864,1441108,912,54588,424,90724
31116.98,2390089,2012403,3887864,1419436,913,54588,427,90724
32121.07,2390491,2012404,3887864,1419184,913,54588,428,90724
33122.63,2390891,2012405,3887864,1408848,913,54588,428,90724
34124.65,2391292,2012405,3887864,1407140,914,54588,428,90724
35127.28,2391691,2012408,3887864,1399760,914,54588,428,90724
36129.68,2392091,2012413,3887864,1391184,915,54588,428,90724
37133.76,2392491,2012417,3887864,1264716,915,54588,429,90724
38138.3,2392891,2012425,3887864,1247796,915,54588,430,90724
39142.48,2393292,2012426,3887864,1246084,916,54588,430,90724
40146.52,2393691,2012427,3887864,1216548,916,54588,431,90724
41153.15,2394095,2012429,3887864,1229272,917,54588,431,90724
42155.4,2394493,2012431,3887864,1238536,917,54588,432,90724
43157.2,2394895,2012432,3887864,1208544,918,54588,432,90724
44159.27,2395294,2012433,3887864,1204276,918,54588,432,90724
45161.0,2395691,2012436,3887864,1206100,918,54588,432,90724
46165.06,2396092,2012440,3887864,1214600,918,54588,433,90724
47167.87,2396493,2012440,3887864,1186300,919,54588,433,90724
48169.67,2396892,2012441,3887864,1184788,919,54588,433,90724
49173.14,2397293,2012443,3887864,1185920,919,54588,433,90724
50175.1,2397692,2012444,3887864,1175588,919,54588,434,90724
51176.85,2398093,2012444,3887864,1166824,919,54588,434,90724
52178.79,2398491,2012446,3887864,1160572,921,54588,435,90724
53183.66,2398893,2012573,3887864,1047796,921,54588,435,90724
