time,total,idle,mem_total,mem_free,2291/cpu,2291/rss,2311/cpu,2311/rss,2328/cpu,2328/rss,2378/cpu,2378/rss,2411/cpu,2411/rss,2412/cpu,2412/rss
1010.4,2125678,1983787,3887864,1325212,4347,111544,14835,141868,42405,774740,116,79128,2031,67464,9614,130548
2012.41,2126074,1984159,3887864,1320440,4347,111544,14837,141868,42410,774740,116,79128,2032,67464,9615,130548
3013.98,2126471,1984527,3887864,1316376,4348,111544,14839,141868,42414,774740,116,79128,2032,67464,9616,130548
4015.47,2126870,1984893,3887864,1316460,4349,111544,14846,141868,42434,774748,116,79128,2033,67480,9619,130548
5016.97,2127265,1985250,3887864,1307700,4349,111544,14849,141868,42441,774748,116,79128,2033,67492,9621,130548
6018.48,2127665,1985642,3887864,1309884,4349,111544,14851,141868,42443,774748,116,79128,2033,67492,9622,130548
7020.1,2128066,1986008,3887864,1312536,4350,111544,14853,141868,42448,774748,116,79128,2033,67496,9623,130548
8021.64,2128466,1986399,3887864,1315392,4350,111544,14854,141868,42452,774748,116,79128,2035,65908,9624,130548
9023.16,2128859,1986762,3887864,1319364,4350,111544,14856,141868,42459,774748,116,79128,2035,65908,9625,130548
10025.81,2129254,1987136,3887864,1320620,4351,111544,14863,141868,42470,774748,116,79128,2035,65908,9628,130548
11031.5,2129651,1987494,3887864,1307812,4352,111544,14865,141868,42479,774748,116,79128,2036,65908,9631,130548
12033.1,2130047,1987867,3887864,1319780,4352,111544,14867,141868,42483,774748,116,79128,2036,65908,9632,130548
13034.68,2130447,1988261,3887864,1320640,4352,111544,14868,141868,42485,774748,116,79128,2037,65908,9632,130548
14036.31,2130844,1988620,3887864,1326940,4353,111544,14872,141872,42492,774748,116,79128,2037,65908,9633,130548
15038.03,2131243,1989010,3887864,1327104,4353,111544,14874,141872,42498,774748,116,79128,2037,65908,9636,130580
16040.77,2131637,1989312,3887864,1325420,4353,111544,14887,141872,42539,774752,116,79128,2039,65912,9643,130584
17044.31,2132032,1989689,3887864,1325696,4354,111544,14893,141872,42549,774772,116,79128,2039,65912,9645,130584
18046.01,2132427,1990041,3887864,1319136,4354,111544,14897,141872,42557,774772,116,79128,2040,65912,9647,130588
19047.57,2132825,1990432,3887864,1319688,4354,111544,14899,141872,42561,774780,116,79128,2040,65912,9647,130588
20049.38,2133223,1990756,3887864,1315528,4355,111544,14907,141872,42588,774864,116,79128,2040,65916,9653,130588
21050.99,2133621,1991142,3887864,1316936,4356,111544,14910,141872,42596,774932,116,79128,2041,65916,9654,130588
22055.82,2134021,1991464,3887864,1313908,4356,111544,14911,141872,42645,774980,116,79128,2041,65916,9656,130588
23060.41,2134416,1991817,3887864,1342724,4356,111544,14915,141872,42664,736516,116,79128,2041,65916,9659,130628
24064.27,2134811,1992188,3887864,1345808,4357,111544,14922,141872,42676,736516,116,79128,2042,65916,9663,130628
25066.1,2135206,1992535,3887864,1362928,4357,111544,14926,141872,42688,736516,116,79128,2043,65928,9665,130628
26067.7,2135605,1992929,3887864,1362928,4357,111544,14927,141872,42690,736516,116,79128,2043,65928,9667,130628
27069.26,2136003,1993295,3887864,1362404,4359,111544,14929,141872,42695,736516,116,79128,2043,65928,9668,130628
28070.95,2136403,1993690,3887864,1362404,4359,111544,14931,141872,42697,736516,116,79128,2043,65928,9669,130628
29072.55,2136802,1994049,3887864,1352100,4359,111544,14935,141876,42705,736516,116,79128,2043,65928,9671,130628
30075.87,2137197,1994427,3887864,1353052,4360,111544,14940,141900,42715,736516,116,79128,2043,65928,9673,130628
31077.82,2137591,1994771,3887864,1345600,4360,111544,14945,141972,42730,736516,116,79128,2044,65928,9676,130628
32079.59,2137990,1995136,3887864,1358588,4360,111544,14952,142476,42736,736540,116,79128,2044,65928,9677,130628
33081.2,2138391,1995529,3887864,1359672,4360,111544,14953,142476,42738,736540,116,79128,2044,65928,9678,130628
34082.92,2138785,1995889,3887864,1357240,4361,111544,14957,142476,42746,736540,116,79128,2044,65928,9680,130628
35084.54,2139182,1996281,3887864,1357980,4361,111544,14958,142476,42749,736540,116,79128,2044,65928,9681,130628
36087.82,2139580,1996646,3887864,1356580,4361,111544,14960,142476,42754,736540,116,79128,2045,65928,9682,130628
37091.48,2139978,1997028,3887864,1357256,4363,111544,14964,142476,42761,736540,116,79128,2045,65928,9685,130628
38093.27,2140379,1997384,3887864,1363272,4363,111544,14967,142476,42769,736540,116,79128,2046,65928,9687,130628
39094.94,2140774,1997769,3887864,1363048,4364,111544,14969,142476,42776,736540,116,79128,2046,65928,9689,130628
40096.6,2141170,1998129,3887864,1353472,4364,111544,14973,142476,42784,736540,116,79128,2046,65928,9690,130628
41098.29,2141567,1998521,3887864,1354216,4364,111544,14975,142476,42787,736540,116,79128,2046,65928,9691,130628
42100.54,2141965,1998891,3887864,1354672,4365,111544,14977,142476,42792,736544,116,79128,2046,65928,9692,130628
43104.57,2142360,1999261,3887864,1365008,4365,111544,14978,142476,42796,736544,116,79128,2047,65928,9695,130628
44108.29,2142752,1999634,3887864,1365008,4366,111544,14985,142476,42808,736544,116,79128,2047,65928,9698,130628
45110.1,2143148,1999994,3887864,1361940,4367,111544,14987,142476,42814,736544,116,79128,2047,65928,9699,130628
46111.75,2143548,2000384,3887864,1362944,4367,111544,14989,142476,42818,736544,116,79128,2048,65928,9701,130640
47113.36,2143945,2000750,3887864,1364760,4367,111544,14991,142476,42824,736544,116,79128,2048,65928,9703,130640
48116.28,2144342,2001145,3887864,1364760,4367,111544,14992,142476,42826,736544,116,79128,2048,65928,9704,130640
49117.96,2144741,2001509,3887864,1359864,4368,111544,14995,142476,42833,736544,116,79128,2049,65928,9705,130640
50123.43,2145139,2001895,3887864,1359924,4369,111544,14996,142476,42839,736544,116,79128,2049,65928,9707,130640
51125.27,2145530,2002243,3887864,1344400,4370,111544,15002,142476,42848,736544,116,79128,2049,65928,9710,130640
52126.94,2145930,2002639,3887864,1357288,4370,111544,15003,142476,42850,736544,116,79128,2049,65928,9711,130640
53128.61,2146326,2002992,3887864,1353380,4370,111544,15006,142476,42855,736544,116,79128,2050,65928,9713,130720
54130.31,2146728,2003372,3887864,1368380,4370,111544,15008,142476,42863,736544,116,79128,2050,65928,9714,130720
55132.04,2147122,2003758,3887864,1368380,4370,111544,15012,142480,42870,736544,116,79128,2051,65928,9716,130720
56136.37,2147520,2004121,3887864,1364812,4371,111544,15014,142480,42873,736544,116,79128,2051,65928,9718,130720
57138.23,2147915,2004488,3887864,1366500,4374,111544,15018,142480,42881,736552,116,79128,2051,65928,9730,128452
58139.87,2148316,2004858,3887864,1365728,4374,111544,15019,142480,42886,736552,116,79128,2051,65928,9731,128452
59141.53,2148717,2005246,3887864,1365224,4374,111544,15022,142480,42891,736552,116,79128,2052,65928,9732,128452
60143.2,2149113,2005613,3887864,1366240,4376,111544,15024,142480,42896,736552,116,79128,2052,65928,9733,128452
61144.86,2149509,2005998,3887864,1366240,4376,111544,15027,142480,42904,736552,116,79128,2052,65928,9735,128452
62146.62,2149905,2006353,3887864,1363076,4376,111544,15030,142480,42910,736552,116,79128,2052,65928,9736,128452
63148.27,2150304,2006727,3887864,1364572,4376,111544,15031,142480,42914,736552,116,79128,2052,65928,9738,128452
64150.3,2150702,2007102,3887864,1355588,4376,111544,15034,142480,42919,736552,116,79128,2053,65928,9739,128452
65151.97,2151099,2007478,3887864,1361820,4377,111544,15036,142480,42925,736552,116,79128,2053,65928,9740,128452
66153.61,2151497,2007873,3887864,1361820,4377,111544,15037,142480,42927,736552,116,79128,2053,65928,9741,128452
67157.87,2151895,2008235,3887864,1347780,4377,111544,15041,142480,42935,736552,116,79128,2053,65928,9743,128452
68162.27,2152292,2008622,3887864,1348536,4377,111544,15043,142480,42940,736552,116,79128,2053,65928,9744,128452
69164.11,2152687,2008971,3887864,1357784,4379,111544,15048,142480,42949,736552,116,79128,2054,65928,9747,128452
70165.76,2153082,2009360,3887864,1357784,4379,111544,15050,142480,42955,736552,116,79128,2054,65928,9748,128452
71167.52,2153479,2009725,3887864,1359624,4379,111544,15053,142480,42960,736552,116,79128,2054,65928,9749,128452
72169.16,2153875,2010119,3887864,1359372,4379,111544,15054,142480,42963,736552,116,79128,2054,65928,9751,128452
73170.87,2154273,2010465,3887864,1367684,4379,111544,15056,142480,42969,736556,116,79128,2055,65928,9751,128452
74174.82,2154666,2010846,3887864,1367632,4381,111544,15060,142480,42976,736556,116,79128,2055,65928,9754,128452
75177.8,2155063,2011213,3887864,1362096,4382,111544,15066,142480,42988,736556,116,79128,2055,65928,9756,128452
76179.63,2155456,2011527,3887864,1363912,4382,111544,15078,142480,43023,736564,116,79128,2057,65928,9763,128452
77181.32,2155852,2011912,3887864,1363912,4382,111544,15081,142480,43030,736564,116,79128,2057,65928,9765,128452
78183.02,2156246,2012283,3887864,1358332,4382,111544,15082,142480,43033,736564,116,79128,2057,65928,9766,128452
79184.7,2156643,2012670,3887864,1359180,4383,111544,15085,142480,43039,736564,116,79128,2057,65928,9767,128452
80186.43,2157042,2013038,3887864,1362112,4384,111544,15086,142480,43043,736564,116,79128,2057,65928,9769,128452
81190.64,2157435,2013422,3887864,1362372,4384,111544,15090,142480,43050,736564,116,79128,2058,65928,9771,128452
82192.5,2157832,2013779,3887864,1366908,4385,111544,15093,142480,43057,736564,116,79128,2059,65928,9773,128452
83194.22,2158228,2014165,3887864,1366908,4385,111544,15095,142480,43062,736564,116,79128,2059,65928,9775,128452
84196.23,2158624,2014515,3887864,1345296,4385,111544,15097,142480,43069,736564,116,79128,2059,65928,9778,128452
85198.05,2159024,2014897,3887864,1358292,4386,111544,15101,142480,43077,736564,116,79128,2059,65928,9779,128452
86199.69,2159425,2015293,3887864,1358292,4386,111544,15102,142480,43078,736564,116,79128,2059,65928,9780,128452
87203.84,2159822,2015657,3887864,1359472,4386,111544,15104,142480,43085,736564,116,79128,2060,65928,9781,128452
88208.08,2160218,2016046,3887864,1359840,4387,111544,15106,142480,43089,736564,116,79128,2060,65928,9784,128456
89209.94,2160613,2016391,3887864,1356948,4388,111544,15112,142480,43101,736564,116,79128,2060,65928,9786,128456
90211.61,2161015,2016784,3887864,1357516,4388,111544,15113,142480,43103,736564,116,79128,2060,65928,9787,128456
91220.66,2161412,2017042,3887864,1359248,4389,111544,15117,142480,43210,736616,116,79128,2060,65928,9790,128456
