response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.8474,0.0154,0.0000,0.0002,2.8309,0.0004,200,0.1034
2.8606,0.0147,0.0000,0.0002,2.8455,0.0001,200,0.1044
2.8649,0.0147,0.0000,0.0002,2.8499,0.0001,200,0.1045
2.8746,0.0150,0.0000,0.0004,2.8592,0.0000,200,0.1042
2.8927,0.0153,0.0000,0.0003,2.8769,0.0000,200,0.1038
2.8990,0.0154,0.0000,0.0003,2.8832,0.0001,200,0.1038
2.9018,0.0146,0.0000,0.0004,2.8867,0.0000,200,0.1046
4.3504,0.0152,0.0000,0.0003,4.3345,0.0001,200,0.1037
5.5815,0.0148,0.0000,0.0004,5.5653,0.0001,200,0.1035
2.7062,0.0062,0.0000,0.0001,2.6997,0.0001,200,2.9788
5.5815,0.0154,0.0000,0.0004,5.5654,0.0003,200,0.1038
2.7159,0.0093,0.0000,0.0001,2.7064,0.0001,200,2.9694
2.7265,0.0058,0.0000,0.0001,2.7204,0.0001,200,2.9650
2.7567,0.0084,0.0000,0.0002,2.7481,0.0001,200,2.9508
2.7071,0.0079,0.0000,0.0001,2.6990,0.0001,200,3.0063
2.7097,0.0061,0.0000,0.0002,2.7033,0.0001,200,5.6853
2.7101,0.0065,0.0000,0.0002,2.7032,0.0001,200,5.6850
2.6882,0.0098,0.0000,0.0001,2.6782,0.0000,200,5.7134
3.9563,0.0097,0.0000,0.0002,3.9464,0.0000,200,4.4541
2.7254,0.0062,0.0000,0.0001,2.7188,0.0001,200,5.6850
2.7303,0.0061,0.0000,0.0002,2.7240,0.0001,200,5.6853
5.4129,0.0111,0.0000,0.0001,5.4016,0.0001,200,3.0028
5.4251,0.0059,0.0000,0.0001,5.4190,0.0001,200,2.9965
2.7204,0.0083,0.0000,0.0001,2.7119,0.0000,200,5.7075
2.8185,0.0064,0.0000,0.0001,2.8118,0.0001,200,8.3950
5.5221,0.0160,0.0000,0.0001,5.5058,0.0001,200,5.6915
2.8033,0.0052,0.0000,0.0001,2.7978,0.0001,200,8.4104
2.8121,0.0087,0.0000,0.0001,2.8031,0.0001,200,8.4016
2.8187,0.0064,0.0000,0.0001,2.8121,0.0001,200,8.3951
2.8156,0.0052,0.0000,0.0001,2.8102,0.0000,200,8.4104
2.8451,0.0104,0.0000,0.0001,2.8345,0.0001,200,8.4157
1.5350,0.0115,0.0000,0.0001,1.5231,0.0002,200,11.2138
4.3209,0.0131,0.0000,0.0001,4.3075,0.0001,200,8.4279
4.3273,0.0059,0.0000,0.0001,4.3211,0.0002,200,8.4216
1.5354,0.0079,0.0000,0.0001,1.5272,0.0002,200,11.2135
5.5628,0.0104,0.0000,0.0001,5.5521,0.0002,200,8.4157
4.0953,0.0116,0.0000,0.0001,4.0835,0.0001,200,11.2137
4.0955,0.0078,0.0000,0.0002,4.0874,0.0002,200,11.2136
4.0861,0.0349,0.0000,0.0001,4.0511,0.0001,200,11.2259
4.1029,0.0077,0.0000,0.0002,4.0949,0.0001,200,11.2136
2.5825,0.0138,0.0000,0.0001,2.5685,0.0001,200,12.7489
4.0751,0.0060,0.0000,0.0001,4.0689,0.0001,200,11.2608
2.6094,0.0139,0.0000,0.0002,2.5952,0.0001,200,12.7488
3.9940,0.2232,0.0000,0.0002,3.7704,0.0002,200,12.7488
4.4035,0.0138,0.0000,0.0001,4.3893,0.0001,200,12.7489
4.3820,0.0100,0.0000,0.0001,4.3718,0.0001,200,13.9785
3.0549,0.0076,0.0000,0.0001,3.0470,0.0001,200,15.3090
3.8869,0.0088,0.0000,0.0001,3.8779,0.0001,200,15.3166
3.8768,0.0072,0.0000,0.0001,3.8695,0.0001,200,15.3359
3.9221,0.0045,0.0000,0.0001,3.9174,0.0001,200,15.3314
3.9416,0.0132,0.0000,0.0001,3.9281,0.0001,200,15.3121
4.0519,0.0073,0.0000,0.0001,4.0443,0.0001,200,15.3091
5.9679,0.0108,0.0000,0.0001,5.9568,0.0001,200,17.1524
7.7621,0.0069,0.0000,0.0001,7.7548,0.0003,200,15.3582
4.0109,0.1052,0.0000,0.0001,3.9054,0.0001,200,19.2536
4.9007,0.0066,0.0000,0.0001,4.8938,0.0001,200,18.3639
4.9103,0.0032,0.0000,0.0001,4.9068,0.0001,200,18.3605
6.5387,0.0088,0.0000,0.0002,6.5296,0.0001,200,16.7428
4.0782,0.0877,0.0000,0.0002,3.9902,0.0000,200,19.2035
4.2373,0.1073,0.0000,0.0001,4.1298,0.0001,200,19.2537
7.9149,0.0955,0.0000,0.0001,7.8191,0.0002,200,19.2127
3.8820,0.2264,0.0000,0.0003,3.6552,0.0001,200,23.2644
7.7854,0.1051,0.0000,0.0003,7.6799,0.0001,200,19.3610
3.8820,0.2263,0.0000,0.0002,3.6554,0.0001,200,23.2646
4.0263,0.1442,0.0000,0.0001,3.8818,0.0001,200,23.1203
3.8849,0.2201,0.0000,0.0002,3.6645,0.0001,200,23.2707
4.0354,0.1443,0.0000,0.0001,3.8909,0.0001,200,23.1203
3.7348,0.1048,0.0000,0.0002,3.6296,0.0002,200,23.4910
4.1592,0.2495,0.0000,0.0001,3.9094,0.0001,200,23.2817
5.0653,0.3823,0.0000,0.0004,4.6825,0.0001,200,27.1466
8.9304,0.2093,0.0000,0.0003,8.7207,0.0001,200,23.2815
5.0654,0.3825,0.0000,0.0001,4.6827,0.0001,200,27.1466
5.2330,0.3131,0.0000,0.0002,4.9195,0.0001,200,27.1277
5.3070,0.3824,0.0000,0.0001,4.9243,0.0002,200,27.1464
14.1852,0.2869,0.0000,0.0001,13.8980,0.0001,200,27.4408
14.4705,0.3734,0.0000,0.0001,14.0968,0.0001,200,27.1556
14.4989,0.3824,0.0000,0.0001,14.1161,0.0001,200,27.1465
14.4668,0.3254,0.0000,0.0003,14.1409,0.0002,200,27.2258
14.5467,0.3734,0.0000,0.0004,14.1728,0.0001,200,27.1556
9.5210,0.0300,0.0000,0.0003,9.4906,0.0001,200,32.2119
16.9271,0.0299,0.0000,0.0003,16.8966,0.0002,200,32.2119
18.3893,0.0181,0.0000,0.0001,18.3709,0.0001,200,32.4535
18.4822,0.0152,0.0000,0.0001,18.4667,0.0001,200,32.3606
18.6309,0.0300,0.0000,0.0003,18.6006,0.0001,200,32.2120
12.8016,0.0072,0.0000,0.0001,12.7937,0.0006,200,41.6453
