time,total,idle,mem_total,mem_free,26747/cpu,26747/rss
1005.57,1400631,1246861,3887864,1416664,2718,179932
2006.36,1401028,1247195,3887864,1406052,2722,179932
3007.1,1401424,1247588,3887864,1406184,2723,179936
4007.79,1401820,1247955,3887864,1397000,2728,179936
5008.72,1402219,1248332,3887864,1398020,2729,179936
6009.53,1402606,1248640,3887864,1395456,2731,179936
7010.42,1402998,1248936,3887864,1380468,2733,179936
8011.2,1403393,1249244,3887864,1379032,2735,179936
9011.98,1403784,1249546,3887864,1369080,2736,179936
10012.83,1404177,1249838,3887864,1358756,2738,179936
11013.95,1404564,1250126,3887864,1345008,2742,180060
12015.03,1404954,1250411,3887864,1338004,2743,180060
13016.07,1405345,1250707,3887864,1322608,2746,180060
14017.46,1405739,1251000,3887864,1305016,2749,180064
15018.2,1406129,1251303,3887864,1300720,2751,180064
16018.9,1406529,1251696,3887864,1299212,2752,180064
18629.36,1407552,1252573,3887864,1258640,2759,180064
19630.54,1407946,1252815,3887864,1207572,2762,180064
20631.39,1408336,1253069,3887864,1171156,2764,180064
21632.65,1408728,1253327,3887864,1129408,2766,180064
22633.51,1409115,1253563,3887864,1083472,2769,180064
23634.36,1409508,1253815,3887864,1054004,2770,180064
24635.22,1409907,1254063,3887864,1010356,2774,180064
25636.46,1410299,1254283,3887864,963484,2781,180712
26637.14,1410691,1254543,3887864,914136,2782,180712
28012.28,1411238,1255081,3887864,919012,2784,180712
29013.19,1411627,1255402,3887864,882448,2791,180712
30014.38,1412023,1255712,3887864,871588,2799,180716
31015.12,1412412,1256019,3887864,858336,2803,180716
32016.0,1412805,1256348,3887864,828532,2806,180716
33017.68,1413197,1256553,3887864,763168,2809,180720
34022.49,1413598,1256555,3887864,748676,2816,180724
35024.05,1413998,1256565,3887864,736452,2820,180724
36025.7,1414396,1256567,3887864,735344,2823,180724
37027.43,1414797,1256568,3887864,693236,2827,180724
38028.72,1415196,1256569,3887864,689652,2829,180724
39029.91,1415594,1256571,3887864,686508,2833,180724
40031.53,1415994,1256572,3887864,684492,2837,180724
41032.93,1416394,1256574,3887864,675220,2843,180724
42034.19,1416793,1256574,3887864,666096,2846,180728
43035.65,1417192,1256575,3887864,650484,2849,180728
44039.41,1417592,1256575,3887864,630524,2853,180728
45040.96,1417990,1256576,3887864,625256,2858,180728
46042.15,1418387,1256580,3887864,613124,2861,180728
47043.78,1418789,1256581,3887864,608176,2864,180728
48047.65,1419189,1256581,3887864,602728,2868,180736
49049.21,1419586,1256582,3887864,597212,2871,180736
50050.67,1419986,1256583,3887864,590800,2876,180736
51052.63,1420388,1256583,3887864,591924,2879,180736
52053.81,1420787,1256583,3887864,586396,2883,180736
53055.53,1421186,1256584,3887864,568760,2886,180736
54057.26,1421582,1256851,3887864,406636,2889,180736
55058.74,1421977,1257132,3887864,399812,2901,180736
56059.66,1422375,1257418,3887864,384104,2905,180736
57060.31,1422776,1257812,3887864,387076,2906,180736
58061.09,1423175,1258208,3887864,393504,2908,180736
59062.58,1423573,1258602,3887864,414984,2910,180736
60063.75,1423973,1258980,3887864,421588,2916,180736
61065.24,1424369,1259367,3887864,428608,2920,180736
62066.9,1424768,1259743,3887864,436364,2924,180736
63068.54,1425167,1260136,3887864,449212,2926,180736
64070.17,1425566,1260525,3887864,456668,2930,180736
65071.82,1425961,1260907,3887864,461824,2939,180736
66072.74,1426355,1261276,3887864,473876,2942,180736
67073.43,1426754,1261673,3887864,475732,2943,180736
68074.09,1427156,1262069,3887864,484024,2945,180736
69074.76,1427556,1262463,3887864,485880,2946,180736
70075.42,1427952,1262855,3887864,487164,2948,180736
71076.71,1428352,1263248,3887864,488544,2952,180740
72078.21,1428747,1263629,3887864,490292,2955,180740
73079.7,1429146,1264015,3887864,494220,2957,180740
74081.13,1429543,1264399,3887864,495928,2962,180740
75082.72,1429938,1264780,3887864,496016,2967,180740
76084.2,1430336,1265160,3887864,492812,2971,180740
77085.1,1430734,1265535,3887864,494968,2972,180740
78085.8,1431135,1265932,3887864,494684,2974,180740
79086.63,1431537,1266327,3887864,495112,2976,180740
80087.34,1431933,1266721,3887864,496476,2978,180748
81088.11,1432334,1267118,3887864,497380,2979,180748
82089.61,1432730,1267504,3887864,498516,2983,180748
83091.21,1433130,1267899,3887864,499120,2985,180748
84092.21,1433526,1268277,3887864,497944,2990,180748
85092.94,1433925,1268664,3887864,498064,2997,180756
86093.7,1434325,1269058,3887864,498380,2998,180756
87094.44,1434723,1269439,3887864,495232,3000,180756
88095.07,1435124,1269835,3887864,498632,3001,180756
89096.64,1435522,1270228,3887864,497980,3003,180756
90097.95,1435919,1270609,3887864,498320,3010,180756
91099.58,1436314,1270986,3887864,498044,3015,180756
92101.28,1436713,1271366,3887864,498596,3021,180756
93102.87,1437112,1271759,3887864,498052,3024,180756
94104.44,1437509,1272146,3887864,498692,3029,180756
95105.29,1437908,1272527,3887864,500056,3036,180756
96105.96,1438307,1272923,3887864,500952,3038,180756
97106.65,1438705,1273304,3887864,501220,3038,180756
98107.29,1439105,1273700,3887864,500424,3040,180756
99108.01,1439504,1274096,3887864,501792,3042,180756
100109.14,1439902,1274482,3887864,502160,3046,180760
101110.75,1440298,1274863,3887864,502112,3053,180760
102112.4,1440696,1275251,3887864,502248,3056,180760
103113.83,1441092,1275638,3887864,502744,3061,180760
104115.37,1441490,1276021,3887864,502772,3065,180760
105116.89,1441886,1276405,3887864,502864,3070,180764
106118.57,1442284,1276794,3887864,502960,3074,180764
107119.43,1442682,1277164,3887864,497508,3076,180764
108120.19,1443081,1277560,3887864,497284,3077,180764
109120.91,1443481,1277956,3887864,497284,3079,180764
110121.6,1443881,1278350,3887864,497836,3080,180764
111122.37,1444280,1278746,3887864,498744,3082,180764
112123.99,1444679,1279139,3887864,498492,3084,180764
113125.82,1445077,1279534,3887864,499360,3086,180764
114127.66,1445474,1279925,3887864,500204,3090,180764
115129.67,1445869,1280300,3887864,500564,3106,179932
116131.56,1446266,1280686,3887864,501312,3110,179932
117133.03,1446667,1281065,3887864,496116,3114,179932
118133.95,1447064,1281448,3887864,499256,3115,179932
119134.84,1447462,1281842,3887864,498840,3117,179932
120135.66,1447860,1282233,3887864,499208,3120,179932
121136.37,1448262,1282630,3887864,499628,3121,179932
122137.12,1448658,1283022,3887864,499896,3123,179932
123138.66,1449056,1283416,3887864,500404,3125,179932
124140.4,1449454,1283804,3887864,500224,3129,179932
125142.19,1449847,1284186,3887864,500824,3137,179932
126143.96,1450246,1284578,3887864,501256,3140,179932
127145.64,1450645,1284972,3887864,502000,3142,179932
128146.57,1451041,1285343,3887864,504816,3145,179936
129147.29,1451441,1285739,3887864,504868,3145,179936
130148.06,1451841,1286134,3887864,505124,3148,179936
131148.77,1452239,1286527,3887864,504872,3151,179940
132149.64,1452636,1286921,3887864,504396,3152,179940
133151.29,1453035,1287317,3887864,504396,3153,179940
134152.95,1453433,1287707,3887864,504684,3157,179940
135154.61,1453828,1288091,3887864,505440,3162,179940
136156.25,1454228,1288478,3887864,505188,3167,179940
137157.94,1454625,1288871,3887864,504940,3169,179940
138158.86,1455022,1289241,3887864,501664,3172,179940
139159.59,1455418,1289636,3887864,501664,3174,179940
140160.37,1455818,1290031,3887864,502112,3176,179940
141161.12,1456219,1290428,3887864,502788,3177,179940
142161.85,1456618,1290823,3887864,502952,3179,179940
143163.4,1457017,1291219,3887864,502828,3180,179940
144165.07,1457414,1291609,3887864,502848,3184,179940
145166.89,1457810,1291984,3887864,502260,3200,179944
146168.65,1458207,1292365,3887864,502880,3205,180128
147170.16,1458607,1292755,3887864,503400,3207,180128
148171.04,1459003,1293123,3887864,501448,3211,180128
149171.77,1459404,1293517,3887864,501944,3213,180128
150172.58,1459803,1293908,3887864,501704,3216,180128
151173.33,1460201,1294298,3887864,502056,3219,180128
152174.04,1460598,1294689,3887864,502056,3220,180128
