response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.6272,0.0127,0.0000,0.0003,1.6140,0.0002,200,0.1034
1.6274,0.0129,0.0000,0.0004,1.6139,0.0001,200,0.1032
1.6273,0.0129,0.0000,0.0001,1.6141,0.0001,200,0.1035
1.6275,0.0130,0.0000,0.0002,1.6141,0.0002,200,0.1033
1.7076,0.0132,0.0000,0.0002,1.6939,0.0001,200,0.1028
1.7070,0.0129,0.0000,0.0002,1.6937,0.0001,200,0.1034
1.7147,0.0133,0.0000,0.0003,1.7010,0.0001,200,0.1029
1.4331,0.0059,0.0000,0.0001,1.4271,0.0001,200,1.7306
3.0613,0.0135,0.0000,0.0003,3.0472,0.0002,200,0.1026
3.0612,0.0134,0.0000,0.0003,3.0472,0.0001,200,0.1027
3.0608,0.0129,0.0000,0.0002,3.0473,0.0004,200,0.1032
1.4335,0.0056,0.0000,0.0001,1.4275,0.0002,200,1.7307
1.4334,0.0056,0.0000,0.0001,1.4275,0.0002,200,1.7308
1.4415,0.0072,0.0000,0.0001,1.4340,0.0002,200,1.8104
1.4613,0.0071,0.0000,0.0002,1.4539,0.0001,200,1.8104
2.7004,0.0057,0.0000,0.0001,2.6943,0.0002,200,1.7307
1.4365,0.0067,0.0000,0.0002,1.4295,0.0001,200,3.1639
1.4363,0.0064,0.0000,0.0001,1.4296,0.0002,200,3.1642
1.4366,0.0067,0.0000,0.0001,1.4297,0.0001,200,3.1639
1.7407,0.0064,0.0000,0.0002,1.7339,0.0001,200,3.1641
1.6529,0.0047,0.0000,0.0001,1.6479,0.0001,200,3.2519
3.0873,0.0146,0.0000,0.0001,3.0725,0.0001,200,1.8176
1.7408,0.0065,0.0000,0.0002,1.7340,0.0001,200,3.1641
1.6333,0.0035,0.0000,0.0001,1.6296,0.0000,200,3.2717
1.5884,0.0050,0.0000,0.0002,1.5831,0.0001,200,4.4311
2.8598,0.0068,0.0000,0.0002,2.8527,0.0001,200,3.1638
1.4326,0.0065,0.0000,0.0001,1.4258,0.0001,200,4.6005
1.4729,0.0066,0.0000,0.0001,1.4661,0.0001,200,4.6004
1.6390,0.0108,0.0000,0.0002,1.6278,0.0002,200,4.9049
1.6391,0.0109,0.0000,0.0002,1.6278,0.0002,200,4.9048
1.6443,0.0108,0.0000,0.0002,1.6332,0.0001,200,4.9050
2.8665,0.0064,0.0000,0.0001,2.8598,0.0001,200,4.6005
1.4476,0.0049,0.0000,0.0001,1.4424,0.0001,200,6.0195
1.4435,0.0094,0.0000,0.0001,1.4338,0.0001,200,6.0236
1.4374,0.0134,0.0000,0.0001,1.4238,0.0001,200,6.0331
2.8667,0.0108,0.0000,0.0002,2.8556,0.0001,200,4.9049
2.8668,0.0109,0.0000,0.0002,2.8555,0.0002,200,4.9048
1.5348,0.0067,0.0000,0.0001,1.5278,0.0001,200,6.5439
1.5348,0.0066,0.0000,0.0001,1.5280,0.0001,200,6.5439
1.5572,0.0068,0.0000,0.0001,1.5502,0.0001,200,6.5493
1.4313,0.0103,0.0000,0.0001,1.4207,0.0002,200,7.4671
2.8250,0.0066,0.0000,0.0001,2.8181,0.0002,200,6.0734
1.4314,0.0103,0.0000,0.0002,1.4207,0.0002,200,7.4670
1.6392,0.0056,0.0000,0.0001,1.6332,0.0001,200,7.7716
1.9461,0.0058,0.0000,0.0001,1.9399,0.0003,200,7.7716
1.6390,0.0047,0.0000,0.0001,1.6340,0.0001,200,8.0787
2.4555,0.0103,0.0000,0.0002,2.4449,0.0001,200,7.4671
2.4522,0.0068,0.0000,0.0002,2.4451,0.0001,200,7.4705
1.4340,0.0061,0.0000,0.0002,1.4276,0.0002,200,8.8984
1.4341,0.0061,0.0000,0.0002,1.4275,0.0002,200,8.8983
1.4340,0.0061,0.0000,0.0002,1.4275,0.0002,200,8.8985
2.7585,0.0046,0.0000,0.0002,2.7536,0.0001,200,8.0787
2.7374,0.0096,0.0000,0.0001,2.7276,0.0001,200,8.1065
1.5355,0.0082,0.0000,0.0002,1.5269,0.0001,200,9.7177
1.8424,0.0039,0.0000,0.0001,1.8381,0.0001,200,9.4108
1.5444,0.0084,0.0000,0.0001,1.5359,0.0000,200,9.7177
1.7410,0.0077,0.0000,0.0002,1.7329,0.0001,200,9.9226
1.7410,0.0077,0.0000,0.0001,1.7329,0.0002,200,9.9227
1.4063,0.0049,0.0000,0.0002,1.4011,0.0001,200,10.3324
1.4113,0.0050,0.0000,0.0002,1.4059,0.0001,200,10.3324
2.3548,0.0041,0.0000,0.0002,2.3503,0.0002,200,10.3324
1.8433,0.0096,0.0000,0.0001,1.8334,0.0001,200,10.8439
1.8500,0.0065,0.0000,0.0002,1.8432,0.0001,200,10.8372
1.4539,0.0088,0.0000,0.0001,1.4449,0.0001,200,11.2532
1.5329,0.0088,0.0000,0.0002,1.5238,0.0002,200,11.2532
