response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.8558,0.0127,0.0000,0.0002,2.8423,0.0004,200,0.1031
2.8553,0.0134,0.0000,0.0002,2.8413,0.0004,200,0.1037
2.8553,0.0121,0.0000,0.0002,2.8424,0.0005,200,0.1038
2.8553,0.0132,0.0000,0.0002,2.8413,0.0005,200,0.1039
2.8600,0.0135,0.0000,0.0002,2.8462,0.0001,200,0.1037
2.8743,0.0136,0.0000,0.0004,2.8601,0.0000,200,0.1033
2.8744,0.0126,0.0000,0.0002,2.8614,0.0000,200,0.1032
5.5184,0.0132,0.0000,0.0002,5.5047,0.0002,200,0.1039
2.6633,0.0045,0.0000,0.0001,2.6585,0.0001,200,2.9590
2.6635,0.0046,0.0000,0.0002,2.6585,0.0002,200,2.9589
5.5883,0.0132,0.0000,0.0004,5.5746,0.0002,200,0.1039
5.5972,0.0135,0.0000,0.0003,5.5831,0.0001,200,0.1034
2.7647,0.0044,0.0000,0.0001,2.7600,0.0001,200,2.9591
2.7666,0.0137,0.0000,0.0001,2.7527,0.0001,200,2.9637
4.1800,0.0059,0.0000,0.0001,4.1739,0.0001,200,2.9776
4.1985,0.0045,0.0000,0.0001,4.1938,0.0002,200,2.9592
1.5352,0.0057,0.0000,0.0001,1.5292,0.0002,200,5.6225
4.1803,0.0060,0.0000,0.0001,4.1739,0.0003,200,2.9776
2.6043,0.0060,0.0000,0.0001,2.5981,0.0000,200,5.6223
2.6044,0.0061,0.0000,0.0001,2.5981,0.0001,200,5.6223
2.7901,0.0075,0.0000,0.0001,2.7822,0.0002,200,5.7006
4.1281,0.0079,0.0000,0.0002,4.1198,0.0002,200,5.6922
2.6627,0.0045,0.0000,0.0001,2.6580,0.0001,200,7.1576
2.6624,0.0043,0.0000,0.0001,2.6579,0.0001,200,7.1579
2.6626,0.0042,0.0000,0.0001,2.6579,0.0001,200,7.1577
4.0967,0.0055,0.0000,0.0001,4.0908,0.0002,200,5.7238
4.0902,0.0081,0.0000,0.0001,4.0817,0.0002,200,5.7303
2.7350,0.0044,0.0000,0.0002,2.7303,0.0001,200,7.1577
4.2708,0.0058,0.0000,0.0001,4.2646,0.0002,200,8.2266
4.0084,0.0044,0.0000,0.0002,4.0036,0.0001,200,8.4907
2.6851,0.0044,0.0000,0.0002,2.6805,0.0001,200,9.8203
2.6224,0.0060,0.0000,0.0002,2.6161,0.0001,200,9.8927
2.6975,0.0044,0.0000,0.0001,2.6929,0.0001,200,9.8204
4.3031,0.0058,0.0000,0.0001,4.2971,0.0001,200,8.2266
2.7173,0.0042,0.0000,0.0002,2.7128,0.0001,200,9.8204
2.6275,0.0073,0.0000,0.0001,2.6200,0.0001,200,12.5179
5.3251,0.0044,0.0000,0.0002,5.3203,0.0001,200,9.8203
5.3251,0.0042,0.0000,0.0003,5.3204,0.0001,200,9.8203
5.3251,0.0045,0.0000,0.0001,5.3202,0.0003,200,9.8205
2.6482,0.0078,0.0000,0.0001,2.6400,0.0002,200,12.4974
2.6402,0.0097,0.0000,0.0001,2.6302,0.0001,200,12.5054
2.6465,0.0062,0.0000,0.0002,2.6401,0.0001,200,12.4991
4.3368,0.0079,0.0000,0.0001,4.3287,0.0002,200,12.5297
5.7020,0.0102,0.0000,0.0001,5.6917,0.0001,200,12.5151
5.6794,0.0069,0.0000,0.0001,5.6722,0.0002,200,12.5377
3.0897,0.0059,0.0000,0.0002,3.0834,0.0001,200,15.1454
3.0895,0.0058,0.0000,0.0002,3.0835,0.0001,200,15.1456
3.0915,0.0059,0.0000,0.0002,3.0853,0.0001,200,15.1454
3.1100,0.0058,0.0000,0.0003,3.1039,0.0000,200,15.1456
5.9502,0.0058,0.0000,0.0002,5.9441,0.0001,200,15.1456
4.8669,0.0052,0.0000,0.0001,4.8613,0.0001,200,16.8665
3.5012,0.0054,0.0000,0.0001,3.4955,0.0001,200,18.2556
6.6291,0.0060,0.0000,0.0001,6.6228,0.0002,200,15.1456
3.5576,0.0059,0.0000,0.0002,3.5514,0.0001,200,18.2171
3.5576,0.0059,0.0000,0.0002,3.5513,0.0001,200,18.2172
6.6294,0.0061,0.0000,0.0001,6.6229,0.0002,200,15.1454
4.4355,0.0066,0.0000,0.0001,4.4285,0.0001,200,18.2351
5.0161,0.0067,0.0000,0.0001,5.0091,0.0002,200,18.2351
5.0754,0.0050,0.0000,0.0001,5.0702,0.0001,200,18.2369
2.4173,0.0220,0.0000,0.0001,2.3950,0.0001,200,21.0959
3.1226,0.0234,0.0000,0.0001,3.0989,0.0001,200,21.7334
6.3934,0.0178,0.0000,0.0001,6.3753,0.0002,502,21.7568
18.8717,0.0365,0.0000,0.0001,18.8347,0.0003,200,21.7748
19.9312,0.0117,0.0000,0.0001,19.9191,0.0002,200,60.6478
18.5658,0.0140,0.0000,0.0002,18.5516,0.0001,200,81.7765
19.7633,0.0070,0.0000,0.0001,19.7561,0.0001,200,80.5790
18.7078,0.0141,0.0000,0.0001,18.6934,0.0002,200,81.7765
19.8972,0.0139,0.0000,0.0001,19.8830,0.0001,200,81.7766
17.5326,0.0109,0.0000,0.0002,17.5213,0.0001,200,84.8583
19.0766,0.0079,0.0000,0.0001,19.0685,0.0001,200,83.3143
19.7177,0.0120,0.0000,0.0001,19.7054,0.0002,200,82.6732
19.6482,0.0075,0.0000,0.0003,19.6402,0.0001,200,83.2543
19.6944,0.0126,0.0000,0.0001,19.6815,0.0001,200,83.5156
15.7742,0.0095,0.0000,0.0002,15.7642,0.0002,200,88.1515

