time,total,idle,mem_total,mem_free,2028/cpu,2028/rss,2030/cpu,2030/rss,2054/cpu,2054/rss,2056/cpu,2056/rss,2938/cpu,2938/rss,2954/cpu,2954/rss,44856/cpu,44856/rss
1006.34,2771193,2466178,3887864,454860,30532,129004,13980,72120,73554,688648,14791,132748,2978,94668,618,42780,237,51260
2008.06,2771586,2466519,3887864,450548,30536,129004,13981,72120,73563,688648,14798,130000,2978,94668,618,42780,237,51260
3015.17,2771980,2466856,3887864,450548,30546,129772,13985,72120,73580,688652,14803,130000,2980,94668,618,42780,238,51260
4017.13,2772378,2467198,3887864,461924,30555,130004,13986,72120,73590,688652,14804,130000,2981,94668,618,42780,238,51260
5018.98,2772777,2467568,3887864,462624,30558,130004,13987,72120,73595,688652,14806,130000,2981,94668,618,42780,238,51260
6023.87,2773173,2467773,3887864,470268,30564,130028,13989,72120,73722,688676,14809,130000,2982,94668,619,42780,238,51260
7025.87,2773569,2468076,3887864,470360,30568,130028,13991,72124,73803,688724,14810,130000,2982,94668,619,42780,238,51260
8037.26,2773967,2468445,3887864,470192,30572,130028,13992,72128,73812,688724,14813,130000,2982,94668,619,42780,238,51260
9039.75,2774364,2468785,3887864,475676,30578,130028,13993,72128,73822,688724,14814,130000,2982,94668,619,42780,238,51260
10042.4,2774758,2469154,3887864,475548,30581,130028,13995,72132,73831,688724,14816,130000,2983,94668,619,42780,239,51260
11044.32,2775152,2469493,3887864,465600,30586,130028,13997,72136,73841,688724,14818,130000,2983,94668,619,42780,239,51260
12046.84,2775551,2469869,3887864,465120,30588,130028,13998,72136,73846,688724,14820,130000,2983,94668,619,42780,239,51260
13048.79,2775944,2470215,3887864,467388,30592,130028,14000,72140,73854,688724,14821,130000,2983,94668,619,42780,239,51260
14054.79,2776336,2470570,3887864,468560,30598,130028,14004,72156,73865,688724,14824,130000,2984,94668,619,42780,240,51260
15057.19,2776730,2470884,3887864,459372,30604,130028,14008,72156,73882,688724,14828,130000,2985,94668,619,42780,240,51260
16059.11,2777129,2471257,3887864,459828,30608,130028,14009,72172,73888,688724,14830,130000,2985,94668,620,42780,240,51260
17061.47,2777528,2471609,3887864,460512,30611,130028,14011,72192,73896,688724,14831,130000,2985,94668,620,42780,240,51260
18063.4,2777927,2471983,3887864,469552,30614,130028,14012,72208,73903,688724,14833,130000,2985,94668,620,42780,240,51260
19065.29,2778324,2472360,3887864,471072,30618,130028,14013,72208,73910,688728,14834,130000,2985,94668,620,42780,240,51260
20068.89,2778718,2472693,3887864,476548,30624,130028,14015,72208,73924,688764,14837,130000,2987,94668,620,42780,241,51260
21073.46,2779106,2473038,3887864,477124,30633,130028,14018,72208,73940,688832,14839,130000,2987,94668,620,42780,241,51260
22076.32,2779501,2473358,3887864,481904,30638,130028,14021,72208,73954,688888,14841,130000,2988,94668,620,42780,242,51280
23078.31,2779901,2473736,3887864,481408,30642,130028,14024,72208,73959,688936,14844,130000,2989,94668,620,42780,242,51280
24080.18,2780298,2474080,3887864,475508,30645,130028,14025,72212,73970,689056,14847,130000,2989,94668,620,42780,242,51280
25082.09,2780695,2474452,3887864,475212,30648,130028,14026,72236,73974,689124,14849,130000,2989,94668,620,42780,242,51280
26084.52,2781091,2474791,3887864,452764,30652,130028,14028,72236,73985,689260,14851,130000,2989,94668,620,42780,243,51284
27088.18,2781484,2475150,3887864,456204,30658,130028,14029,72236,73995,689384,14853,130000,2989,94668,620,42780,243,51284
28091.13,2781879,2475495,3887864,450808,30664,130028,14032,72248,74008,689524,14854,130000,2991,94668,620,42780,243,51284
29093.03,2782277,2475853,3887864,464236,30668,130028,14035,72268,74018,689628,14856,130000,2991,94668,620,42780,243,51284
30095.43,2782666,2476219,3887864,465836,30673,130028,14036,72268,74028,689816,14859,130000,2991,94668,620,42780,243,51284
31097.3,2783060,2476563,3887864,465912,30678,130028,14037,72268,74037,690048,14860,130000,2992,94668,620,42780,243,51284
32099.23,2783454,2476918,3887864,466596,30681,130028,14038,72268,74044,690196,14862,130000,2992,94668,620,42780,244,51308
33101.07,2783845,2477257,3887864,470152,30686,130028,14042,72268,74053,690308,14865,130000,2992,94668,620,42780,244,51308
34103.26,2784243,2477633,3887864,470204,30689,130028,14043,72268,74060,690388,14866,130000,2992,94668,620,42780,244,51316
35105.13,2784637,2477977,3887864,471396,30691,130028,14044,72268,74068,690524,14868,130000,2993,94668,620,42780,244,51316
36107.16,2785034,2478338,3887864,471144,30696,130028,14045,72268,74077,690652,14870,130000,2993,94668,621,42780,244,51316
37109.12,2785430,2478685,3887864,476136,30701,130028,14047,72268,74088,690980,14870,130000,2994,94668,621,42780,244,51316
38113.21,2785824,2479048,3887864,475904,30708,130028,14049,72268,74099,691112,14874,130000,2994,94668,621,42780,245,51316
39117.36,2786219,2479391,3887864,473460,30718,130028,14052,72268,74112,691244,14877,130000,2994,94668,621,42780,245,51316
40119.42,2786612,2479735,3887864,475560,30722,130028,14053,72268,74122,691424,14878,130000,2995,94668,621,42780,245,51320
41121.28,2787008,2480114,3887864,475560,30725,130028,14054,72268,74127,691488,14879,130000,2995,94668,621,42780,246,51328
42124.68,2787403,2480454,3887864,475352,30730,130028,14055,72268,74137,691656,14881,130000,2996,94668,621,42780,246,51344
43127.12,2787801,2480824,3887864,474864,30734,130028,14058,72268,74145,691824,14883,130000,2996,94668,621,42780,246,51348
44129.2,2788200,2481174,3887864,469292,30737,130028,14059,72268,74153,691980,14885,130000,2996,94668,621,42780,246,51348
45131.48,2788589,2481515,3887864,469292,30742,130028,14062,72268,74167,692244,14889,130004,2996,94668,621,42780,246,51348
46133.33,2788989,2481856,3887864,459492,30746,130028,14064,72268,74175,692372,14890,130004,2997,94668,621,42780,247,51044
47135.99,2789388,2482233,3887864,460056,30749,130028,14065,72268,74182,692476,14892,130004,2997,94668,621,42780,247,51044
48138.19,2789786,2482591,3887864,447836,30754,130028,14067,72268,74190,692540,14893,130004,2997,94668,621,42780,247,51044
49140.19,2790180,2482955,3887864,459212,30758,130028,14068,72280,74199,692736,14894,130004,2998,94668,621,42780,248,51044
50143.9,2790574,2483317,3887864,460440,30763,130028,14070,72332,74209,692872,14897,130004,2999,94668,621,42780,248,51044
51145.89,2790969,2483653,3887864,471812,30768,130028,14071,72332,74220,693036,14899,130004,2999,94668,621,42780,248,51044
52147.74,2791363,2484019,3887864,471572,30771,130028,14073,72332,74229,693340,14901,130004,3000,94668,621,42780,248,51044
53149.65,2791762,2484362,3887864,474852,30776,130028,14075,72332,74240,693508,14903,130004,3000,94668,621,42780,249,51044
54151.5,2792159,2484734,3887864,474612,30780,130028,14077,72332,74248,693584,14906,130004,3000,94668,621,42780,249,51044
55154.29,2792553,2485073,3887864,474128,30783,130028,14078,72340,74257,693756,14908,130004,3001,94668,621,42780,249,51044
56158.08,2792948,2485417,3887864,473752,30789,130028,14082,72340,74266,693848,14911,130004,3001,94668,622,42780,249,51044
57160.1,2793347,2485756,3887864,468956,30794,130028,14085,72348,74279,694060,14913,130004,3001,94668,622,42780,249,51044
58162.03,2793749,2486131,3887864,468852,30799,130028,14087,72372,74287,694260,14913,130004,3002,94668,622,42780,249,51044
59164.1,2794143,2486489,3887864,464272,30804,130028,14088,72376,74295,694380,14916,130004,3002,94668,622,42780,250,51044
60166.09,2794542,2486825,3887864,469684,30808,130028,14089,72376,74306,694640,14917,130004,3002,94668,622,42780,250,51044
61168.01,2794940,2487196,3887864,469736,30812,130028,14091,72376,74315,694816,14919,130004,3002,94668,622,42780,250,51048
62169.91,2795330,2487512,3887864,475740,30816,130028,14092,72376,74326,694992,14921,130004,3004,94668,622,42780,250,51048
63171.78,2795723,2487873,3887864,475236,30821,130028,14095,72384,74336,695268,14923,130004,3004,94668,622,42780,250,51048
64173.65,2796124,2488219,3887864,471672,30826,130028,14096,72392,74345,695476,14925,130004,3004,94668,622,42780,250,51048
65175.5,2796518,2488589,3887864,471672,30829,130028,14098,72396,74351,695580,14926,130004,3004,94668,622,42780,251,51048
66177.36,2796908,2488924,3887864,469156,30833,130028,14099,72396,74363,695952,14928,130004,3005,94668,623,42780,251,51048
67181.95,2797307,2489287,3887864,469552,30839,130028,14101,72396,74373,696188,14931,130004,3005,94668,623,42780,251,51048
68183.97,2797700,2489624,3887864,463108,30845,130028,14104,72396,74386,696340,14933,130004,3006,94668,623,42780,251,51048
69186.06,2798096,2489980,3887864,473068,30851,130028,14106,72428,74397,696572,14935,130004,3006,94668,623,42780,252,51048
70187.92,2798495,2490353,3887864,472580,30856,130028,14107,72444,74404,696752,14936,130004,3006,94668,623,42780,252,51048
71189.87,2798891,2490698,3887864,467152,30860,130028,14108,72444,74414,696988,14938,130004,3006,94668,623,42780,252,51056
72191.8,2799289,2491071,3887864,468156,30863,130028,14110,72448,74420,697052,14939,130004,3006,94668,623,42780,252,51056
73195.98,2799682,2491412,3887864,459296,30868,130028,14114,72528,74430,697364,14942,130004,3007,94668,623,42780,252,51056
74199.93,2800071,2491766,3887864,460028,30875,130028,14118,72528,74441,697452,14945,130004,3008,94668,623,42780,253,51056
75201.98,2800463,2492087,3887864,468576,30880,130028,14119,72528,74455,697780,14947,130004,3008,94668,623,42780,253,51056
76203.85,2800860,2492453,3887864,468840,30884,130028,14121,72528,74462,697924,14949,130004,3008,94668,623,42780,253,51056
77205.7,2801258,2492807,3887864,467000,30888,130028,14123,72528,74470,698200,14950,130004,3009,94668,623,42780,253,51056
78207.66,2801657,2493187,3887864,466748,30891,130028,14123,72528,74475,698440,14952,130004,3009,94668,623,42780,253,51056
79211.45,2802054,2493545,3887864,455436,30896,130028,14125,72528,74483,698736,14953,130004,3009,94668,623,42780,253,51056
80215.26,2802446,2493880,3887864,456236,30903,130028,14129,72528,74501,698960,14956,130004,3010,94668,623,42780,254,51056
81219.5,2802835,2494229,3887864,457556,30909,130028,14132,72528,74513,699336,14958,130004,3011,94668,623,42780,254,51056
82221.54,2803230,2494559,3887864,466660,30915,130028,14134,72528,74526,699820,14960,130004,3011,94668,623,42780,254,51056
83223.41,2803626,2494934,3887864,467020,30918,130028,14136,72528,74533,700108,14963,130004,3011,94668,623,42780,255,51056
84225.23,2804021,2495283,3887864,461328,30920,130028,14138,72528,74542,700476,14965,130004,3011,94668,623,42780,255,51056
85227.38,2804417,2495649,3887864,462312,30924,130028,14140,72528,74549,700756,14967,130004,3011,94668,625,42784,255,51056
86229.48,2804810,2495991,3887864,470188,30928,130028,14142,72528,74557,701048,14969,130004,3012,94668,625,42608,255,51056
87234.53,2805206,2496349,3887864,470344,30934,130028,14143,72528,74568,701344,14971,130004,3012,94668,625,42612,256,51056
88236.92,2805602,2496668,3887864,467664,30941,130028,14147,72528,74585,701880,14973,130004,3014,94668,625,42612,256,51056
89239.15,2806003,2497042,3887864,470020,30946,130028,14148,72528,74592,702300,14975,130004,3014,94668,625,42612,256,51056
90243.51,2806397,2497410,3887864,469772,30950,130028,14149,72528,74602,702880,14977,130004,3014,94668,625,42612,256,51056
91245.39,2806789,2497753,3887864,463128,30955,130028,14151,72528,74613,703408,14979,130004,3015,94668,625,42612,256,51056
92247.41,2807187,2498127,3887864,463380,30958,130028,14153,72528,74619,703616,14981,130004,3015,94668,625,42612,256,51056
93251.59,2807577,2498447,3887864,452216,30963,130028,14156,72532,74630,704096,14984,130004,3016,94668,625,42612,256,51056
94255.3,2807964,2498792,3887864,452552,30968,130028,14158,72532,74639,704272,14987,130004,3016,94668,625,42612,257,51056
95257.26,2808360,2499104,3887864,456124,30975,130028,14161,72532,74654,704848,14990,130004,3016,94668,625,42612,258,51056
96259.19,2808757,2499474,3887864,457968,30978,130028,14163,72532,74663,705288,14992,130004,3017,94668,625,42612,258,51056
97261.05,2809155,2499818,3887864,440412,30982,130028,14164,72532,74674,706080,14994,130004,3017,94668,626,42612,258,51056
98263.04,2809550,2500198,3887864,443952,30984,130028,14166,72532,74679,706320,14996,130004,3017,94668,626,42612,258,51056
99264.9,2809947,2500551,3887864,431276,30990,130156,14167,72532,74689,706924,14997,130004,3018,94668,626,42612,258,51056
100269.06,2810339,2500914,3887864,449768,30994,130168,14168,72532,74697,707224,14998,130004,3018,94668,626,42612,258,51056
101273.29,2810729,2501264,3887864,451280,31002,130280,14172,72532,74711,707772,15002,130004,3018,94668,626,42612,259,51056
102275.42,2811121,2501598,3887864,458204,31007,130388,14175,72532,74722,708188,15004,130004,3018,94668,626,42612,259,51056
103277.31,2811517,2501970,3887864,458204,31010,130680,14177,72532,74729,708652,15006,130004,3019,94668,626,42612,259,51056
104279.21,2811915,2502314,3887864,456116,31015,130956,14179,72532,74739,709204,15008,130004,3019,94668,626,42612,259,51056
105281.23,2812311,2502662,3887864,455876,31023,131428,14180,72532,74750,709912,15011,130004,3023,94196,626,42612,259,51056
106283.18,2812700,2503004,3887864,457436,31028,131432,14181,72532,74759,710224,15012,130004,3023,94196,626,42612,259,51056
107287.4,2813089,2503364,3887864,457000,31034,131468,14183,72532,74769,710664,15015,130004,3023,94196,627,42612,260,51056
108289.58,2813483,2503691,3887864,448912,31038,131468,14187,72532,74782,711020,15018,130004,3023,94196,627,42612,260,51056
109291.48,2813881,2504058,3887864,449476,31044,131748,14188,72532,74792,711708,15020,130004,3025,94196,627,42612,260,51056
110293.44,2814277,2504429,3887864,449684,31046,131748,14190,72532,74798,711868,15021,130004,3025,94196,627,42612,261,51056
111295.34,2814672,2504776,3887864,449012,31052,131896,14191,72532,74808,712684,15023,130004,3025,94196,627,42612,261,51056
112297.48,2815066,2505145,3887864,448764,31055,131952,14193,72532,74815,713156,15024,130004,3025,94196,627,42612,261,51056
113301.14,2815462,2505487,3887864,436288,31060,131960,14195,72532,74826,713808,15027,130004,3026,94196,627,42612,261,51056
114303.74,2815858,2505770,3887864,438048,31066,131964,14199,72532,74915,714824,15030,130004,3026,94196,627,42612,261,51056
115305.64,2816252,2506107,3887864,443000,31070,131988,14200,72532,74924,714940,15032,130004,3027,94196,627,42612,261,51056
116307.5,2816643,2506484,3887864,443120,31072,131988,14201,72532,74930,714968,15033,130004,3027,94196,627,42612,261,51056
117310.54,2817044,2506831,3887864,443964,31077,132048,14203,72532,74939,715024,15035,130004,3027,94196,628,42612,262,51056
118312.6,2817443,2507209,3887864,444964,31079,132104,14204,72532,74946,715044,15036,130004,3027,94196,628,42612,262,51056
119318.1,2817839,2507533,3887864,433028,31089,132128,14206,72532,74961,715076,15039,130004,3028,94200,628,42612,262,51056
120320.12,2818236,2507898,3887864,443772,31093,132132,14208,72532,74971,715096,15041,130004,3028,94200,628,42612,262,51056
121322.03,2818631,2508274,3887864,444476,31096,132132,14209,72532,74977,715100,15042,130004,3028,94200,628,42612,262,51056
122323.85,2819029,2508609,3887864,440824,31100,132136,14210,72532,74986,715124,15050,130004,3028,94200,628,42612,262,51056
123325.76,2819429,2508984,3887864,441912,31104,132136,14213,72532,74993,715132,15053,130004,3029,94200,628,42612,263,51056
124331.37,2819825,2509313,3887864,441568,31107,132152,14214,72532,75002,715136,15054,130004,3029,94200,628,42612,263,51056
125335.89,2820215,2509648,3887864,442248,31115,132160,14217,72532,75015,715152,15058,130004,3030,94200,628,42612,263,51056
126338.0,2820614,2509971,3887864,432496,31121,132164,14219,72532,75027,715160,15059,130004,3030,94200,628,42612,263,51056
127339.87,2821008,2510342,3887864,433488,31126,132164,14221,72532,75036,715208,15061,130004,3030,94200,628,42620,263,51056
128342.16,2821401,2510696,3887864,420768,31129,132164,14222,72532,75043,715228,15062,130004,3030,94200,628,42620,263,51056
129346.1,2821792,2511065,3887864,424220,31134,132164,14224,72532,75052,715236,15063,130004,3031,94200,628,42620,263,51056
130354.04,2822190,2511426,3887864,431768,31138,132164,14225,72532,75058,715240,15066,130004,3032,94200,628,42620,264,51056
131361.23,2822586,2511767,3887864,442020,31144,132168,14228,72532,75075,715240,15068,130008,3032,94200,628,42620,264,51056
132365.48,2822982,2512110,3887864,443184,31151,132168,14232,72532,75086,715240,15070,130008,3033,94200,628,42620,264,51056
133367.49,2823380,2512441,3887864,450064,31157,132172,14236,72532,75099,715240,15074,130008,3034,94200,628,42620,265,51056
134369.39,2823782,2512820,3887864,449904,31160,132172,14237,72532,75104,715240,15075,130008,3034,94200,628,42620,265,51056
135371.35,2824178,2513156,3887864,445364,31166,132172,14239,72532,75118,715252,15078,130008,3034,94200,628,42620,265,51056
136373.2,2824573,2513523,3887864,444812,31169,132172,14240,72532,75123,715252,15079,130008,3035,94200,628,42620,265,51056
137375.1,2824967,2513868,3887864,436040,31174,132172,14241,72532,75133,715268,15082,130008,3036,94200,629,42620,265,51060
138386.93,2825365,2514232,3887864,436808,31180,132172,14244,72532,75143,715268,15084,130008,3036,94200,629,42620,265,51060
139388.9,2825759,2514540,3887864,437856,31191,132172,14246,72532,75163,715276,15087,130008,3036,94200,629,42620,266,51060
140390.91,2826150,2514914,3887864,437700,31196,132172,14247,72532,75171,715280,15088,130008,3036,94200,629,42620,266,51060
141392.97,2826546,2515285,3887864,439076,31200,132172,14250,72532,75180,715280,15090,130008,3038,94200,629,42620,266,51060
142394.95,2826943,2515626,3887864,438552,31204,132172,14251,72532,75189,715280,15092,130008,3038,94200,629,42620,267,51060
143396.8,2827340,2516001,3887864,440392,31207,132176,14253,72532,75195,715280,15095,130008,3038,94200,629,42620,267,51060
144399.74,2827736,2516332,3887864,436052,31212,132176,14256,72532,75207,715280,15098,130008,3038,94200,629,42620,267,51060
145403.68,2828121,2516682,3887864,437252,31218,132176,14261,72532,75223,715280,15102,130008,3039,94200,629,42620,267,51060
146405.72,2828522,2517011,3887864,432996,31222,132176,14262,72532,75232,715280,15103,130008,3040,94200,629,42620,267,51060
147409.0,2828916,2517384,3887864,433696,31226,132176,14264,72532,75240,715280,15104,130008,3040,94200,630,42620,267,51060
148411.19,2829314,2517736,3887864,441076,31229,132176,14265,72532,75248,715280,15106,130008,3040,94200,630,42620,267,51060
149413.04,2829712,2518105,3887864,441764,31235,132176,14267,72532,75257,715280,15107,130008,3040,94200,630,42620,268,51060
150415.23,2830109,2518448,3887864,448928,31239,132176,14268,72532,75269,715280,15110,130008,3041,94200,630,42620,268,51060
151418.14,2830502,2518797,3887864,453152,31247,132176,14271,72532,75282,715280,15114,130008,3041,94200,630,42620,269,51064
152421.23,2830891,2519146,3887864,453280,31251,132176,14275,72532,75293,715280,15116,130008,3041,94200,630,42620,269,51064
153423.22,2831283,2519479,3887864,450104,31255,132176,14277,72532,75302,715284,15119,130008,3043,94200,630,42620,269,51064
154425.1,2831680,2519860,3887864,451144,31257,132176,14278,72532,75307,715284,15120,130008,3043,94200,630,42620,269,51064
155427.82,2832068,2520186,3887864,448272,31263,132176,14280,72532,75319,715284,15122,130008,3043,94200,630,42620,269,51064
156429.71,2832464,2520546,3887864,448020,31266,132176,14282,72532,75325,715284,15124,130008,3044,94200,630,42620,270,51064
157431.61,2832858,2520889,3887864,444904,31272,132176,14283,72532,75337,715284,15125,130008,3044,94200,630,42620,270,51064
158434.62,2833257,2521254,3887864,444904,31277,132176,14287,72532,75345,715284,15128,130008,3044,94200,630,42620,270,51064
159436.56,2833649,2521570,3887864,444480,31286,132176,14288,72532,75361,715288,15131,130008,3044,94200,630,42620,270,51064
160438.5,2834044,2521948,3887864,444648,31289,132176,14290,72532,75369,715288,15132,130008,3045,94200,630,42620,270,51064
161440.93,2834445,2522317,3887864,440040,31293,132176,14291,72532,75375,715288,15134,130008,3045,94200,630,42620,271,51064
162442.92,2834841,2522666,3887864,449964,31296,132176,14292,72532,75383,715288,15135,130008,3045,94200,630,42620,271,51064
163444.78,2835240,2523034,3887864,449716,31300,132180,14295,72532,75392,715288,15138,130008,3045,94200,630,42620,271,51064
164447.88,2835638,2523371,3887864,451944,31304,132180,14298,72532,75404,715288,15140,130008,3046,94200,630,42620,271,51064
165451.65,2836026,2523708,3887864,451440,31313,132180,14301,72532,75424,715288,15146,130008,3047,94200,630,42620,271,51064
166453.56,2836421,2524036,3887864,448636,31316,132180,14303,72532,75431,715288,15148,130008,3047,94200,630,42620,273,51064
167455.44,2836817,2524407,3887864,448396,31321,132184,14306,72532,75439,715288,15149,130008,3048,94200,631,42620,274,51064
168457.31,2837216,2524762,3887864,446484,31324,132184,14308,72532,75446,715288,15151,130008,3048,94200,631,42620,274,51064
169459.18,2837610,2525132,3887864,446792,31329,132184,14309,72532,75454,715288,15152,130008,3049,94200,631,42620,274,51064
170461.03,2838007,2525479,3887864,447384,31333,132184,14310,72532,75464,715288,15155,130008,3049,94200,631,42620,274,51064
171463.79,2838395,2525822,3887864,450620,31339,132184,14314,72532,75479,715288,15157,130008,3049,94200,631,42620,274,51064
172466.0,2838784,2526165,3887864,443716,31345,132184,14315,72532,75488,715288,15160,130008,3049,94200,631,42620,274,51064
173467.87,2839178,2526514,3887864,436288,31349,132184,14317,72532,75499,715288,15162,130008,3050,94200,631,42620,275,51064
