time,total,idle,mem_total,mem_free,1791/cpu,1791/rss,1818/cpu,1818/rss,1862/cpu,1862/rss,1882/cpu,1882/rss,1912/cpu,1912/rss,1913/cpu,1913/rss
1006.26,334767,305131,3887864,2165000,2972,109772,3275,73704,9169,321768,39,79272,661,65140,1989,119748
2007.82,335167,305522,3887864,2166000,2972,109772,3276,73704,9174,321768,39,79272,661,65140,1990,119748
3009.3,335563,305888,3887864,2169584,2972,109772,3280,73704,9181,321772,39,79272,661,65140,1991,119748
4013.2,335958,306266,3887864,2169584,2972,109772,3283,73704,9192,321772,39,79272,662,65140,1993,119748
5014.91,336352,306616,3887864,2172704,2974,109772,3288,73708,9202,321836,39,79272,662,65140,1996,119748
6016.57,336752,307011,3887864,2172704,2974,109772,3288,73708,9203,321836,39,79272,662,65140,1997,119748
7018.09,337149,307358,3887864,2170316,2975,109772,3291,73708,9213,321836,39,79272,662,65140,1999,119748
8020.43,337547,307752,3887864,2171080,2975,109772,3292,73708,9216,321836,39,79272,663,65140,1999,119748
9023.8,337945,308141,3887864,2167276,2975,109772,3294,73708,9218,321836,39,79272,663,65140,2000,119748
10027.62,338345,308511,3887864,2175028,2976,109772,3297,73712,9225,321836,39,79272,663,65148,2002,119748
11031.85,338742,308896,3887864,2175312,2977,109772,3300,73712,9231,321836,39,79272,663,65152,2004,119748
12033.6,339141,309261,3887864,2176820,2977,109772,3303,73712,9237,321836,39,79272,663,65152,2006,119748
13035.25,339539,309649,3887864,2176820,2977,109772,3306,73712,9242,321836,39,79272,664,65156,2006,119748
14036.84,339938,310024,3887864,2172572,2977,109772,3308,73712,9245,321836,39,79272,665,65156,2008,119748
15038.44,340335,310408,3887864,2172572,2977,109772,3311,73712,9252,321836,39,79272,665,65156,2009,119748
16040.04,340734,310777,3887864,2164256,2977,109772,3313,73716,9259,321836,39,79272,665,65156,2010,119748
17041.63,341129,311136,3887864,2169292,2978,109776,3316,73716,9265,321836,39,79272,665,65156,2012,119748
18043.24,341528,311508,3887864,2155712,2978,109776,3316,73716,9269,321836,39,79272,665,65156,2014,119764
19044.82,341928,311899,3887864,2155712,2978,109776,3318,73716,9274,321836,39,79272,665,65160,2015,119764
20046.5,342325,312266,3887864,2158036,2979,109776,3321,73716,9278,321836,39,79272,665,65160,2016,119772
21048.19,342725,312661,3887864,2159344,2979,109776,3321,73716,9281,321836,39,79272,665,65172,2017,119772
22050.09,343116,312988,3887864,2162708,2979,109776,3336,73768,9326,321860,39,79272,666,65172,2019,119772
23051.75,343511,313343,3887864,2171140,2980,109776,3342,73768,9340,321860,39,79272,666,65172,2021,119772
24053.32,343913,313738,3887864,2176972,2981,109776,3343,73768,9342,321860,39,79272,667,65172,2022,119772
25054.95,344311,314102,3887864,2171768,2981,109776,3347,73768,9350,321860,39,79272,667,65172,2024,119776
