time,total,idle,mem_total,mem_free,2025/cpu,2025/rss,5201/cpu,5201/rss,5280/cpu,5280/rss
1004.59,297176,229138,3887864,2213992,267,86388,250,17392,1057,56724
2008.73,297566,229435,3887864,2202308,267,86388,250,17392,1060,56728
3010.97,297963,229582,3887864,2148756,267,86388,250,17392,1060,56732
4014.22,298360,229584,3887864,2140844,267,86388,250,17392,1062,56740
5016.53,298759,229585,3887864,2123708,267,86388,250,17392,1062,56740
6020.69,299158,229586,3887864,2118180,268,86388,250,17392,1063,56740
7022.95,299557,229587,3887864,2099516,268,86388,251,17392,1064,56744
8025.34,299954,229589,3887864,2094476,268,86388,251,17392,1065,56744
9027.69,300353,229590,3887864,2085156,269,86388,252,17392,1065,56752
10034.48,300756,229593,3887864,2075108,269,86388,252,17392,1065,56752
11042.65,301155,229594,3887864,2035208,269,86388,252,17392,1066,56752
12044.89,301557,229595,3887864,2025616,269,86388,252,17392,1069,56780
13048.34,301958,229595,3887864,2021932,270,86388,252,17392,1069,56780
14050.26,302357,229595,3887864,1987980,270,86388,252,17392,1069,56780
15052.44,302756,229596,3887864,1971604,270,86388,252,17392,1071,56780
16054.87,303157,229597,3887864,1970032,271,86388,253,17392,1071,56780
17057.24,303556,229598,3887864,1955416,271,86388,253,17392,1073,56780
18059.52,303954,229601,3887864,1947100,271,86388,253,17392,1074,56780
19061.68,304353,229604,3887864,1943320,271,86388,254,17396,1075,56780
20064.3,304749,229611,3887864,1936624,272,86388,255,17396,1075,56780
21068.81,305151,229611,3887864,1921460,272,86388,255,17396,1075,56780
22070.06,305547,229909,3887864,1750676,272,86388,255,17396,1082,56792
23071.29,305932,230213,3887864,1732296,272,86388,256,17396,1091,56792
24073.52,306327,230386,3887864,1702832,273,86388,257,17396,1092,56792
25076.33,306727,230387,3887864,1704032,273,86388,257,17396,1093,56792
26079.4,307129,230390,3887864,1680236,273,86388,257,17396,1093,56792
27081.66,307529,230391,3887864,1657964,273,86388,257,17396,1093,56792
28086.3,307930,230393,3887864,1657700,274,86388,258,17396,1096,56792
29088.47,308327,230397,3887864,1644344,274,86388,258,17396,1097,56792
30094.3,308726,230400,3887864,1640868,274,86388,259,17396,1097,56792
31098.34,309124,230400,3887864,1625528,274,86388,259,17396,1098,56792
32100.8,309525,230404,3887864,1619956,275,86388,259,17396,1099,56792
33105.87,309926,230407,3887864,1588900,275,86388,260,17396,1106,56792
34109.06,310325,230413,3887864,1584556,275,86388,267,17404,1129,56852
35113.69,310726,230415,3887864,1582132,275,86388,267,17404,1132,56852
36115.59,311125,230417,3887864,1576008,276,86388,267,17404,1132,56852
37117.78,311523,230418,3887864,1574420,276,86388,268,17404,1132,56852
38122.3,311924,230419,3887864,1560552,276,86388,268,17404,1133,56852
39124.76,312321,230421,3887864,1551144,276,86388,268,17404,1134,56852
40127.11,312720,230424,3887864,1545448,277,86388,268,17404,1134,56852
41133.35,313121,230426,3887864,1544012,277,86388,268,17404,1135,56852
42135.53,313517,230427,3887864,1535588,277,86388,268,17404,1135,56852
43137.22,313916,230650,3887864,1439072,277,86388,269,17404,1136,56856
44138.66,314309,230967,3887864,1394744,278,86388,269,17404,1145,57264
45141.19,314710,231286,3887864,1358432,278,86388,269,17404,1146,57264
46145.58,315109,231291,3887864,1365252,278,86388,269,17404,1146,57264
47147.52,315507,231292,3887864,1371400,278,86388,269,17404,1147,57264
48150.0,315907,231293,3887864,1373728,278,86388,270,17404,1148,57264
49152.32,316306,231295,3887864,1378664,279,86388,270,17404,1148,57264
