response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
1.2260,0.0496,0.0000,0.0004,1.1754,0.0004,200,0.1032
1.2252,0.0489,0.0000,0.0005,1.1752,0.0005,200,0.1040
1.2259,0.0494,0.0000,0.0004,1.1755,0.0005,200,0.1034
1.2255,0.0490,0.0000,0.0004,1.1754,0.0006,200,0.1039
1.5306,0.0490,0.0000,0.0003,1.4812,0.0002,200,0.1040
1.8394,0.0498,0.0000,0.0003,1.7890,0.0001,200,0.1031
1.8386,0.0489,0.0000,0.0004,1.7891,0.0001,200,0.1040
1.8386,0.0490,0.0000,0.0005,1.7890,0.0001,200,0.1039
1.8458,0.0495,0.0000,0.0005,1.7955,0.0001,200,0.1033
2.0424,0.0492,0.0000,0.0005,1.9925,0.0001,200,0.1038
1.3296,0.1028,0.0000,0.0002,1.2266,0.0001,200,1.3292
1.3296,0.1026,0.0000,0.0002,1.2266,0.0001,200,1.3293
1.3297,0.1027,0.0000,0.0001,1.2267,0.0001,200,1.3293
1.3296,0.1026,0.0000,0.0002,1.2267,0.0001,200,1.3293
1.2282,0.0070,0.0000,0.0001,1.2208,0.0001,200,1.6346
0.9388,0.0066,0.0000,0.0001,0.9320,0.0001,200,1.9426
1.1198,0.0097,0.0000,0.0001,1.1098,0.0001,200,1.9492
1.1952,0.0068,0.0000,0.0001,1.1882,0.0001,200,1.9425
1.3939,0.0088,0.0000,0.0002,1.3848,0.0001,200,2.1462
1.6512,0.0060,0.0000,0.0001,1.6450,0.0001,200,1.9425
0.9532,0.0080,0.0000,0.0002,0.9450,0.0001,200,2.6589
1.0645,0.0080,0.0000,0.0002,1.0562,0.0001,200,2.6588
1.0847,0.0080,0.0000,0.0001,1.0765,0.0001,200,2.6590
1.1143,0.0080,0.0000,0.0001,1.1061,0.0001,200,2.6590
1.1136,0.0046,0.0000,0.0001,1.1088,0.0001,200,2.8814
1.1593,0.0046,0.0000,0.0001,1.1545,0.0001,200,3.1377
1.2282,0.0101,0.0000,0.0001,1.2179,0.0001,200,3.0689
0.9618,0.0038,0.0000,0.0001,0.9577,0.0001,200,3.5401
0.8750,0.0058,0.0000,0.0001,0.8689,0.0001,200,3.9949
1.6067,0.0036,0.0000,0.0001,1.6029,0.0001,200,3.6121
0.9915,0.0048,0.0000,0.0001,0.9863,0.0002,200,4.2970
0.8118,0.0049,0.0000,0.0001,0.8066,0.0001,200,4.5019
1.6259,0.0035,0.0000,0.0001,1.6220,0.0002,200,3.7733
2.9803,0.0075,0.0000,0.0002,2.9724,0.0001,200,2.8628
2.1048,0.0038,0.0000,0.0001,2.1008,0.0001,200,3.7436
2.3137,0.0043,0.0000,0.0001,2.3091,0.0001,200,3.5938
2.4165,0.0063,0.0000,0.0001,2.4099,0.0001,200,3.7234
1.3549,0.0036,0.0000,0.0002,1.3509,0.0002,200,4.8699
2.0400,0.0047,0.0000,0.0002,2.0350,0.0001,200,4.2971
1.2558,0.0056,0.0000,0.0002,1.2498,0.0002,200,5.2189
