time,total,idle,mem_total,mem_free,1666/cpu,1666/rss,7255/cpu,7255/rss,7695/cpu,7695/rss
1010.68,366929,329779,3887864,879296,16858,621072,45,15692,168,52856
2011.84,367327,330117,3887864,877924,16904,622272,45,15692,180,53400
3013.42,367724,330496,3887864,878028,16914,622352,45,15692,180,53400
4015.43,368122,330868,3887864,877944,16931,622512,46,15696,180,53404
5016.63,368520,331223,3887864,873776,16944,622580,46,15696,181,53404
6017.85,368915,331603,3887864,875060,16955,622612,46,15696,183,53408
7018.95,369312,331982,3887864,875164,16964,622640,46,15696,183,53408
8020.09,369710,332345,3887864,878852,16976,622652,46,15704,183,53408
9021.26,370106,332707,3887864,865524,16984,622660,46,15708,183,53408
10023.55,370506,333090,3887864,864940,16993,624572,46,15720,183,53408
11024.81,370904,333435,3887864,872492,17011,624572,46,15720,184,53416
12025.92,371305,333822,3887864,872492,17022,624588,46,15720,185,53416
13026.99,371701,334180,3887864,868616,17032,624592,46,15720,185,53416
14028.08,372100,334569,3887864,868856,17036,624592,46,15720,185,53416
15029.21,372498,334936,3887864,869204,17044,624592,47,15720,185,53416
16031.52,372893,335322,3887864,868964,17052,624592,47,15724,185,53416
17033.09,373292,335688,3887864,861788,17066,624592,47,15724,185,53416
18034.32,373691,336064,3887864,865364,17074,624592,47,15728,185,53416
19035.37,374088,336435,3887864,870180,17081,624592,47,15728,185,53416
20036.48,374485,336807,3887864,861920,17087,624592,47,15736,185,53416
21037.59,374880,337190,3887864,864368,17098,624592,47,15736,187,53416
22040.32,375277,337515,3887864,829468,17119,624596,47,15740,191,53432
23042.03,375666,337810,3887864,825900,17133,624592,48,15744,192,53432
24044.47,376063,337912,3887864,776788,17145,624600,48,15748,192,53432
25046.42,376461,337914,3887864,775280,17162,624600,48,15752,192,53432
26048.46,376860,337916,3887864,757180,17174,624908,48,15752,192,53432
27050.47,377259,337921,3887864,747124,17193,624652,48,15752,193,53432
28054.72,377659,337923,3887864,729264,17208,624652,48,15820,194,53432
29056.81,378053,337927,3887864,714616,17228,624652,49,15820,194,53432
30059.46,378456,337929,3887864,709012,17240,624652,49,15832,195,53432
31066.76,378854,337931,3887864,703468,17257,624652,49,15836,195,53432
32075.18,379256,337935,3887864,685772,17272,624656,49,15836,195,53432
33081.73,379658,337941,3887864,625912,17289,624656,49,15836,195,53432
34084.03,380059,337943,3887864,608220,17305,624656,50,15836,195,53432
35086.05,380459,337944,3887864,607968,17322,624656,50,15836,196,53432
36088.47,380859,337948,3887864,587556,17343,624660,50,15844,197,53432
37090.66,381260,337950,3887864,587556,17362,624660,50,15844,198,53432
38095.08,381661,337952,3887864,587556,17382,624660,50,15848,199,53432
39097.19,382061,337956,3887864,589580,17400,624660,50,15848,199,53432
40099.31,382461,337957,3887864,579140,17413,624660,50,15852,200,53432
41101.29,382858,337959,3887864,556964,17434,624660,50,15852,200,53432
42103.93,383258,337962,3887864,554756,17454,624660,51,15852,201,53432
43105.44,383655,338043,3887864,536284,17469,624684,51,15852,201,53432
44106.66,384052,338338,3887864,419320,17484,623032,51,15872,203,53436
45107.85,384448,338708,3887864,416108,17491,623032,52,15880,203,53436
46109.28,384846,339084,3887864,417064,17506,623024,52,15900,207,53436
47111.69,385244,339450,3887864,420816,17524,623032,53,15900,210,53444
48114.16,385642,339813,3887864,431472,17541,624704,53,15904,210,53444
49116.89,386038,340184,3887864,437472,17555,624704,53,15904,210,53444
50118.34,386433,340529,3887864,440432,17565,624704,53,15904,211,53444
51119.99,386832,340910,3887864,446988,17574,624708,53,15912,212,53448
52121.19,387229,341276,3887864,460324,17585,624708,53,15912,212,53448
53122.35,387630,341659,3887864,462048,17594,624712,53,15912,212,53448
54123.53,388031,342028,3887864,467376,17600,624712,53,15916,212,53448
55125.99,388429,342405,3887864,467908,17612,624712,54,15916,214,53448
56127.39,388819,342747,3887864,477484,17628,624712,54,15920,214,53448
57128.54,389222,343125,3887864,478292,17641,623052,54,15924,215,53452
58129.88,389620,343493,3887864,481808,17650,623052,54,15928,215,53452
59131.14,390020,343876,3887864,487436,17661,623072,54,15932,215,53452
60133.8,390419,344249,3887864,482836,17665,623076,54,15932,215,53452
61136.19,390820,344614,3887864,472684,17677,623076,54,15932,215,53452
62138.73,391212,344993,3887864,474888,17688,623080,55,15940,219,53452
63140.06,391609,345343,3887864,480676,17700,623080,55,15948,219,53452
64141.28,392008,345734,3887864,481764,17705,623080,55,15952,219,53452
65142.48,392404,346083,3887864,467416,17725,626204,55,15964,223,53456
66143.68,392803,346465,3887864,467472,17737,628948,56,15964,224,53456
67144.83,393203,346822,3887864,480288,17749,630800,56,15968,224,53456
68146.08,393601,347133,3887864,487460,17832,615252,57,15972,226,53456
69147.26,393998,347498,3887864,489808,17841,615484,57,15972,226,53456
70148.47,394395,347871,3887864,498684,17846,615556,57,15976,226,53456
71149.95,394792,348238,3887864,490408,17856,615700,57,15976,226,53456
72151.19,395194,348618,3887864,489912,17869,615904,57,15988,226,53456
73153.9,395592,348990,3887864,495768,17881,615972,57,15988,227,53456
74155.22,395989,349349,3887864,500064,17888,615976,57,15992,227,53456
75156.41,396391,349740,3887864,500064,17893,615984,58,16000,227,53456
76157.66,396787,350107,3887864,499524,17903,616000,58,16000,227,53456
77158.91,397187,350494,3887864,501868,17910,616116,58,16004,227,53456
78160.11,397586,350862,3887864,488556,17918,616120,58,16016,227,53456
79162.9,397983,351239,3887864,490420,17929,616120,58,16020,227,53456
80164.31,398374,351587,3887864,495820,17943,616116,58,16020,227,53456
81165.56,398769,351959,3887864,497508,17953,616116,59,16024,229,53456
82166.76,399168,352323,3887864,484152,17964,617396,59,16024,229,53456
83167.94,399567,352696,3887864,483904,17976,617404,59,16024,230,53456
84169.38,399966,353084,3887864,482392,17981,617404,59,16024,230,53456
85170.72,400364,353420,3887864,469196,18003,618080,59,16028,232,53456
86172.01,400750,353741,3887864,447888,18012,618092,59,16028,232,53456
87174.32,401140,353869,3887864,407804,18029,618120,59,16032,234,53456
88178.6,401542,353870,3887864,404484,18048,618140,60,16036,234,53456
89180.87,401942,353875,3887864,377120,18065,618144,60,16036,234,53456
90182.93,402343,353875,3887864,340980,18080,618144,60,16036,235,53456
91184.8,402742,353878,3887864,333232,18095,618152,60,16036,235,53456
92190.21,403139,353882,3887864,328392,18113,617004,60,16044,235,53456
93193.56,403534,353888,3887864,325368,18132,617000,60,16044,235,53456
94196.57,403934,353892,3887864,305964,18149,617004,60,16044,235,53456
95200.04,404333,353893,3887864,305964,18164,617004,60,16052,236,53456
96202.82,404730,353897,3887864,286812,18184,617004,60,16056,237,53456
97206.07,405129,353898,3887864,272700,18204,617004,60,16060,238,53456
98208.34,405530,353902,3887864,254336,18222,617004,61,16064,238,53456
99210.49,405929,353905,3887864,256412,18240,617004,62,16064,239,53456
100212.88,406325,353907,3887864,241868,18255,617004,62,16064,239,53456
101215.17,406724,353915,3887864,231956,18274,617004,62,16068,240,53456
102219.15,407125,353916,3887864,230704,18293,617004,62,16068,241,53468
103221.27,407523,353922,3887864,211296,18309,617004,62,16072,241,53468
104225.36,407923,353923,3887864,209780,18324,617004,62,16072,241,53468
105227.61,408322,353925,3887864,204800,18337,617000,62,16072,242,53468
106230.16,408719,353931,3887864,192180,18370,617008,63,16072,247,53472
107232.15,409116,354179,3887864,110396,18398,616272,64,16080,253,53476
108233.45,409513,354468,3887864,114516,18455,615580,68,16152,266,53488
109234.66,409912,354855,3887864,121064,18462,615580,68,16152,266,53488
110237.48,410313,355223,3887864,126456,18472,615628,68,16156,266,53488
111239.85,410707,355578,3887864,126956,18490,615652,68,16164,268,53488
112241.22,411102,355933,3887864,138712,18499,615668,68,16164,269,53488
113242.41,411498,356315,3887864,141540,18509,615696,68,16168,269,53488
114243.63,411895,356677,3887864,147812,18521,617540,68,16168,269,53488
115244.98,412292,357030,3887864,155372,18552,618264,68,16172,269,53488
116246.46,412694,357325,3887864,141220,18640,618676,68,16172,269,53488
117248.85,413089,357689,3887864,148300,18659,618688,68,16176,271,53500
118251.7,413488,358067,3887864,149040,18676,618688,68,16184,271,53500
119253.17,413885,358412,3887864,150044,18694,618704,68,16184,271,53500
120254.37,414286,358805,3887864,152400,18699,618704,69,16184,271,53500
121255.56,414683,359173,3887864,155176,18707,618708,69,16184,271,53500
122256.75,415079,359545,3887864,155796,18716,618712,69,16184,272,53500
123257.95,415477,359907,3887864,154828,18725,618716,69,16188,272,53500
124260.29,415873,360288,3887864,156540,18735,618716,69,16192,272,53500
125261.65,416267,360639,3887864,161416,18748,618720,69,16192,273,53500
126262.85,416669,361027,3887864,162856,18756,618720,69,16196,274,53504
127264.05,417069,361381,3887864,167196,18767,618720,69,16196,274,53504
128265.63,417466,361712,3887864,148304,18789,616480,70,16200,279,53124
129268.26,417853,362014,3887864,111756,18799,616476,70,16212,279,53124
130270.76,418250,362023,3887864,89404,18816,616480,70,16212,279,53124
131278.38,418652,362024,3887864,70428,18837,616500,71,16212,279,53124
132280.2,419053,362027,3887864,46248,18862,616552,71,16220,280,53124
133282.58,419452,362029,3887864,47048,18882,616552,71,16224,280,53124
134287.3,419849,362036,3887864,51088,18897,616552,71,16224,280,53124
135291.04,420251,362038,3887864,44484,18914,616552,72,16228,280,53124
136293.48,420649,362040,3887864,41844,18926,616552,72,16228,280,53124
137297.21,421047,362045,3887864,47900,18945,616552,72,16228,281,53124
138302.67,421448,362047,3887864,42428,18964,616576,72,16232,281,53124
139305.13,421850,362054,3887864,44692,18982,616584,73,16916,281,53124
140310.5,422251,362055,3887864,41504,18999,616684,73,16928,282,53124
141316.22,422651,362057,3887864,41764,19020,616680,73,16928,284,53124
142318.2,423052,362060,3887864,45408,19039,616724,73,16928,284,53124
143320.6,423450,362067,3887864,40596,19061,616732,74,16964,284,53124
144322.73,423851,362070,3887864,40936,19076,616772,74,16964,286,53124
145325.29,424250,362071,3887864,39504,19092,616776,74,16964,286,53124
146327.51,424650,362076,3887864,36292,19107,616788,74,16964,286,53124
147329.41,425049,362078,3887864,33348,19125,616800,74,16964,286,53124
148331.9,425449,362081,3887864,27428,19143,616808,74,16976,286,53124
149334.39,425848,362086,3887864,42176,19160,616816,74,16976,287,53124
150336.19,426244,362302,3887864,47376,19171,616816,74,16976,287,53124
151337.5,426644,362628,3887864,72900,19187,616864,74,17008,288,53132
152338.7,427041,363018,3887864,81528,19193,616980,74,17016,288,53132
153339.91,427435,363362,3887864,93252,19204,616984,75,17016,289,53132
154341.16,427831,363751,3887864,97548,19211,616988,75,17016,289,53132
155342.43,428232,364109,3887864,112200,19221,617000,75,17020,290,53132
156343.65,428632,364499,3887864,112908,19227,617004,75,17020,290,53132
157344.84,429027,364864,3887864,119852,19237,617004,75,17024,291,53132
158346.07,429425,365246,3887864,123468,19248,617004,75,17036,291,53132
159347.41,429823,365633,3887864,126628,19255,617004,75,17036,291,53132
160348.72,430218,365988,3887864,135868,19268,618684,75,17036,291,53132
161349.92,430616,366379,3887864,136644,19275,618684,75,17036,291,53132
162351.12,431017,366745,3887864,136860,19284,618688,76,17040,292,53132
163352.34,431410,367113,3887864,140672,19292,618688,76,17040,292,53132
164353.62,431809,367481,3887864,145004,19299,618688,76,17040,292,53132
165356.06,432211,367866,3887864,144752,19310,618496,76,17048,293,53132
166357.43,432605,368185,3887864,142124,19344,618508,78,17136,299,53140
167358.62,433006,368576,3887864,142124,19348,618508,78,17136,300,53140
168359.82,433402,368943,3887864,128780,19358,618508,78,17140,300,53140
169361.07,433799,369330,3887864,128900,19364,618512,78,17140,300,53140
170362.86,434197,369701,3887864,125680,19373,618520,78,17140,300,53144
171364.25,434589,370042,3887864,138912,19399,616556,79,17144,306,53144
172365.66,434986,370357,3887864,122260,19408,616736,79,17144,307,53144
173369.47,435387,370382,3887864,90664,19425,616752,79,17144,307,53144
174374.54,435788,370384,3887864,88516,19441,616752,79,17144,307,53144
175376.76,436187,370391,3887864,88520,19460,616808,79,17148,307,53144
176382.71,436587,370395,3887864,91912,19490,616884,80,17180,312,53152
177385.63,436989,370402,3887864,98856,19510,616892,80,17184,313,53152
178388.21,437389,370403,3887864,101364,19530,616916,82,17184,314,53152
179390.23,437787,370405,3887864,102920,19549,617112,82,17184,314,53152
180392.41,438187,370409,3887864,109352,19565,617120,82,17184,314,53152
181395.21,438587,370411,3887864,110588,19583,617136,82,17184,315,53156
182397.63,438986,370416,3887864,118788,19691,616884,84,17208,326,53168
183400.38,439383,370433,3887864,118532,19769,616620,88,17216,340,53292
184402.88,439781,370440,3887864,91668,19789,616620,88,17216,340,53292
185406.18,440181,370443,3887864,100244,19805,616620,88,17220,341,53296
186408.57,440582,370443,3887864,99224,19824,616628,88,17224,343,53312
187410.6,440983,370447,3887864,93508,19845,616648,88,17224,343,53312
188413.4,441383,370448,3887864,93668,19869,616816,90,17228,345,53328
189418.04,441783,370453,3887864,76016,19892,617592,90,17232,346,53328
190423.35,442184,370455,3887864,68216,19910,617600,90,17236,346,53328
191426.96,442582,370455,3887864,66116,19926,617640,90,17244,346,53332
192429.08,442982,370459,3887864,62904,19951,617668,90,17244,347,53332
193430.46,443380,370622,3887864,36444,19966,617672,90,17244,347,53332
194431.81,443764,370874,3887864,74124,19993,616704,91,17256,351,53452
195436.45,444158,371085,3887864,62152,20004,616704,92,17312,352,53452
196441.72,444556,371091,3887864,43200,20021,616700,92,17312,353,53452
197445.51,444954,371093,3887864,47796,20033,616704,92,17312,353,53460
198447.52,445355,371094,3887864,48608,20049,616728,92,17316,353,53460
199453.11,445751,371100,3887864,48548,20067,616776,92,17316,353,53464
200455.49,446152,371104,3887864,51812,20085,616796,92,17324,353,53476
201457.77,446549,371110,3887864,60244,20109,618696,93,17324,355,53508
202462.86,446949,371112,3887864,64872,20126,618696,93,17324,356,53524
203465.33,447347,371118,3887864,69536,20147,618696,93,17324,357,53532
204468.17,447749,371119,3887864,74900,20166,618696,93,17324,357,53532
205470.45,448148,371120,3887864,79620,20183,618696,93,17328,357,53536
206474.85,448552,371124,3887864,87440,20201,618696,94,17328,358,53536
207479.49,448952,371126,3887864,93656,20215,618696,95,17328,358,53536
208482.33,449351,371129,3887864,94380,20233,618696,95,17328,358,53536
209484.04,449751,371131,3887864,90908,20250,618696,95,17328,358,53536
210487.53,450151,371134,3887864,89048,20268,618696,95,17328,358,53536
211494.77,450551,371135,3887864,91592,20281,618696,95,17332,359,53536
212497.72,450953,371137,3887864,95696,20296,618696,95,17332,360,53536
213502.96,451353,371141,3887864,88580,20311,618696,95,17336,360,53536
214506.02,451751,371145,3887864,86768,20330,618700,95,17336,360,53536
215508.13,452145,371345,3887864,66352,20346,618700,95,17336,360,53544
216509.54,452532,371557,3887864,58716,20474,616804,98,17368,395,53756
217510.76,452921,371888,3887864,59952,20494,616820,99,17384,398,53756
218511.95,453315,372261,3887864,58244,20501,616828,99,17384,399,53756
219513.2,453714,372564,3887864,62560,20569,616828,99,17384,399,53756
220514.51,454112,372946,3887864,66848,20581,616832,99,17388,399,53756
221516.44,454506,373310,3887864,65544,20599,616852,100,17388,402,53756
222517.75,454905,373682,3887864,77344,20606,616852,100,17392,402,53756
223518.96,455305,374074,3887864,78524,20611,616852,100,17392,402,53756
224520.15,455702,374437,3887864,70780,20620,616868,100,17392,402,53756
