response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
2.0549,0.0109,0.0000,0.0002,2.0436,0.0002,200,0.1023
2.0577,0.0108,0.0000,0.0001,2.0465,0.0001,200,0.1020
2.1209,0.0115,0.0000,0.0001,2.1091,0.0001,200,0.1024
2.5585,0.0115,0.0000,0.0001,2.5467,0.0001,200,0.1024
2.7365,0.0109,0.0000,0.0002,2.7252,0.0001,200,0.1021
3.3449,0.0108,0.0000,0.0002,3.3337,0.0001,200,0.1022
3.4150,0.0107,0.0000,0.0002,3.4040,0.0001,200,0.1023
3.6306,0.0117,0.0000,0.0001,3.6187,0.0001,200,0.1020
1.6167,0.0077,0.0000,0.0002,1.6087,0.0001,200,2.1597
3.7270,0.0108,0.0000,0.0002,3.7158,0.0001,200,0.1020
3.9319,1.0294,0.0000,0.0003,2.9021,0.0001,200,0.1024
1.6239,0.0036,0.0000,0.0001,1.6201,0.0001,200,2.8385
2.2598,0.0040,0.0000,0.0002,2.2556,0.0001,200,2.2233
2.6223,0.0036,0.0000,0.0001,2.6184,0.0001,200,2.6608
3.3856,0.0102,0.0000,0.0001,3.3751,0.0001,200,2.1572
1.8102,0.0100,0.0000,0.0001,1.8000,0.0001,200,3.7327
1.5548,0.0038,0.0000,0.0001,1.5508,0.0001,200,4.4625
2.8604,0.0033,0.0000,0.0001,2.8567,0.0001,200,3.4471
1.8370,0.0044,0.0000,0.0001,1.8324,0.0001,200,4.4832
2.5956,0.0125,0.0000,0.0001,2.5828,0.0001,200,3.8290
2.7020,0.0056,0.0000,0.0001,2.6962,0.0001,200,3.7764
2.7191,0.0059,0.0000,0.0002,2.7128,0.0001,200,4.0343
1.5345,0.0064,0.0000,0.0001,1.5278,0.0001,200,5.5428
3.5765,0.0063,0.0000,0.0001,3.5700,0.0001,200,3.5174
1.7845,0.0059,0.0000,0.0001,1.7783,0.0001,200,6.0173
1.5934,0.0053,0.0000,0.0001,1.5879,0.0001,200,6.4246
2.5592,0.0064,0.0000,0.0001,2.5525,0.0001,200,5.5428
1.8908,0.0126,0.0000,0.0001,1.8780,0.0001,200,6.3075
3.3214,0.0033,0.0000,0.0001,3.3179,0.0001,200,5.2831
2.1262,0.0029,0.0000,0.0001,2.1231,0.0001,200,6.4784
2.0123,0.0042,0.0000,0.0001,2.0078,0.0001,200,6.7533
2.2957,0.0057,0.0000,0.0002,2.2898,0.0001,200,7.0773
1.8537,0.0059,0.0000,0.0001,1.8475,0.0001,200,8.1020
3.8900,0.0056,0.0000,0.0001,3.8842,0.0001,200,6.3202
1.6235,0.0063,0.0000,0.0002,1.6170,0.0001,200,8.6045
1.6235,0.0072,0.0000,0.0001,1.6162,0.0000,200,8.6046
3.4330,0.0154,0.0000,0.0001,3.4173,0.0001,200,7.0939
2.7297,0.0144,0.0000,0.0001,2.7151,0.0001,200,7.8018
