time,total,idle,mem_total,mem_free,2028/cpu,2028/rss,2030/cpu,2030/rss,2054/cpu,2054/rss,2056/cpu,2056/rss,2938/cpu,2938/rss,2954/cpu,2954/rss,3862/cpu,3862/rss,3888/cpu,3888/rss
1013.9,1341629,1206812,3887864,1547956,14345,82304,6929,71008,33217,367472,7042,117684,1224,88336,280,41764,469,16588,1828,55044
2017.4,1342024,1207154,3887864,1547872,14353,82308,6932,71008,33235,367472,7044,117684,1225,88336,280,41764,469,16588,1829,55048
3019.44,1342419,1207502,3887864,1548720,14357,82308,6933,71008,33244,367476,7045,117684,1225,88336,280,41764,469,16588,1830,55048
4021.77,1342817,1207876,3887864,1550408,14361,82308,6934,71012,33253,367480,7046,117684,1225,88336,280,41764,469,16588,1832,55080
5023.79,1343213,1208230,3887864,1545916,14365,82308,6936,71012,33260,367480,7048,117684,1226,88336,280,41764,469,16588,1832,55080
6025.67,1343615,1208606,3887864,1547912,14367,82308,6939,71012,33268,367480,7050,117688,1226,88336,280,41764,469,16588,1832,55080
7027.6,1344008,1208958,3887864,1551060,14370,82308,6940,71012,33275,367480,7052,117688,1226,88336,280,41764,469,16588,1832,55080
8029.55,1344404,1209340,3887864,1554460,14372,82308,6942,71012,33279,367480,7054,117688,1227,88336,280,41764,470,16592,1832,55080
9031.59,1344804,1209653,3887864,1554080,14376,82308,6943,71020,33322,367480,7055,117688,1227,88336,280,41764,470,16592,1832,55080
10034.06,1345200,1210032,3887864,1554472,14379,82308,6945,71048,33329,367480,7058,117688,1227,88336,280,41764,470,16592,1832,55080
11036.0,1345598,1210388,3887864,1557040,14383,82308,6946,71064,33339,367480,7059,117688,1227,88336,280,41764,470,16592,1834,55104
12041.02,1345996,1210762,3887864,1561160,14388,82308,6947,71096,33345,367480,7061,117688,1227,88336,280,41764,470,16592,1834,55104
13043.92,1346390,1211105,3887864,1553928,14392,82308,6951,71096,33358,367480,7063,117688,1229,88336,280,41764,470,16592,1834,55104
14046.17,1346789,1211463,3887864,1551940,14395,82308,6952,71096,33365,367480,7065,117688,1229,88336,280,41764,470,16592,1834,55104
