time,sent,received,total
4.25,4534.02,23152.79,27.04
1005.93,4534.09,23153.11,27.04
2007.27,4535.96,23155.07,27.04
3009.25,4539.92,23158.93,27.05
4010.15,4541.94,23160.7,27.05
5011.0,4546.81,23166.24,27.06
6011.87,4549.78,23168.9,27.07
7012.63,4552.07,23171.26,27.07
8013.32,4552.13,23171.37,27.07
9014.65,4552.2,23171.64,27.07
10016.38,4554.22,23173.71,27.08
11017.63,4640.79,25081.87,29.03
12018.5,4667.32,25110.6,29.08
13019.33,4692.87,25136.44,29.13
14020.27,4728.36,25171.47,29.2
15021.1,4747.47,25190.3,29.24
16021.87,4777.44,25249.65,29.32
17022.58,4779.93,25254.59,29.33
18023.26,4783.8,25258.1,29.34
19023.95,4785.96,25260.23,29.34
20024.68,4789.85,25263.9,29.35
21025.36,4795.59,25269.44,29.36
22026.57,4797.56,25271.35,29.36
23027.95,4797.75,25271.54,29.36
24029.42,4797.93,25271.6,29.36
25030.69,4799.99,25273.85,29.37
26031.53,4803.09,25276.73,29.37
27032.54,4808.92,25296.79,29.4
