time,sent,received,total
3.82,24030.54,11342.4,34.54
1005.08,24041.94,11346.48,34.56
2005.81,24044.39,11348.59,34.56
3006.4,24044.76,11349.22,34.56
4006.98,24047.58,11352.07,34.57
5007.58,24047.71,11352.32,34.57
6008.17,24085.72,11361.74,34.62
7008.76,24088.15,11364.0,34.62
8009.35,24093.85,11369.64,34.63
9009.93,24093.85,11369.64,34.63
10010.55,24114.48,11373.77,34.66
11011.19,24230.6,11427.05,34.82
12012.01,24274.03,11458.95,34.89
13013.67,24359.82,11482.63,35.0
14014.21,24398.26,11512.41,35.07
15014.79,24408.25,11519.62,35.08
16015.4,24482.81,11552.06,35.19
17015.97,24487.89,11554.34,35.2
18016.68,24490.72,11556.9,35.2
19017.33,24493.22,11559.13,35.21
20017.92,24495.25,11561.18,35.21
21018.51,24499.33,11565.18,35.22
22019.1,24502.22,11567.53,35.22
23019.79,24507.8,11573.02,35.23
24021.23,24508.37,11574.0,35.24
25022.32,24511.26,11576.02,35.24
26023.07,24513.22,11577.91,35.25
