time,total,idle,mem_total,mem_free,3581/cpu,3581/rss,3597/cpu,3597/rss,3614/cpu,3614/rss,3662/cpu,3662/rss,3684/cpu,3684/rss,3689/cpu,3689/rss
1004.6,1383508,1291476,3887864,2013564,2083,107388,7930,90720,21765,323896,68,80048,1475,63692,4413,112848
2006.4,1383908,1291842,3887864,2001620,2083,107392,7933,90728,21773,323896,68,80048,1475,63692,4414,112848
3009.63,1384307,1292227,3887864,2003436,2084,107392,7938,91000,21780,323896,68,80048,1475,63692,4416,112848
4011.26,1384704,1292578,3887864,2014324,2084,107392,7946,91152,21787,323896,68,80048,1476,63692,4418,112848
5012.99,1385105,1292974,3887864,2014948,2085,107392,7947,91188,21789,323896,68,80048,1476,63692,4419,112848
6014.58,1385502,1293340,3887864,2016328,2085,107392,7950,91188,21795,323896,68,80048,1476,63692,4421,112848
7016.12,1385901,1293735,3887864,2016328,2085,107392,7951,91200,21797,323896,68,80048,1476,63692,4422,112848
8017.76,1386297,1294100,3887864,2023820,2086,107392,7953,91200,21803,323896,68,80048,1476,63692,4423,112848
9021.63,1386693,1294474,3887864,2019784,2086,107392,7957,91200,21807,323896,68,80048,1477,63692,4425,112848
10023.88,1387087,1294825,3887864,2022412,2086,107392,7960,91204,21819,323896,68,80048,1477,63692,4428,112848
11025.94,1387478,1295132,3887864,2018984,2086,107392,7969,91300,21856,323904,68,80048,1477,63692,4429,112848
12028.31,1387871,1295487,3887864,2018100,2087,107392,7973,91304,21866,323904,68,80048,1477,63696,4431,112848
13030.01,1388269,1295826,3887864,2020840,2088,107392,7976,91304,21875,323908,68,80048,1478,63696,4433,112848
14032.9,1388667,1296191,3887864,2021488,2088,107392,7978,91304,21881,323908,68,80048,1478,63696,4434,112848
15038.67,1389062,1296532,3887864,2008312,2088,107392,7980,91304,21885,323908,68,80048,1478,63696,4436,112848
16041.73,1389456,1296864,3887864,2008572,2088,107392,7987,91304,21909,323908,68,80048,1479,63696,4439,112848
17043.47,1389853,1297223,3887864,2003112,2088,107392,7989,91304,21917,323908,69,80048,1480,63696,4440,112848
18045.2,1390247,1297609,3887864,2003548,2089,107392,7993,91304,21923,323908,69,80048,1480,63696,4441,112848
19046.83,1390647,1297963,3887864,2015904,2089,107392,7994,91308,21929,323908,69,80048,1481,63696,4443,112848
20048.92,1391047,1298352,3887864,2017076,2089,107392,7995,91308,21932,323908,69,80048,1481,63696,4448,112852
21050.58,1391445,1298720,3887864,2025676,2089,107392,7997,91308,21938,323908,69,80048,1481,63696,4449,112852
22054.73,1391842,1299108,3887864,2025716,2090,107392,8000,91312,21943,323908,69,80048,1482,63696,4451,112852
23057.52,1392237,1299464,3887864,2024268,2092,107392,8008,91312,21955,323912,69,80048,1482,63696,4454,112852
24059.32,1392633,1299842,3887864,2025940,2092,107392,8009,91312,21960,323912,69,80048,1482,63700,4455,112852
25060.95,1393034,1300236,3887864,2026328,2092,107392,8010,91316,21963,323912,69,80048,1482,63700,4456,112852
26062.59,1393433,1300608,3887864,2032052,2092,107392,8012,91316,21968,323912,69,80048,1483,63700,4457,112852
