time,total,idle,mem_total,mem_free,2055/cpu,2055/rss,5581/cpu,5581/rss,6661/cpu,6661/rss
1003.45,1736163,1650351,3887864,1495396,1117,87644,984,17504,4793,56256
2004.47,1736564,1650746,3887864,1495396,1117,87644,984,17504,4793,56256
3005.44,1736966,1651142,3887864,1496152,1117,87644,984,17504,4793,56256
4007.85,1737366,1651536,3887864,1495904,1117,87644,986,17504,4794,56256
5010.17,1737764,1651917,3887864,1495652,1118,87644,986,17504,4796,56256
6020.51,1738164,1652289,3887864,1495652,1118,87644,986,17504,4800,56256
7022.81,1738564,1652672,3887864,1496156,1119,87644,987,17504,4801,56256
8025.55,1738961,1653064,3887864,1496408,1119,87644,987,17504,4802,56256
9026.7,1739358,1653427,3887864,1495980,1120,87644,987,17504,4802,56256
10027.73,1739756,1653799,3887864,1492180,1120,87644,988,17504,4805,56256
11028.99,1740147,1654134,3887864,1491668,1120,87644,988,17504,4816,56256
12030.23,1740542,1654452,3887864,1488484,1120,87644,988,17504,4818,56256
13031.53,1740943,1654790,3887864,1488996,1120,87644,988,17504,4818,56256
14032.92,1741338,1655095,3887864,1490100,1120,87644,989,17504,4819,56256
15034.16,1741733,1655409,3887864,1489660,1120,87644,989,17504,4819,56256
16035.22,1742133,1655758,3887864,1485644,1120,87644,989,17504,4825,56256
17036.26,1742536,1656145,3887864,1485500,1120,87644,990,17504,4826,56256
18037.25,1742935,1656542,3887864,1485500,1121,87644,990,17504,4827,56256
19039.69,1743333,1656925,3887864,1485028,1121,87644,990,17504,4827,56256
20041.64,1743731,1657287,3887864,1478728,1122,87644,990,17504,4828,56256
21042.79,1744128,1657674,3887864,1484072,1122,87644,990,17504,4829,56256
22043.84,1744528,1658069,3887864,1484556,1122,87644,990,17504,4829,56256
23044.9,1744927,1658462,3887864,1485728,1122,87644,990,17508,4831,56256
24045.9,1745323,1658850,3887864,1485764,1122,87644,990,17508,4832,56256
25046.9,1745722,1659245,3887864,1486092,1122,87644,991,17508,4832,56256
26049.18,1746119,1659623,3887864,1486432,1122,87644,992,17508,4834,56260
27051.49,1746516,1660003,3887864,1489308,1122,87644,992,17512,4837,56260
