time,sent,received,total
3.1,17051.74,7879.44,24.35
1004.58,17060.75,7886.1,24.36
2005.37,17061.46,7886.39,24.36
3005.96,17063.59,7888.37,24.37
4006.56,17066.24,7890.69,24.37
5007.17,17068.41,7894.38,24.38
6007.79,17072.58,7896.67,24.38
7008.73,17076.33,7900.5,24.39
8009.68,17079.36,7903.05,24.4
9010.3,17081.61,7904.93,24.4
10011.04,17081.86,7905.12,24.4
11011.74,17202.39,7960.54,24.57
12012.37,17216.83,7970.63,24.6
13013.75,17225.35,7977.82,24.61
14014.9,17285.0,7998.17,24.69
15015.66,17288.07,7998.57,24.69
16016.24,17297.72,8008.2,24.71
17016.82,17304.59,8009.18,24.72
18017.45,17311.61,8011.51,24.73
19018.04,17329.28,8015.92,24.75
20018.81,17338.06,8021.47,24.76
21019.57,17348.77,8024.72,24.78
22020.25,17381.29,8031.87,24.82
23020.83,17394.97,8035.25,24.83
24021.45,17396.88,8037.12,24.84
