time,total,idle,mem_total,mem_free,3581/cpu,3581/rss,3597/cpu,3597/rss,3614/cpu,3614/rss,3662/cpu,3662/rss,3684/cpu,3684/rss,3689/cpu,3689/rss
1005.88,808043,753896,3887864,2126876,1516,108548,3883,82128,10659,318080,47,80048,1081,63472,2233,113024
2007.48,808440,754260,3887864,2129140,1516,108548,3884,82128,10665,318080,47,80048,1082,63476,2235,113024
3008.91,808838,754647,3887864,2129140,1517,108548,3888,82132,10671,318080,47,80048,1082,63476,2237,113024
4010.34,809233,755019,3887864,2129160,1517,108548,3889,82132,10675,318080,47,80048,1082,63476,2238,113024
5011.89,809630,755375,3887864,2129756,1518,108552,3893,82132,10711,318080,47,80048,1082,63476,2238,113024
6013.36,810031,755728,3887864,2132756,1518,108552,3895,82132,10714,318080,47,80048,1082,63476,2240,113024
7016.67,810424,756112,3887864,2133216,1518,108552,3897,82132,10722,318080,47,80048,1083,63476,2242,113024
8018.24,810823,756466,3887864,2121676,1519,108552,3904,82132,10732,318080,47,80048,1084,63476,2244,113024
9019.75,811219,756859,3887864,2121996,1519,108552,3904,82132,10734,318080,47,80048,1084,63476,2245,113024
10021.5,811618,757230,3887864,2118848,1519,108552,3906,82132,10739,318080,48,80048,1084,63476,2246,113024
11023.09,812005,757533,3887864,2116016,1519,108552,3918,82136,10775,318096,48,80048,1084,63476,2248,113024
12024.66,812402,757896,3887864,2115764,1519,108552,3920,82136,10782,318100,48,80048,1084,63476,2250,113024
13029.58,812790,758228,3887864,2122516,1520,108552,3924,82136,10792,318100,48,80048,1084,63476,2251,113024
14031.31,813186,758579,3887864,2123084,1521,108552,3930,82136,10813,318104,48,80048,1084,63476,2254,113024
15032.93,813584,758943,3887864,2112900,1521,108552,3933,82136,10823,318104,48,80048,1084,63476,2255,113024
16034.71,813979,759319,3887864,2122768,1521,108552,3935,82136,10825,318104,48,80048,1085,63476,2256,113024
17036.32,814377,759688,3887864,2129424,1521,108552,3938,82136,10832,318104,48,80048,1085,63476,2257,113024
18037.9,814773,760066,3887864,2129424,1522,108552,3941,82136,10840,318104,48,80048,1086,63476,2259,113024
19039.54,815170,760426,3887864,2130396,1522,108552,3942,82136,10844,318104,48,80048,1086,63476,2261,113024
20041.12,815568,760819,3887864,2130908,1522,108552,3943,82136,10846,318104,48,80048,1086,63476,2262,113024
21042.7,815967,761191,3887864,2126104,1523,108552,3944,82136,10849,318104,48,80048,1086,63476,2263,113024
22044.31,816366,761584,3887864,2126524,1523,108552,3945,82136,10852,318104,48,80048,1087,63476,2264,113024
23046.89,816762,761955,3887864,2118872,1524,108556,3948,82136,10858,318104,48,80048,1087,63476,2265,113024
24050.44,817159,762333,3887864,2130492,1524,108556,3951,82136,10864,318104,48,80048,1087,63476,2267,113024
