time,total,idle,mem_total,mem_free,2055/cpu,2055/rss,5581/cpu,5581/rss,6661/cpu,6661/rss
1005.63,976118,928378,3887864,1649832,661,87624,502,17104,2411,55792
2007.83,976512,928729,3887864,1648832,661,87624,505,17104,2420,55792
3010.36,976908,929108,3887864,1648832,661,87624,505,17108,2421,55792
4012.91,977304,929491,3887864,1649588,662,87624,505,17108,2421,55792
5015.39,977701,929871,3887864,1649640,662,87624,505,17108,2421,55792
6016.55,978099,930234,3887864,1646276,662,87624,505,17108,2422,55792
7017.71,978501,930628,3887864,1646820,662,87624,506,17108,2423,55792
8018.74,978896,931002,3887864,1650708,662,87624,507,17120,2430,55792
9019.72,979294,931387,3887864,1650736,662,87624,507,17132,2434,55804
10020.74,979692,931760,3887864,1650988,663,87624,509,17136,2441,55804
11021.88,980086,932087,3887864,1650784,663,87624,509,17136,2452,55812
12023.0,980480,932394,3887864,1650544,663,87624,509,17136,2453,55816
13024.15,980870,932702,3887864,1650544,664,87624,509,17144,2454,55816
14025.29,981268,933062,3887864,1645980,664,87624,510,17144,2459,55820
15026.34,981664,933446,3887864,1644468,664,87624,511,17144,2461,55820
16027.37,982061,933818,3887864,1642624,664,87624,511,17144,2462,55820
17028.47,982461,934208,3887864,1642512,664,87624,511,17148,2463,55820
18029.5,982860,934598,3887864,1642512,664,87624,511,17148,2463,55820
19030.51,983259,934993,3887864,1643016,664,87624,511,17148,2463,55820
20031.63,983657,935381,3887864,1643456,664,87624,511,17148,2463,55820
21033.8,984056,935774,3887864,1643708,664,87624,511,17148,2463,55820
22036.38,984453,936162,3887864,1643500,665,87624,511,17148,2464,55820
23038.63,984854,936537,3887864,1643500,665,87624,511,17152,2465,55820
24041.18,985255,936924,3887864,1643524,665,87624,511,17152,2465,55820
25042.32,985649,937291,3887864,1646532,666,87624,512,17152,2469,55820
