time,sent,received,total
2.1,21746.99,114107.18,132.67
1002.86,21747.32,114107.44,132.67
2004.09,21753.11,114114.0,132.68
3005.57,21753.11,114114.06,132.68
4007.01,21755.15,114116.16,132.69
5008.42,21757.03,114117.99,132.69
6009.35,21761.49,114122.03,132.7
7010.03,21763.25,114123.9,132.7
8010.87,21767.17,114127.76,132.71
9011.68,21769.08,114129.74,132.71
10012.35,21772.21,114132.7,132.72
11013.06,21843.82,114634.44,133.28
12013.81,21874.62,114667.51,133.34
13014.53,21897.16,114690.15,133.39
14015.22,21918.13,114749.15,133.46
15015.91,21920.83,114754.44,133.47
16017.0,21924.49,114811.48,133.53
17017.87,21931.33,114817.43,133.54
18018.58,21931.52,114817.49,133.54
19019.27,21937.25,114823.43,133.55
20019.93,21939.85,114825.99,133.56
21020.68,21943.65,114829.67,133.57
22021.97,21945.96,114831.81,133.57
23023.45,21949.78,114835.65,133.58
24024.87,21951.73,114837.59,133.58
25026.26,21957.61,114858.24,133.61
