time,total,idle,mem_total,mem_free,1655/cpu,1655/rss
1003.16,396649,382213,3887864,2381300,3252,180668
2003.99,397049,382611,3887864,2381840,3253,180668
3004.82,397448,383007,3887864,2382228,3254,180668
4006.08,397847,383405,3887864,2382068,3256,180668
5008.16,398245,383803,3887864,2382384,3257,180668
6011.56,398645,384199,3887864,2382916,3260,180668
7013.07,399042,384582,3887864,2382852,3268,180668
8014.11,399441,384971,3887864,2383340,3271,180668
9015.38,399840,385352,3887864,2383340,3284,180668
10016.75,400238,385742,3887864,2383592,3287,180668
11017.54,400633,386089,3887864,2380276,3289,180668
12018.2,401037,386436,3887864,2380368,3291,180668
13018.95,401441,386780,3887864,2380672,3293,180668
14019.66,401847,387128,3887864,2380420,3295,180668
15020.33,402252,387476,3887864,2380660,3296,180668
16021.56,402649,387862,3887864,2379652,3301,180672
17023.1,403046,388247,3887864,2379652,3306,180672
18024.56,403447,388634,3887864,2380104,3308,180672
19026.11,403846,389030,3887864,2380608,3310,180672
20027.69,404245,389425,3887864,2380356,3313,180672
21028.51,404642,389794,3887864,2380700,3315,180672
22029.13,405041,390192,3887864,2380460,3317,180672
23029.76,405440,390588,3887864,2380716,3317,180672
24030.42,405839,390986,3887864,2380968,3319,180672
25031.05,406240,391383,3887864,2380464,3320,180736
26032.25,406638,391774,3887864,2380212,3323,180736
27033.84,407035,392158,3887864,2381204,3330,180736
