time,total,idle,mem_total,mem_free,1762/cpu,1762/rss,6171/cpu,6171/rss,7479/cpu,7479/rss
1003.36,560240,503862,3887864,590200,23425,712052,1114,54600,149,17168
2004.33,560641,504244,3887864,589060,23436,712156,1114,54600,149,17168
3006.41,561042,504620,3887864,589476,23450,712156,1115,54600,150,17168
4009.21,561438,504995,3887864,590008,23465,712156,1119,54600,150,17168
5010.7,561835,505352,3887864,589756,23483,712804,1120,54600,151,17168
6012.07,562233,505739,3887864,589504,23492,712804,1120,54600,151,17168
7013.16,562633,506128,3887864,589256,23498,712856,1121,54600,151,17168
8014.19,563031,506500,3887864,586984,23506,712868,1121,54600,151,17168
9015.21,563426,506885,3887864,586496,23515,712920,1121,54600,151,17168
10020.59,563824,507262,3887864,586296,23528,712920,1123,54600,151,17168
11025.21,564211,507420,3887864,588448,23635,711532,1144,54868,153,17172
12026.48,564596,507695,3887864,588448,23649,711568,1146,54868,153,17172
13027.82,564988,507972,3887864,588224,23663,711568,1147,54868,153,17172
14030.58,565374,508257,3887864,587760,23674,711588,1147,54868,155,17172
15034.78,565756,508530,3887864,587616,23687,711628,1148,54868,155,17172
16037.49,566144,508795,3887864,587852,23708,711692,1151,54876,155,17172
17039.31,566528,509081,3887864,586592,23718,713404,1151,54876,155,17172
18042.15,566919,509350,3887864,589576,23728,713404,1152,54876,155,17172
19045.16,567304,509635,3887864,589128,23737,713404,1152,54876,155,17172
20047.97,567688,509916,3887864,588876,23747,713404,1152,54876,155,17172
21049.14,568074,510197,3887864,588876,23792,713464,1160,54884,156,17172
22050.25,568470,510577,3887864,588876,23805,713524,1165,54888,157,17172
23051.65,568866,510949,3887864,588652,23822,713568,1167,54892,158,17172
24052.95,569267,511332,3887864,588652,23833,713620,1170,54892,158,17172
25054.09,569665,511699,3887864,588664,23849,713712,1171,54892,159,17172
26056.64,570062,512088,3887864,588416,23856,713712,1171,54892,159,17172
27057.94,570459,512391,3887864,588988,23946,713748,1171,54892,159,17172
28060.18,570859,512784,3887864,589240,23951,713752,1171,54892,159,17172
29061.38,571257,513157,3887864,592124,23958,712092,1171,54892,159,17172
30062.65,571654,513549,3887864,592124,23963,712092,1171,54892,159,17172
31063.83,572051,513938,3887864,592124,23972,712092,1171,54892,159,17172
