time,total,idle,mem_total,mem_free,1655/cpu,1655/rss
1003.35,1300129,1257839,3887864,2077340,9164,181644
2004.18,1300527,1258235,3887864,2077592,9165,181644
3007.2,1300929,1258633,3887864,2078096,9166,181644
4008.61,1301327,1259028,3887864,2077848,9167,181644
5010.51,1301726,1259423,3887864,2077848,9170,181644
6012.09,1302125,1259818,3887864,2078348,9172,181644
7013.49,1302520,1260199,3887864,2078352,9183,181644
8015.23,1302919,1260590,3887864,2078604,9186,181644
9016.12,1303315,1260960,3887864,2078756,9189,181644
10016.79,1303713,1261345,3887864,2077748,9193,181644
11017.7,1304111,1261714,3887864,2077756,9196,181644
12018.66,1304512,1262055,3887864,2077932,9199,181644
13019.36,1304911,1262402,3887864,2077492,9201,181644
14020.15,1305313,1262758,3887864,2077188,9202,181644
15020.98,1305714,1263105,3887864,2077276,9204,181644
16021.66,1306115,1263466,3887864,2076056,9205,181644
17022.33,1306514,1263862,3887864,2075624,9206,181644
18022.97,1306914,1264260,3887864,2075408,9207,181644
19023.63,1307310,1264635,3887864,2075356,9209,181644
20024.26,1307709,1265032,3887864,2075412,9209,181644
21024.89,1308109,1265426,3887864,2075924,9213,181644
22025.54,1308508,1265820,3887864,2075924,9213,181644
23026.28,1308908,1266215,3887864,2076176,9215,181644
24027.72,1309309,1266613,3887864,2076428,9215,181644
25029.25,1309708,1267007,3887864,2076684,9220,181644
26030.85,1310105,1267401,3887864,2077188,9221,181644
27032.4,1310501,1267788,3887864,2077784,9227,181644
